"administrative_level_2","administrative_level_3","day","retail_and_recreation","grocery_and_pharmacy","parks","transit_stations","workplaces","residential"
"Alytaus apskr.","Alytaus m.",2020-04-19,-52,-36,NA,NA,NA,NA
"Alytaus apskr.","Alytaus m.",2020-04-20,-45,-15,NA,NA,-42,14
"Alytaus apskr.","Alytaus m.",2020-04-21,-44,-17,NA,NA,-41,13
"Alytaus apskr.","Alytaus m.",2020-04-22,-45,-16,NA,NA,-41,12
"Alytaus apskr.","Alytaus m.",2020-04-23,-42,-11,NA,NA,-40,11
"Alytaus apskr.","Alytaus m.",2020-04-24,-39,-9,NA,-46,-39,11
"Alytaus apskr.","Alytaus m.",2020-04-25,-47,-11,NA,NA,-17,NA
"Alytaus apskr.","Alytaus m.",2020-04-26,-40,-19,NA,NA,NA,NA
"Alytaus apskr.","Alytaus m.",2020-04-27,-33,-7,NA,NA,-35,9
"Alytaus apskr.","Alytaus m.",2020-04-28,-33,-1,NA,NA,-35,9
"Alytaus apskr.","Alytaus m.",2020-04-29,-31,-3,NA,NA,-36,11
"Alytaus apskr.","Alytaus m.",2020-04-30,-18,21,NA,NA,-33,6
"Alytaus apskr.","Alytaus m.",2020-05-01,-47,-5,NA,NA,-73,NA
"Alytaus apskr.","Alytaus m.",2020-05-02,-30,1,NA,NA,-18,NA
"Alytaus apskr.","Alytaus m.",2020-05-03,-15,21,NA,NA,NA,NA
"Alytaus apskr.","Alytaus m.",2020-05-04,-33,-9,NA,NA,-33,9
"Alytaus apskr.","Alytaus m.",2020-05-05,-27,-5,NA,NA,-32,7
"Alytaus apskr.","Alytaus m.",2020-05-06,-27,0,NA,NA,-37,12
"Alytaus apskr.","Alytaus m.",2020-05-07,-24,1,NA,NA,-32,8
"Alytaus apskr.","Alytaus m.",2020-05-08,-20,5,NA,NA,-31,7
"Alytaus apskr.","Alytaus m.",2020-05-09,-23,11,NA,NA,5,NA
"Alytaus apskr.","Alytaus m.",2020-05-10,-17,8,NA,NA,NA,NA
"Alytaus apskr.","Alytaus m.",2020-05-11,-16,4,NA,NA,-30,9
"Alytaus apskr.","Alytaus m.",2020-05-12,-17,2,NA,NA,-32,12
"Alytaus apskr.","Alytaus m.",2020-05-13,-19,3,NA,NA,-31,11
"Alytaus apskr.","Alytaus m.",2020-05-14,-19,9,NA,NA,-30,9
"Alytaus apskr.","Alytaus m.",2020-05-15,-28,23,NA,NA,-26,5
"Alytaus apskr.","Alytaus m.",2020-05-16,-27,23,NA,NA,-2,NA
"Alytaus apskr.","Alytaus m.",2020-05-17,-33,12,NA,NA,NA,NA
"Alytaus apskr.","Alytaus m.",2020-05-18,-21,16,NA,NA,-27,8
"Alytaus apskr.","Alytaus m.",2020-05-19,-25,16,NA,NA,-28,10
"Alytaus apskr.","Alytaus m.",2020-05-20,-24,24,NA,NA,-27,6
"Alytaus apskr.","Alytaus m.",2020-05-21,-23,25,NA,NA,-27,7
"Alytaus apskr.","Alytaus m.",2020-05-22,-35,45,NA,NA,-25,5
"Alytaus apskr.","Alytaus m.",2020-05-23,-41,38,NA,NA,5,NA
"Alytaus apskr.","Alytaus m.",2020-05-24,-49,34,NA,NA,NA,NA
"Alytaus apskr.","Alytaus m.",2020-05-25,-28,33,NA,NA,-24,5
"Alytaus apskr.","Alytaus m.",2020-05-26,-30,37,NA,NA,-22,4
"Alytaus apskr.","Alytaus m.",2020-05-27,-32,39,NA,NA,-25,3
"Alytaus apskr.","Alytaus m.",2020-05-28,-32,44,NA,NA,-23,4
"Alytaus apskr.","Alytaus m.",2020-05-29,-36,48,NA,NA,-22,2
"Alytaus apskr.","Alytaus m.",2020-05-30,-43,39,NA,NA,5,NA
"Alytaus apskr.","Alytaus m.",2020-05-31,-46,40,NA,NA,NA,NA
"Alytaus apskr.","Alytaus m.",2020-06-01,-27,39,NA,NA,-20,3
"Alytaus apskr.","Alytaus m.",2020-06-02,-26,42,NA,NA,-19,3
"Alytaus apskr.","Alytaus m.",2020-06-03,-30,43,NA,NA,-22,5
"Alytaus apskr.","Alytaus m.",2020-06-04,-26,43,NA,NA,-22,2
"Alytaus apskr.","Alytaus m.",2020-06-05,-34,51,NA,NA,-19,0
"Alytaus apskr.","Alytaus m.",2020-06-06,-33,57,NA,NA,15,NA
"Alytaus apskr.","Alytaus m.",2020-06-07,-40,68,NA,NA,NA,NA
"Alytaus apskr.","Alytaus m.",2020-06-08,-29,44,NA,NA,-17,1
"Alytaus apskr.","Alytaus m.",2020-06-09,-28,46,NA,NA,-17,2
"Alytaus apskr.","Alytaus m.",2020-06-10,-25,53,NA,NA,-18,-1
"Alytaus apskr.","Alytaus m.",2020-06-11,-27,53,NA,NA,-17,-1
"Alytaus apskr.","Alytaus m.",2020-06-12,-32,52,NA,NA,-17,-4
"Alytaus apskr.","Alytaus m.",2020-06-13,-27,40,NA,NA,23,NA
