"administrative_level_2","day","retail_and_recreation","grocery_and_pharmacy","parks","transit_stations","workplaces","residential"
"Alytaus apskr.",2020-02-15,10,6,5,NA,4,NA
"Alytaus apskr.",2020-02-16,14,7,25,NA,8,NA
"Alytaus apskr.",2020-02-17,9,6,16,NA,-14,3
"Alytaus apskr.",2020-02-18,9,10,21,NA,-14,2
"Alytaus apskr.",2020-02-19,9,10,22,NA,-14,1
"Alytaus apskr.",2020-02-20,10,6,17,NA,-16,2
"Alytaus apskr.",2020-02-21,5,2,9,NA,-16,3
"Alytaus apskr.",2020-02-22,5,3,4,NA,0,NA
"Alytaus apskr.",2020-02-23,7,2,7,NA,0,NA
"Alytaus apskr.",2020-02-24,3,8,7,NA,1,0
"Alytaus apskr.",2020-02-25,-2,1,-9,NA,2,0
"Alytaus apskr.",2020-02-26,0,2,12,NA,2,0
"Alytaus apskr.",2020-02-27,5,1,-9,NA,0,0
"Alytaus apskr.",2020-02-28,2,4,2,NA,1,1
"Alytaus apskr.",2020-02-29,0,2,11,NA,4,NA
"Alytaus apskr.",2020-03-01,3,0,16,NA,8,NA
"Alytaus apskr.",2020-03-02,-1,-4,13,NA,3,0
"Alytaus apskr.",2020-03-03,-1,3,19,NA,2,0
"Alytaus apskr.",2020-03-04,3,0,10,NA,2,1
"Alytaus apskr.",2020-03-05,2,1,17,NA,2,0
"Alytaus apskr.",2020-03-06,6,1,23,NA,1,0
"Alytaus apskr.",2020-03-07,4,8,10,NA,4,NA
"Alytaus apskr.",2020-03-08,23,18,17,NA,12,NA
"Alytaus apskr.",2020-03-09,2,1,25,NA,1,0
"Alytaus apskr.",2020-03-10,18,20,38,NA,1,-3
"Alytaus apskr.",2020-03-11,-11,-9,42,NA,-71,18
"Alytaus apskr.",2020-03-12,3,9,-7,NA,-1,1
"Alytaus apskr.",2020-03-13,-3,5,25,NA,-17,5
"Alytaus apskr.",2020-03-14,-17,1,-8,NA,-3,NA
"Alytaus apskr.",2020-03-15,1,17,28,NA,2,NA
"Alytaus apskr.",2020-03-16,-41,-18,12,NA,-32,12
"Alytaus apskr.",2020-03-17,-45,-27,50,NA,-40,13
"Alytaus apskr.",2020-03-18,-46,-26,72,NA,-42,14
"Alytaus apskr.",2020-03-19,-50,-29,30,NA,-45,16
"Alytaus apskr.",2020-03-20,-59,-12,36,NA,-44,16
"Alytaus apskr.",2020-03-21,-68,-24,5,NA,-38,NA
"Alytaus apskr.",2020-03-22,-65,-25,5,NA,-31,NA
"Alytaus apskr.",2020-03-23,-61,-18,32,NA,-44,16
"Alytaus apskr.",2020-03-24,-61,-22,36,NA,-46,17
"Alytaus apskr.",2020-03-25,-62,-28,44,NA,-46,16
"Alytaus apskr.",2020-03-26,-63,-27,47,NA,-47,16
"Alytaus apskr.",2020-03-27,-64,-28,50,-42,-47,17
"Alytaus apskr.",2020-03-28,-68,-33,59,NA,-36,NA
"Alytaus apskr.",2020-03-29,-71,-36,0,-70,-32,NA
"Alytaus apskr.",2020-03-30,-64,-26,14,NA,-47,18
"Alytaus apskr.",2020-03-31,-63,-29,20,NA,-47,18
"Alytaus apskr.",2020-04-01,-67,-30,2,NA,-48,19
"Alytaus apskr.",2020-04-02,-65,-33,4,NA,-49,19
"Alytaus apskr.",2020-04-03,-63,-30,-1,-64,-49,21
"Alytaus apskr.",2020-04-04,-68,-35,4,NA,-38,NA
"Alytaus apskr.",2020-04-05,-62,-25,66,NA,-26,NA
"Alytaus apskr.",2020-04-06,-57,-24,76,NA,-46,15
"Alytaus apskr.",2020-04-07,-55,-16,98,NA,-47,13
"Alytaus apskr.",2020-04-08,-53,-11,85,NA,-48,14
"Alytaus apskr.",2020-04-09,-47,7,42,NA,-48,15
"Alytaus apskr.",2020-04-10,-53,-5,40,-44,-49,18
"Alytaus apskr.",2020-04-11,-71,-34,-4,-65,-41,NA
"Alytaus apskr.",2020-04-12,-90,-93,16,-73,-42,NA
"Alytaus apskr.",2020-04-13,-81,-59,18,NA,-86,NA
"Alytaus apskr.",2020-04-14,-59,-24,18,NA,-49,17
"Alytaus apskr.",2020-04-15,-62,-24,-1,NA,-48,20
"Alytaus apskr.",2020-04-16,-53,-18,16,NA,-48,19
"Alytaus apskr.",2020-04-17,-51,-14,38,-42,-45,17
"Alytaus apskr.",2020-04-18,-58,-24,23,NA,-31,NA
"Alytaus apskr.",2020-04-19,-54,-32,34,NA,-21,NA
"Alytaus apskr.",2020-04-20,-47,-12,49,NA,-45,15
"Alytaus apskr.",2020-04-21,-45,-9,82,NA,-44,13
"Alytaus apskr.",2020-04-22,-45,-11,93,NA,-43,12
"Alytaus apskr.",2020-04-23,-43,-6,80,NA,-44,13
"Alytaus apskr.",2020-04-24,-42,-5,92,NA,-42,12
"Alytaus apskr.",2020-04-25,-50,-10,62,NA,-24,NA
"Alytaus apskr.",2020-04-26,-44,-14,87,NA,-17,NA
"Alytaus apskr.",2020-04-27,-38,-3,125,NA,-39,11
"Alytaus apskr.",2020-04-28,-36,4,113,NA,-39,9
"Alytaus apskr.",2020-04-29,-38,0,63,NA,-39,12
"Alytaus apskr.",2020-04-30,-23,24,106,NA,-37,7
"Alytaus apskr.",2020-05-01,-43,1,190,NA,-72,NA
"Alytaus apskr.",2020-05-02,-38,5,63,NA,-23,NA
"Alytaus apskr.",2020-05-03,-24,25,100,NA,1,NA
"Alytaus apskr.",2020-05-04,-37,-7,94,NA,-37,10
"Alytaus apskr.",2020-05-05,-33,3,97,NA,-36,9
"Alytaus apskr.",2020-05-06,-36,4,42,NA,-38,13
"Alytaus apskr.",2020-05-07,-31,7,70,NA,-35,10
"Alytaus apskr.",2020-05-08,-28,12,119,NA,-34,8
"Alytaus apskr.",2020-05-09,-31,18,124,NA,-4,NA
"Alytaus apskr.",2020-05-10,-25,22,155,NA,7,NA
"Alytaus apskr.",2020-05-11,-27,11,54,NA,-34,10
"Alytaus apskr.",2020-05-12,-30,9,30,NA,-35,13
"Alytaus apskr.",2020-05-13,-32,12,28,NA,-33,12
"Alytaus apskr.",2020-05-14,-28,16,60,NA,-31,9
"Alytaus apskr.",2020-05-15,-31,24,97,NA,-29,7
"Alytaus apskr.",2020-05-16,-35,24,55,NA,-7,NA
"Alytaus apskr.",2020-05-17,-42,18,58,NA,3,NA
"Alytaus apskr.",2020-05-18,-29,20,64,NA,-28,8
"Alytaus apskr.",2020-05-19,-32,16,42,NA,-28,10
"Alytaus apskr.",2020-05-20,-29,30,85,NA,-27,7
"Alytaus apskr.",2020-05-21,-29,27,58,NA,-29,8
"Alytaus apskr.",2020-05-22,-39,39,102,NA,-25,6
"Alytaus apskr.",2020-05-23,-37,43,148,NA,8,NA
"Alytaus apskr.",2020-05-24,-52,36,55,NA,3,NA
"Alytaus apskr.",2020-05-25,-35,37,106,NA,-25,6
"Alytaus apskr.",2020-05-26,-36,39,118,NA,-23,5
"Alytaus apskr.",2020-05-27,-34,44,111,NA,-22,4
"Alytaus apskr.",2020-05-28,-33,45,88,NA,-23,5
"Alytaus apskr.",2020-05-29,-36,46,118,NA,-21,3
"Alytaus apskr.",2020-05-30,-44,40,79,NA,3,NA
"Alytaus apskr.",2020-05-31,-37,49,139,NA,22,NA
"Alytaus apskr.",2020-06-01,-31,43,97,NA,-19,4
"Alytaus apskr.",2020-06-02,-32,42,84,NA,-18,4
"Alytaus apskr.",2020-06-03,-35,48,67,NA,-18,5
"Alytaus apskr.",2020-06-04,-30,47,91,NA,-18,3
"Alytaus apskr.",2020-06-05,-31,50,117,NA,-18,1
"Alytaus apskr.",2020-06-06,-26,63,148,NA,15,NA
"Alytaus apskr.",2020-06-07,-32,78,149,NA,28,NA
"Alytaus apskr.",2020-06-08,-33,46,103,NA,-17,2
"Alytaus apskr.",2020-06-09,-31,49,100,NA,-17,2
"Alytaus apskr.",2020-06-10,-28,57,122,NA,-16,0
"Alytaus apskr.",2020-06-11,-25,58,124,NA,-17,-1
"Alytaus apskr.",2020-06-12,-25,58,183,NA,-18,-3
"Alytaus apskr.",2020-06-13,-25,51,170,NA,16,NA
"Alytaus apskr.",2020-06-14,-34,51,124,NA,28,NA
"Alytaus apskr.",2020-06-15,-24,55,134,NA,-17,0
"Alytaus apskr.",2020-06-16,-23,56,161,NA,-16,-2
"Alytaus apskr.",2020-06-17,-22,NA,NA,NA,-17,-2
"Alytaus apskr.",2020-06-18,-22,54,142,NA,-18,-2
"Alytaus apskr.",2020-06-19,-21,53,217,NA,-18,-4
"Alytaus apskr.",2020-06-20,-23,56,200,NA,15,NA
"Alytaus apskr.",2020-06-21,-20,63,211,NA,34,NA
"Alytaus apskr.",2020-06-22,-15,70,164,NA,-19,-1
"Alytaus apskr.",2020-06-23,5,91,NA,NA,-21,-7
"Alytaus apskr.",2020-06-24,-34,46,NA,NA,-67,4
"Alytaus apskr.",2020-06-25,-12,65,194,NA,-22,-3
"Alytaus apskr.",2020-06-26,-17,56,226,NA,-22,-3
"Alytaus apskr.",2020-06-27,-25,52,193,NA,9,NA
"Alytaus apskr.",2020-06-28,-16,67,203,NA,28,NA
"Alytaus apskr.",2020-06-29,-19,66,149,NA,-17,-2
"Alytaus apskr.",2020-06-30,-20,61,141,NA,-16,-2
"Alytaus apskr.",2020-07-01,-19,58,NA,NA,-16,-2
"Alytaus apskr.",2020-07-02,-18,54,161,NA,-18,-1
"Alytaus apskr.",2020-07-03,-19,56,222,NA,-18,-3
"Alytaus apskr.",2020-07-04,-10,74,264,NA,13,NA
"Alytaus apskr.",2020-07-05,11,88,332,NA,20,NA
"Alytaus apskr.",2020-07-06,-28,40,NA,NA,-71,7
"Alytaus apskr.",2020-07-07,-15,61,151,NA,-22,-1
"Alytaus apskr.",2020-07-08,-17,61,142,NA,-21,0
"Alytaus apskr.",2020-07-09,-14,57,154,NA,-21,-1
"Alytaus apskr.",2020-07-10,-18,55,161,NA,-19,-2
"Alytaus apskr.",2020-07-11,-19,57,158,NA,13,NA
"Alytaus apskr.",2020-07-12,-10,67,191,NA,29,NA
"Alytaus apskr.",2020-07-13,-10,69,NA,NA,-22,-1
"Alytaus apskr.",2020-07-14,-7,66,199,NA,-23,-2
"Alytaus apskr.",2020-07-15,-4,74,NA,NA,-22,-3
"Alytaus apskr.",2020-07-16,-4,71,199,NA,-21,-2
"Alytaus apskr.",2020-07-17,-7,68,247,NA,-22,-4
"Alytaus apskr.",2020-07-18,-4,68,268,NA,11,NA
"Alytaus apskr.",2020-07-19,-1,82,284,NA,24,NA
"Alytaus apskr.",2020-07-20,-5,76,NA,NA,-27,-3
"Alytaus apskr.",2020-07-21,-5,70,188,NA,-27,-1
"Alytaus apskr.",2020-07-22,-5,NA,NA,NA,-25,0
"Alytaus apskr.",2020-07-23,-2,71,176,NA,-26,0
"Alytaus apskr.",2020-07-24,-7,67,236,NA,-25,-3
"Alytaus apskr.",2020-07-25,1,70,230,NA,10,NA
"Alytaus apskr.",2020-07-26,5,86,271,NA,24,NA
"Alytaus apskr.",2020-07-27,-9,74,232,NA,-26,-2
"Alytaus apskr.",2020-07-28,-6,NA,240,NA,-25,-1
"Alytaus apskr.",2020-07-29,-4,73,NA,NA,-26,-1
"Alytaus apskr.",2020-07-30,-6,64,171,NA,-27,0
"Alytaus apskr.",2020-07-31,-15,59,160,NA,-27,0
"Alytaus apskr.",2020-08-01,-15,52,202,NA,13,NA
"Alytaus apskr.",2020-08-02,-3,68,257,NA,26,NA
"Alytaus apskr.",2020-08-03,-10,68,223,NA,-26,-1
"Alytaus apskr.",2020-08-04,-13,61,133,NA,-26,2
"Alytaus apskr.",2020-08-05,-5,74,NA,NA,-24,-2
"Alytaus apskr.",2020-08-06,-5,69,231,NA,-25,-2
"Alytaus apskr.",2020-08-07,-8,64,297,NA,-24,-5
"Alytaus apskr.",2020-08-08,-9,67,293,NA,8,NA
"Alytaus apskr.",2020-08-09,-7,75,280,NA,23,NA
"Alytaus apskr.",2020-08-10,-8,78,201,NA,-27,-2
"Alytaus apskr.",2020-08-11,-7,74,212,NA,-27,-2
"Alytaus apskr.",2020-08-12,-4,74,NA,NA,-26,-2
"Alytaus apskr.",2020-08-13,-3,71,212,NA,-24,-3
"Alytaus apskr.",2020-08-14,-5,70,256,NA,-25,-4
"Alytaus apskr.",2020-08-15,-13,64,288,NA,-1,NA
"Alytaus apskr.",2020-08-16,-9,74,291,NA,22,NA
"Alytaus apskr.",2020-08-17,NA,NA,NA,NA,-26,-2
"Alytaus apskr.",2020-08-18,NA,NA,NA,NA,-24,-1
"Alytaus apskr.",2020-08-19,NA,NA,NA,NA,-24,-1
"Alytaus apskr.",2020-08-20,NA,NA,NA,NA,-24,-2
"Alytaus apskr.",2020-08-21,NA,NA,NA,NA,-24,-4
"Alytaus apskr.",2020-08-24,NA,NA,NA,NA,-23,-1
"Alytaus apskr.",2020-08-25,NA,NA,NA,NA,-21,0
"Alytaus apskr.",2020-08-26,NA,NA,NA,NA,-21,0
"Alytaus apskr.",2020-08-27,NA,NA,NA,NA,-21,1
"Alytaus apskr.",2020-08-28,NA,NA,NA,NA,-19,-3
"Alytaus apskr.",2020-08-31,NA,NA,NA,NA,-19,0
"Alytaus apskr.",2020-09-01,NA,NA,NA,NA,-18,-1
"Alytaus apskr.",2020-09-02,NA,NA,NA,NA,-13,-3
"Alytaus apskr.",2020-09-03,NA,NA,NA,NA,-14,-5
"Alytaus apskr.",2020-09-04,NA,NA,NA,NA,-13,-7
"Alytaus apskr.",2020-09-07,NA,NA,NA,NA,-15,-5
"Alytaus apskr.",2020-09-08,NA,NA,NA,NA,-13,-5
"Alytaus apskr.",2020-09-09,NA,NA,NA,NA,-11,-6
"Alytaus apskr.",2020-09-10,NA,NA,NA,NA,-13,-6
"Alytaus apskr.",2020-09-11,-17,49,149,NA,-12,-10
"Alytaus apskr.",2020-09-12,-16,44,173,NA,3,NA
"Alytaus apskr.",2020-09-13,-14,54,155,NA,17,NA
"Alytaus apskr.",2020-09-14,-21,53,115,NA,-9,-7
"Alytaus apskr.",2020-09-15,-16,50,161,NA,-8,-8
"Alytaus apskr.",2020-09-16,-15,54,159,NA,-8,-7
"Alytaus apskr.",2020-09-17,-19,47,75,NA,-10,-4
"Alytaus apskr.",2020-09-18,-18,46,120,NA,-9,-6
"Alytaus apskr.",2020-09-19,-15,41,132,NA,5,NA
"Alytaus apskr.",2020-09-20,-17,56,142,NA,14,NA
"Alytaus apskr.",2020-09-21,-18,54,130,NA,-8,-5
"Alytaus apskr.",2020-09-22,-19,51,120,NA,-7,-5
"Alytaus apskr.",2020-09-23,-21,53,93,NA,-6,-5
"Alytaus apskr.",2020-09-24,-20,48,72,NA,-5,-5
"Alytaus apskr.",2020-09-25,-11,49,116,NA,-7,-6
"Alytaus apskr.",2020-09-26,-5,51,144,NA,8,-10
"Alytaus apskr.",2020-09-27,-19,56,97,NA,19,-7
"Alytaus apskr.",2020-09-28,-27,48,62,NA,-4,-3
"Alytaus apskr.",2020-09-29,-28,48,57,NA,-4,-3
"Alytaus apskr.",2020-09-30,-24,51,43,NA,-3,-5
"Alytaus apskr.",2020-10-01,-25,43,33,NA,-5,-4
"Alytaus apskr.",2020-10-02,-24,42,44,NA,-5,-5
"Alytaus apskr.",2020-10-03,-24,45,27,NA,0,-6
"Alytaus apskr.",2020-10-04,-23,56,82,NA,14,-8
"Alytaus apskr.",2020-10-05,-26,46,39,NA,-4,-4
"Alytaus apskr.",2020-10-06,-24,47,55,NA,-5,-5
"Alytaus apskr.",2020-10-07,-24,48,67,NA,-2,-5
"Alytaus apskr.",2020-10-08,-25,43,55,NA,-3,-4
"Alytaus apskr.",2020-10-09,-24,51,57,NA,-4,-4
"Alytaus apskr.",2020-10-10,-18,54,69,NA,9,-6
"Alytaus apskr.",2020-10-11,-26,64,31,NA,10,-4
"Alytaus apskr.",2020-10-12,-26,51,49,NA,-7,-2
"Alytaus apskr.",2020-10-13,-27,54,21,NA,-6,-1
"Alytaus apskr.",2020-10-14,-27,57,11,NA,-4,0
"Alytaus apskr.",2020-10-15,-22,61,21,NA,-3,-3
"Alytaus apskr.",2020-10-16,-23,53,31,NA,-3,-3
"Alytaus apskr.",2020-10-17,-21,54,38,NA,7,-5
"Alytaus apskr.",2020-10-18,-30,56,22,NA,11,-3
"Alytaus apskr.",2020-10-19,-27,57,27,NA,-5,-2
"Alytaus apskr.",2020-10-20,-25,52,33,NA,-3,-2
"Alytaus apskr.",2020-10-21,-25,55,23,NA,-2,-1
"Alytaus apskr.",2020-10-22,-23,56,40,NA,-3,-3
"Alytaus apskr.",2020-10-23,-22,51,55,NA,-4,-4
"Alytaus apskr.",2020-10-24,-20,55,42,NA,6,-4
"Alytaus apskr.",2020-10-25,-12,79,100,NA,12,-6
"Alytaus apskr.",2020-10-26,-29,52,51,NA,-22,3
"Alytaus apskr.",2020-10-27,-26,52,60,NA,-21,2
"Alytaus apskr.",2020-10-28,-26,55,51,NA,-21,2
"Alytaus apskr.",2020-10-29,-26,53,28,NA,-23,2
"Alytaus apskr.",2020-10-30,-29,48,24,NA,-23,3
"Alytaus apskr.",2020-10-31,-28,63,35,NA,1,-4
"Alytaus apskr.",2020-11-01,-30,76,74,NA,-12,-5
"Alytaus apskr.",2020-11-02,-53,29,66,NA,-77,15
"Alytaus apskr.",2020-11-03,-39,32,9,NA,-23,4
"Alytaus apskr.",2020-11-04,-38,37,10,NA,-23,6
"Alytaus apskr.",2020-11-05,-35,41,15,NA,-23,5
"Alytaus apskr.",2020-11-06,-37,32,19,-34,-20,5
"Alytaus apskr.",2020-11-07,-51,23,13,NA,-6,1
"Alytaus apskr.",2020-11-08,-56,28,20,NA,-10,NA
"Alytaus apskr.",2020-11-09,-46,30,32,NA,-26,6
"Alytaus apskr.",2020-11-10,-43,40,22,NA,-26,7
"Alytaus apskr.",2020-11-11,-42,44,14,NA,-25,7
"Alytaus apskr.",2020-11-12,-42,37,2,NA,-27,8
"Alytaus apskr.",2020-11-13,-46,31,0,-38,-27,8
"Alytaus apskr.",2020-11-14,-47,34,1,NA,-9,2
"Alytaus apskr.",2020-11-15,-52,27,5,NA,-17,NA
"Alytaus apskr.",2020-11-16,-45,34,7,NA,-30,8
"Alytaus apskr.",2020-11-17,-45,33,5,NA,-29,8
"Alytaus apskr.",2020-11-18,-46,35,2,NA,-29,8
"Alytaus apskr.",2020-11-19,-43,31,6,NA,-29,8
"Alytaus apskr.",2020-11-20,-46,32,6,-42,-28,8
"Alytaus apskr.",2020-11-21,-48,26,2,NA,-12,3
"Alytaus apskr.",2020-11-22,-58,22,-16,NA,-18,NA
"Alytaus apskr.",2020-11-23,-44,32,1,NA,-30,8
"Alytaus apskr.",2020-11-24,-47,31,5,NA,-30,9
"Alytaus apskr.",2020-11-25,-45,36,5,NA,-30,9
"Alytaus apskr.",2020-11-26,-46,29,0,NA,-30,9
"Alytaus apskr.",2020-11-27,-48,23,-4,-42,-28,9
"Alytaus apskr.",2020-11-28,-52,21,-16,NA,-9,4
"Alytaus apskr.",2020-11-29,-52,29,-2,NA,-12,NA
"Alytaus apskr.",2020-11-30,-45,38,8,NA,-30,8
"Alytaus apskr.",2020-12-01,-43,32,14,NA,-28,9
"Alytaus apskr.",2020-12-02,-44,33,-2,NA,-27,9
"Alytaus apskr.",2020-12-03,-43,35,-7,NA,-28,10
"Alytaus apskr.",2020-12-04,-46,26,-2,-47,-27,10
"Alytaus apskr.",2020-12-05,-46,25,-9,NA,-4,3
"Alytaus apskr.",2020-12-06,-48,34,-5,NA,-13,NA
"Alytaus apskr.",2020-12-07,-41,32,6,NA,-29,9
"Alytaus apskr.",2020-12-08,-43,38,-6,NA,-28,10
"Alytaus apskr.",2020-12-09,-46,30,-2,NA,-30,10
"Alytaus apskr.",2020-12-10,-44,33,-4,NA,-30,10
"Alytaus apskr.",2020-12-11,-45,29,-2,-34,-30,10
"Alytaus apskr.",2020-12-12,-46,24,-18,NA,-10,6
"Alytaus apskr.",2020-12-13,-47,34,12,NA,-13,NA
"Alytaus apskr.",2020-12-14,-24,56,11,NA,-35,8
"Alytaus apskr.",2020-12-15,-24,61,17,NA,-35,7
"Alytaus apskr.",2020-12-16,-67,11,-13,NA,-40,14
"Alytaus apskr.",2020-12-17,-63,19,-8,NA,-41,14
"Alytaus apskr.",2020-12-18,-68,8,-21,-48,-41,17
"Alytaus apskr.",2020-12-19,-76,-7,-33,-67,-25,11
"Alytaus apskr.",2020-12-20,-73,10,-19,NA,-24,NA
"Alytaus apskr.",2020-12-21,-58,47,2,NA,-44,13
"Alytaus apskr.",2020-12-22,-55,59,2,NA,-45,13
"Alytaus apskr.",2020-12-23,-53,78,5,NA,-48,14
"Alytaus apskr.",2020-12-24,-80,-4,-16,-60,-84,27
"Alytaus apskr.",2020-12-25,-91,-89,-1,-68,-88,31
"Alytaus apskr.",2020-12-26,-85,-43,-28,-65,-53,15
"Alytaus apskr.",2020-12-27,-77,-9,-1,NA,-32,NA
"Alytaus apskr.",2020-12-28,-65,22,-1,NA,-52,17
"Alytaus apskr.",2020-12-29,-64,25,-4,NA,-51,17
"Alytaus apskr.",2020-12-30,-55,63,27,NA,-51,15
"Alytaus apskr.",2020-12-31,-63,47,17,NA,-62,19
"Kauno apskr.",2020-02-15,2,2,14,6,1,-1
"Kauno apskr.",2020-02-16,11,4,17,23,1,-2
"Kauno apskr.",2020-02-17,3,2,15,-3,-13,2
"Kauno apskr.",2020-02-18,1,1,6,-2,-12,3
"Kauno apskr.",2020-02-19,4,1,22,0,-13,2
"Kauno apskr.",2020-02-20,4,4,13,2,-14,2
"Kauno apskr.",2020-02-21,-3,1,-9,0,-14,3
"Kauno apskr.",2020-02-22,-4,0,-17,4,0,0
"Kauno apskr.",2020-02-23,0,4,-2,7,2,-1
"Kauno apskr.",2020-02-24,2,8,20,5,3,0
"Kauno apskr.",2020-02-25,-4,4,-6,1,3,1
"Kauno apskr.",2020-02-26,6,6,31,5,3,-1
"Kauno apskr.",2020-02-27,-1,9,-9,1,2,0
"Kauno apskr.",2020-02-28,0,11,3,2,2,1
"Kauno apskr.",2020-02-29,-6,3,19,0,2,1
"Kauno apskr.",2020-03-01,-9,0,27,0,-1,0
"Kauno apskr.",2020-03-02,-3,2,37,1,2,1
"Kauno apskr.",2020-03-03,5,1,22,0,3,0
"Kauno apskr.",2020-03-04,-2,1,14,0,2,1
"Kauno apskr.",2020-03-05,1,3,29,4,3,0
"Kauno apskr.",2020-03-06,0,7,35,6,3,0
"Kauno apskr.",2020-03-07,6,7,-3,5,2,0
"Kauno apskr.",2020-03-08,6,16,26,12,5,-2
"Kauno apskr.",2020-03-09,1,3,34,1,2,0
"Kauno apskr.",2020-03-10,12,18,46,8,1,-1
"Kauno apskr.",2020-03-11,-13,-10,29,-27,-75,21
"Kauno apskr.",2020-03-12,-6,11,-21,-5,-1,1
"Kauno apskr.",2020-03-13,-17,9,7,-17,-17,7
"Kauno apskr.",2020-03-14,-30,5,-28,-26,-7,6
"Kauno apskr.",2020-03-15,-19,12,47,-20,-2,3
"Kauno apskr.",2020-03-16,-49,-19,2,-47,-34,15
"Kauno apskr.",2020-03-17,-54,-24,47,-51,-43,18
"Kauno apskr.",2020-03-18,-56,-27,50,-50,-46,19
"Kauno apskr.",2020-03-19,-57,-26,19,-54,-47,19
"Kauno apskr.",2020-03-20,-63,-14,14,-54,-47,21
"Kauno apskr.",2020-03-21,-69,-23,-11,-56,-35,13
"Kauno apskr.",2020-03-22,-69,-29,-11,-57,-30,10
"Kauno apskr.",2020-03-23,-62,-24,12,-58,-49,20
"Kauno apskr.",2020-03-24,-64,-24,16,-59,-50,21
"Kauno apskr.",2020-03-25,-65,-27,23,-58,-51,21
"Kauno apskr.",2020-03-26,-64,-27,17,-59,-51,21
"Kauno apskr.",2020-03-27,-64,-22,28,-60,-50,22
"Kauno apskr.",2020-03-28,-68,-24,38,-54,-33,9
"Kauno apskr.",2020-03-29,-74,-40,-48,-68,-33,11
"Kauno apskr.",2020-03-30,-64,-29,0,-64,-51,22
"Kauno apskr.",2020-03-31,-64,-27,-2,-61,-51,22
"Kauno apskr.",2020-04-01,-66,-34,-31,-65,-52,24
"Kauno apskr.",2020-04-02,-65,-30,-33,-63,-53,24
"Kauno apskr.",2020-04-03,-64,-23,-22,-64,-51,25
"Kauno apskr.",2020-04-04,-67,-25,-6,-58,-33,13
"Kauno apskr.",2020-04-05,-65,-27,43,-54,-28,8
"Kauno apskr.",2020-04-06,-59,-26,63,-58,-50,19
"Kauno apskr.",2020-04-07,-57,-17,74,-54,-51,18
"Kauno apskr.",2020-04-08,-56,-15,59,-54,-51,18
"Kauno apskr.",2020-04-09,-53,-2,0,-55,-51,19
"Kauno apskr.",2020-04-10,-56,2,8,-55,-52,21
"Kauno apskr.",2020-04-11,-70,-20,-21,-63,-40,16
"Kauno apskr.",2020-04-12,-91,-89,-25,-74,-50,14
"Kauno apskr.",2020-04-13,-81,-56,1,-81,-89,33
"Kauno apskr.",2020-04-14,-62,-26,-16,-63,-51,22
"Kauno apskr.",2020-04-15,-61,-23,-16,-61,-52,23
"Kauno apskr.",2020-04-16,-56,-18,-7,-58,-51,21
"Kauno apskr.",2020-04-17,-53,-10,11,-56,-49,21
"Kauno apskr.",2020-04-18,-58,-22,8,-53,-27,10
"Kauno apskr.",2020-04-19,-59,-31,18,-53,-27,8
"Kauno apskr.",2020-04-20,-51,-26,37,-57,-49,19
"Kauno apskr.",2020-04-21,-51,-23,56,-54,-48,18
"Kauno apskr.",2020-04-22,-50,-22,78,-53,-48,17
"Kauno apskr.",2020-04-23,-48,-18,59,-49,-47,16
"Kauno apskr.",2020-04-24,-48,-14,55,-50,-46,16
"Kauno apskr.",2020-04-25,-49,-13,26,-39,-22,5
"Kauno apskr.",2020-04-26,-47,-20,39,-38,-16,4
"Kauno apskr.",2020-04-27,-40,-19,62,-49,-43,15
"Kauno apskr.",2020-04-28,-42,-16,38,-48,-43,15
"Kauno apskr.",2020-04-29,-40,-16,45,-45,-43,15
"Kauno apskr.",2020-04-30,-30,1,71,-35,-43,11
"Kauno apskr.",2020-05-01,-50,-14,105,-49,-77,19
"Kauno apskr.",2020-05-02,-45,-7,16,-33,-21,5
"Kauno apskr.",2020-05-03,-38,5,71,NA,-8,-3
"Kauno apskr.",2020-05-04,-38,-19,79,-48,-41,14
"Kauno apskr.",2020-05-05,-37,-11,86,-42,-40,14
"Kauno apskr.",2020-05-06,-38,-12,32,-45,-41,16
"Kauno apskr.",2020-05-07,-36,-11,50,-40,-40,14
"Kauno apskr.",2020-05-08,-35,-2,84,-34,-38,12
"Kauno apskr.",2020-05-09,-36,0,83,-24,-7,-1
"Kauno apskr.",2020-05-10,-31,1,121,-23,-1,-4
"Kauno apskr.",2020-05-11,-33,-9,12,-44,-39,14
"Kauno apskr.",2020-05-12,-37,-6,10,-42,-39,16
"Kauno apskr.",2020-05-13,-36,-10,0,-40,-38,15
"Kauno apskr.",2020-05-14,-30,-4,44,-33,-37,12
"Kauno apskr.",2020-05-15,-33,8,61,-31,-35,11
"Kauno apskr.",2020-05-16,-37,9,14,-27,-8,3
"Kauno apskr.",2020-05-17,-38,7,9,-33,-5,1
"Kauno apskr.",2020-05-18,-28,0,58,-36,-34,12
"Kauno apskr.",2020-05-19,-30,2,22,-37,-34,12
"Kauno apskr.",2020-05-20,-26,4,84,-29,-33,10
"Kauno apskr.",2020-05-21,-28,7,31,-31,-34,11
"Kauno apskr.",2020-05-22,-33,15,78,-27,-30,8
"Kauno apskr.",2020-05-23,-33,17,127,-13,4,-5
"Kauno apskr.",2020-05-24,-42,8,-9,-36,-3,0
"Kauno apskr.",2020-05-25,-28,9,110,-31,-32,9
"Kauno apskr.",2020-05-26,-30,10,101,-27,-30,8
"Kauno apskr.",2020-05-27,-27,11,129,-24,-30,7
