"end","r","p","K"
2020-03-18,0.498200912620962,0.999999953759708,70.9988606215289
2020-03-19,0.563219394998464,0.851024570606166,76749202.2749379
2020-03-20,0.450501370232698,0.943182249635264,324514714.465329
2020-03-21,0.395433159802145,0.999999898312959,727227956.916429
2020-03-22,0.413363429820576,0.9999999899124,590.825788751236
2020-03-23,0.421795559420105,0.999999670713045,467.79783822372
2020-03-24,0.527346297997262,0.892837528259623,67114425.7033048
2020-03-25,0.431971944505516,0.999999965701289,460.318266807192
2020-03-26,0.422795970640591,0.999999959902922,499.859492067147
2020-03-27,0.424636278125623,0.999999941553337,493.363424772857
2020-03-28,0.521747567387384,0.927404951005737,610.30170910931
2020-03-29,0.578328090105882,0.893465861583385,675.448235461591
2020-03-30,0.649336358233992,0.856302162041629,758.619427980761
2020-03-31,0.710165281032306,0.828295796246173,831.173388796409
2020-04-01,0.929642456533734,0.745665790117619,1164.83093191675
2020-04-02,0.909835490482521,0.752161488100707,1129.27760336827
2020-04-03,1.15545996114365,0.6811814140436,1685.69705057639
2020-04-04,1.01718006157544,0.718364015041814,1351.09713963779
2020-04-05,0.923093408818826,0.745798775122266,1206.43440018881
2020-04-06,0.911067205177852,0.74939754903855,1192.04618551128
2020-04-07,0.896403831239234,0.753794170125234,1176.34375127604
2020-04-08,0.945483078557076,0.739631475964042,1223.76489340688
2020-04-09,1.0127338351795,0.721641672733097,1285.80545746998
2020-04-10,0.998252697340335,0.725376317676373,1273.03536853224
2020-04-11,0.999431974412237,0.725067844930637,1274.1570998281
2020-04-12,0.94257768823504,0.739865342838101,1232.18521061902
2020-04-13,0.906144187665413,0.749710671145972,1207.5208687586
2020-04-14,0.920378637389633,0.745860660388944,1216.4880821225
2020-04-15,0.987860251059891,0.728473127586701,1257.23118314744
2020-04-16,1.00837999175975,0.723448522097548,1268.99196315627
2020-04-17,1.35099558003767,0.652559221838888,1457.64659901588
2020-04-18,1.64333091002456,0.605080141344166,1626.13764992018
2020-04-19,1.68096613232471,0.599586313181144,1648.49806911046
2020-04-20,1.69163030945536,0.598075849371877,1654.76233079064
2020-04-21,1.68187929010078,0.599447050226891,1649.3456947825
2020-04-22,1.73751381021758,0.591667935691858,1679.92352596195
2020-04-23,1.69198812850703,0.598000021398101,1655.38972963393
2020-04-24,1.68445471430338,0.599065776090281,1651.69800645101
2020-04-25,1.66376077494779,0.601971371658638,1641.40212680112
2020-04-26,1.64704226210164,0.604331328975197,1633.35767798516
2020-04-27,1.61200586258986,0.609356724160443,1617.03304754586
2020-04-28,1.69146743489011,0.598156380686619,1653.13175719697
2020-04-29,1.68375457678162,0.599216611960038,1649.64347928327
2020-04-30,1.69597354636733,0.597556322962476,1654.87884718251
2020-05-01,1.68408048382815,0.599166283452298,1649.85009346847
2020-05-02,1.66593194965759,0.601662081601152,1642.36711969853
2020-05-03,1.66740452489086,0.601447689616351,1643.07385416522
2020-05-04,1.65637460760227,0.602976207466624,1638.59122906822
2020-05-05,1.65051788606623,0.60377877573479,1636.3231395402
