"end","n","r","p","K","q","Ct"
2020-04-06,2,0.547928374851874,0.953883608338684,478.829910245817,0.00159266064860742,72.2012862139657
2020-04-07,2,1.02459374599468,0.731560512467245,1180.81977124884,0.0599174089229102,1025.83138065708
2020-04-08,2,1.0738896048063,0.718569933865552,1228.27246727685,0.160618092899329,1105.12337146873
2020-04-09,2,1.09366224999667,0.714830821545488,1229.22605480676,0.176670153121723,856.290638710314
2020-04-10,2,1.0638071869116,0.721255312203974,1217.15365075863,0.0115459609383746,886.772347123039
2020-04-11,2,1.12527666410514,0.705800290862178,1276.46630532907,0.0958705738738396,1258.03429621333
2020-04-12,2,1.06931658105057,0.719129173961176,1236.11307884608,8.41289528864601,1052.94654152028
2020-04-13,2,1.02929935171293,0.72907274579964,1208.04348780218,0.0172672909466605,1254.74746416965
2020-04-14,2,1.04277477393949,0.72572878970946,1216.71053109,0.072646096854473,1297.72502695595
2020-04-15,2,1.10133202232653,0.712853691348904,1243.47810067793,0.0143673098822117,1073.64318454993
2020-04-16,2,1.09995452576135,0.713110243221338,1243.13369199432,0.0121479344967441,1074.13749325079
2020-04-17,2,0.913420425130946,0.761957723750951,1132.81490911477,0.112169709131398,884.007646275299
2020-04-18,2,0.872716519372182,0.773844519430689,1111.40033062952,0.00115330547594816,860.039458106223
2020-04-19,2,0.948130486134445,0.752409350006364,1145.83048542623,0.054362023823729,898.335132928934
2020-04-20,2,0.965524142545243,0.747624844535781,1150.76290193044,0.566696254238591,895.632572482082
2020-04-21,2,1.15817643069149,0.699956548777241,1249.79503465143,0.0499961215481345,1003.8667348847
2020-04-22,2,0.949031668374878,0.752173221228254,1140.59690280246,0.870463276730448,874.822171884924
2020-04-23,2,0.934503665268183,0.756104222820253,1130.95719055388,0.95402394683709,859.63985198699
2020-04-24,2,1.80034781326321,0.589039440807955,1649.77683013042,0.126715946988513,1569.92084135607
2020-04-25,2,1.77949944205432,0.591836428260642,1639.38259197765,0.0763790576085233,1490.07677934698
2020-04-26,2,1.76318328557063,0.594067106735774,1631.49529456796,0.0586167063384096,2037.8229063441
2020-04-27,2,1.72798482427831,0.598883549669802,1614.95756992634,1.42986884386189,1885.52565299292
2020-04-28,2,1.80868003620953,0.588771710165138,1644.07213824844,0.452892130593777,1472.5159999927
2020-04-29,2,0.936071125186589,0.756039521566793,1133.82471864289,1.00040349199802,860.418632271302
2020-04-30,2,1.74308351207705,0.596466524186044,1625.18201975048,0.626893885341009,1473.47629023325
2020-05-01,2,1.79908193481097,0.589267196079655,1647.58193381916,0.149058785863561,1933.43919273355
2020-05-02,2,1.780444350598,0.591725585270797,1639.93638418971,0.439514197759436,10167.768443293
2020-05-03,2,1.78239798627036,0.591449440592379,1640.75175859314,3.27794766048732,53379.3280383585
2020-05-04,2,1.7710771516871,0.592949150009662,1636.15044628223,2.79693780612131,42438.5402137747
2020-05-05,2,1.76499453886148,0.593754216268207,1633.76059542755,2.80745291034362,36125.8675785804
2020-05-06,2,1.76095064342525,0.594277413137172,1632.32883079728,3.62928856247446,35757.6879241009
2020-05-07,2,1.75388315946625,0.595212642676264,1629.47907347142,3.06175755502221,35379.8259978756
2020-05-08,2,0.863998045858085,0.773971279722308,1129.16027661852,0.963295703618777,850.409475869285
2020-05-09,2,0.981756998931733,0.743943251997554,1153.67523796138,1.02044434812095,879.584401646148
2020-05-10,2,0.990694784591693,0.741743135271601,1157.22897067966,1.02793549446935,882.776700947786
2020-05-11,2,0.992885239629162,0.741174185074238,1158.08497539537,1.02890996798308,883.471891731586
2020-05-12,2,1.00115357683907,0.739108589873466,1158.59062987243,1.02803607528274,884.028473439768
2020-05-13,2,1.00379963942032,0.738311709125841,1163.94109026268,1.03927186596621,888.094786533084
