"day","age_group","confirmed","confirmed_100k","confirmed_male","confirmed_male_100k","confirmed_female","confirmed_female_100k","other","total","population","population_male","population_female","downloaded"
2020-05-28,"40-49",267,72.2,109,59.3,158,85,0,267,369722,183873,185849,2020-05-29 14:00:07
2020-05-28,"50-59",371,88.5,126,64.1,245,110.1,0,371,419039,196469,222570,2020-05-29 14:00:07
2020-05-28,"60-69",246,70,103,69.7,143,70.3,0,246,351248,147788,203460,2020-05-29 14:00:07
2020-05-28,"70-79",136,57.4,63,77.1,73,47,0,136,236890,81674,155216,2020-05-29 14:00:07
2020-05-28,"Virš 80",161,97.8,47,106.2,114,94.8,0,161,164546,44257,120289,2020-05-29 14:00:07
2020-05-29,"0-9",19,6.5,9,6,10,7.1,0,19,290102,148908,141194,2020-05-30 12:18:07
2020-05-29,"10-19",42,15.9,20,14.8,22,17.1,0,42,263568,134947,128621,2020-05-30 12:18:07
2020-05-29,"20-29",215,63.3,106,59.7,109,67.2,0,215,339736,177466,162270,2020-05-30 12:18:07
2020-05-29,"30-39",207,57.6,109,57.7,98,57.6,0,207,359239,188972,170267,2020-05-30 12:18:07
2020-05-29,"40-49",267,72.2,109,59.3,158,85,0,267,369722,183873,185849,2020-05-30 12:18:07
2020-05-29,"50-59",373,89,127,64.6,246,110.5,0,373,419039,196469,222570,2020-05-30 12:18:07
2020-05-29,"60-69",249,70.9,104,70.4,145,71.3,0,249,351248,147788,203460,2020-05-30 12:18:07
2020-05-29,"70-79",137,57.8,63,77.1,74,47.7,0,137,236890,81674,155216,2020-05-30 12:18:07
2020-05-29,"Virš 80",161,97.8,47,106.2,114,94.8,0,161,164546,44257,120289,2020-05-30 12:18:07
2020-05-30,"0-9",19,6.5,9,6,10,7.1,0,19,290102,148908,141194,2020-05-31 17:30:12
2020-05-30,"10-19",43,16.3,20,14.8,23,17.9,0,43,263568,134947,128621,2020-05-31 17:30:12
2020-05-30,"20-29",216,63.6,106,59.7,110,67.8,0,216,339736,177466,162270,2020-05-31 17:30:12
2020-05-30,"30-39",208,57.9,110,58.2,98,57.6,0,208,359239,188972,170267,2020-05-31 17:30:12
2020-05-30,"40-49",267,72.2,109,59.3,158,85,0,267,369722,183873,185849,2020-05-31 17:30:12
2020-05-30,"50-59",375,89.5,128,65.2,247,111,0,375,419039,196469,222570,2020-05-31 17:30:12
2020-05-30,"60-69",249,70.9,104,70.4,145,71.3,0,249,351248,147788,203460,2020-05-31 17:30:12
2020-05-30,"70-79",137,57.8,63,77.1,74,47.7,0,137,236890,81674,155216,2020-05-31 17:30:12
2020-05-30,"Virš 80",161,97.8,47,106.2,114,94.8,0,161,164546,44257,120289,2020-05-31 17:30:12
2020-05-31,"0-9",19,6.5,9,6,10,7.1,0,19,290102,148908,141194,2020-06-01 15:44:35
2020-05-31,"10-19",43,16.3,20,14.8,23,17.9,0,43,263568,134947,128621,2020-06-01 15:44:35
2020-05-31,"20-29",216,63.6,106,59.7,110,67.8,0,216,339736,177466,162270,2020-06-01 15:44:35
2020-05-31,"30-39",208,57.9,110,58.2,98,57.6,0,208,359239,188972,170267,2020-06-01 15:44:35
