"X1","X2","X3"
"Lytis","Per parą","Iš viso"
"moteris","6","467"
"vyras","8","552"
"","",""
"Amžius","Per parą","Iš viso"
"0-19","0","0"
"20-29","1","2"
"30-39","0","3"
"40-49","0","14"
"50-59","1","83"
"60-69","2","158"
"70-79","4","272"
"80-89","4","384"
"90-99","2","100"
"100-109","0","3"
"","",""
"Apskritis","Per parą","Iš viso"
"Vilniaus","1","186"
"Kauno","8","259"
"Klaipėdos","1","130"
"Panevėžio","1","71"
"Šiaulių","0","115"
"Marijampolės","2","63"
"Utenos","0","29"
"Alytaus","0","34"
"Telšių","0","77"
"Tauragės","1","55"
