"X1","X2","X3"
"Lytis","Per parą","Iš viso"
"moteris","10","583"
"vyras","16","671"
"","",""
"Amžius","Per parą","Iš viso"
"0-19","0","0"
"20-29","0","2"
"30-39","0","7"
"40-49","0","18"
"50-59","1","100"
"60-69","10","201"
"70-79","6","333"
"80-89","8","461"
"90-99","1","129"
"100-109","0","3"
"","",""
"Apskritis","Per parą","Iš viso"
"Vilniaus","2","219"
"Kauno","11","325"
"Klaipėdos","4","153"
"Panevėžio","3","88"
"Šiaulių","2","152"
"Marijampolės","2","79"
"Utenos","0","37"
"Alytaus","0","45"
"Telšių","1","93"
"Tauragės","1","63"
