"X1","X2","X3"
"Lytis","Per parą","Iš viso"
"moteris","16","427"
"vyras","14","506"
"","",""
"Amžius","Per parą","Iš viso"
"0-19","0","0"
"20-29","0","1"
"30-39","0","2"
"40-49","0","13"
"50-59","1","76"
"60-69","4","141"
"70-79","11","252"
"80-89","9","351"
"90-99","4","94"
"100-109","1","3"
"","",""
"Apskritis","Per parą","Iš viso"
"Vilniaus","3","162"
"Kauno","13","235"
"Klaipėdos","4","127"
"Panevėžio","3","63"
"Šiaulių","2","107"
"Marijampolės","2","58"
"Utenos","1","27"
"Alytaus","2","30"
"Telšių","0","73"
"Tauragės","0","51"
