"X1","X2","X3"
"Lytis","Per parą","Iš viso"
"moteris","29","504"
"vyras","25","589"
"","",""
"Amžius","Per parą","Iš viso"
"0-19","0","0"
"20-29","0","2"
"30-39","0","3"
"40-49","1","16"
"50-59","6","91"
"60-69","8","167"
"70-79","15","292"
"80-89","14","407"
"90-99","10","112"
"100-109","0","3"
"","",""
"Apskritis","Per parą","Iš viso"
"Vilniaus","7","201"
"Kauno","18","281"
"Klaipėdos","4","135"
"Panevėžio","6","77"
"Šiaulių","7","126"
"Marijampolės","3","66"
"Utenos","1","30"
"Alytaus","4","38"
"Telšių","1","81"
"Tauragės","3","58"
