"X1","X2","X3"
"Lytis","Per parą","Iš viso"
"moteris","9","565"
"vyras","10","640"
"","",""
"Amžius","Per parą","Iš viso"
"0-19","0","0"
"20-29","0","2"
"30-39","1","6"
"40-49","1","16"
"50-59","1","98"
"60-69","2","188"
"70-79","7","320"
"80-89","6","446"
"90-99","1","126"
"100-109","0","3"
"","",""
"Apskritis","Per parą","Iš viso"
"Vilniaus","0","215"
"Kauno","10","309"
"Klaipėdos","1","147"
"Panevėžio","0","85"
"Šiaulių","3","144"
"Marijampolės","2","75"
"Utenos","1","35"
"Alytaus","1","44"
"Telšių","0","89"
"Tauragės","1","62"
