"X1","X2","X3"
"Lytis","Per parą","Iš viso"
"moteris","8","573"
"vyras","15","655"
"","",""
"Amžius","Per parą","Iš viso"
"0-19","0","0"
"20-29","0","2"
"30-39","1","7"
"40-49","2","18"
"50-59","1","99"
"60-69","3","191"
"70-79","7","327"
"80-89","7","453"
"90-99","2","128"
"100-109","0","3"
"","",""
"Apskritis","Per parą","Iš viso"
"Vilniaus","2","217"
"Kauno","5","314"
"Klaipėdos","2","149"
"Panevėžio","0","85"
"Šiaulių","6","150"
"Marijampolės","2","77"
"Utenos","2","37"
"Alytaus","1","45"
"Telšių","3","92"
"Tauragės","0","62"
