"X1","X2","X3"
"Lytis","Per parą","Iš viso"
"moteris","37","627"
"vyras","41","720"
"","",""
"Amžius","Per parą","Iš viso"
"0-19","0","0"
"20-29","0","2"
"30-39","0","7"
"40-49","1","19"
"50-59","1","106"
"60-69","14","218"
"70-79","20","357"
"80-89","33","496"
"90-99","9","139"
"100-109","0","3"
"","",""
"Apskritis","Per parą","Iš viso"
"Vilniaus","18","240"
"Kauno","18","347"
"Klaipėdos","4","158"
"Panevėžio","4","95"
"Šiaulių","7","163"
"Marijampolės","2","81"
"Utenos","4","41"
"Alytaus","1","46"
"Telšių","13","106"
"Tauragės","7","70"
