"X1","X2","X3"
"Lytis","Per parą","Iš viso"
"moteris","28","556"
"vyras","15","630"
"","",""
"Amžius","Per parą","Iš viso"
"0-19","0","0"
"20-29","0","2"
"30-39","1","5"
"40-49","0","15"
"50-59","4","97"
"60-69","9","186"
"70-79","11","313"
"80-89","15","440"
"90-99","3","125"
"100-109","0","3"
"","",""
"Apskritis","Per parą","Iš viso"
"Vilniaus","4","215"
"Kauno","5","299"
"Klaipėdos","8","146"
"Panevėžio","6","85"
"Šiaulių","6","141"
"Marijampolės","4","73"
"Utenos","2","34"
"Alytaus","4","43"
"Telšių","2","89"
"Tauragės","2","61"
