"X1","X2","X3"
"Lytis","Per parą","Iš viso"
"moteris","16","676"
"vyras","20","782"
"","",""
"Amžius","Per parą","Iš viso"
"0-19","0","0"
"20-29","0","2"
"30-39","0","7"
"40-49","1","23"
"50-59","5","118"
"60-69","8","243"
"70-79","9","384"
"80-89","9","530"
"90-99","4","147"
"100-109","0","4"
"","",""
"Apskritis","Per parą","Iš viso"
"Vilniaus","9","266"
"Kauno","1","365"
"Klaipėdos","2","168"
"Panevėžio","4","111"
"Šiaulių","11","184"
"Marijampolės","5","87"
"Utenos","2","43"
"Alytaus","0","53"
"Telšių","1","109"
"Tauragės","1","72"
