"X1","X2","X3"
"Lytis","Per parą","Iš viso"
"moteris","14","968"
"vyras","13","1068"
"","",""
"Amžius","Per parą","Iš viso"
"0-19","0","0"
"20-29","0","2"
"30-39","0","10"
"40-49","0","29"
"50-59","3","167"
"60-69","6","335"
"70-79","4","551"
"80-89","14","745"
"90-99","0","192"
"100-109","0","5"
