"X1","X2","X3"
"Lytis","Per parą","Iš viso"
"moteris","11","768"
"vyras","16","875"
"","",""
"Amžius","Per parą","Iš viso"
"0-19","0","0"
"20-29","0","2"
"30-39","0","8"
"40-49","1","25"
"50-59","1","129"
"60-69","4","266"
"70-79","6","439"
"80-89","12","600"
"90-99","3","170"
"100-109","0","4"
"","",""
"Apskritis","Per parą","Iš viso"
"Vilniaus","0","296"
"Kauno","7","392"
"Klaipėdos","5","185"
"Panevėžio","1","120"
"Šiaulių","5","253"
"Marijampolės","2","92"
"Utenos","0","46"
"Alytaus","2","62"
"Telšių","3","117"
"Tauragės","2","80"
