"X1","X2","X3"
"Lytis","Per parą","Iš viso"
"moteris","7","590"
"vyras","8","679"
"","",""
"Amžius","Per parą","Iš viso"
"0-19","0","0"
"20-29","0","2"
"30-39","0","7"
"40-49","0","18"
"50-59","5","105"
"60-69","3","204"
"70-79","4","337"
"80-89","2","463"
"90-99","1","130"
"100-109","0","3"
"","",""
"Apskritis","Per parą","Iš viso"
"Vilniaus","3","222"
"Kauno","4","329"
"Klaipėdos","1","154"
"Panevėžio","3","91"
"Šiaulių","4","156"
"Marijampolės","0","79"
"Utenos","0","37"
"Alytaus","0","45"
"Telšių","0","93"
"Tauragės","0","63"
