"X1","X2","X3"
"Lytis","Per parą","Iš viso"
"moteris","14","461"
"vyras","19","544"
"","",""
"Amžius","Per parą","Iš viso"
"0-19","0","0"
"20-29","0","1"
"30-39","1","3"
"40-49","0","14"
"50-59","3","82"
"60-69","6","156"
"70-79","7","268"
"80-89","15","380"
"90-99","1","98"
"100-109","0","3"
"","",""
"Apskritis","Per parą","Iš viso"
"Vilniaus","6","185"
"Kauno","6","251"
"Klaipėdos","2","129"
"Panevėžio","4","70"
"Šiaulių","5","115"
"Marijampolės","2","61"
"Utenos","2","29"
"Alytaus","2","34"
"Telšių","1","77"
"Tauragės","3","54"
