"X1","X2","X3"
"Lytis","Per parą","Iš viso"
"moteris","33","660"
"vyras","42","762"
"","",""
"Amžius","Per parą","Iš viso"
"0-19","0","0"
"20-29","0","2"
"30-39","0","7"
"40-49","3","22"
"50-59","7","113"
"60-69","17","235"
"70-79","18","375"
"80-89","25","521"
"90-99","4","143"
"100-109","1","4"
"","",""
"Apskritis","Per parą","Iš viso"
"Vilniaus","17","257"
"Kauno","17","364"
"Klaipėdos","8","166"
"Panevėžio","12","107"
"Šiaulių","10","173"
"Marijampolės","1","82"
"Utenos","0","41"
"Alytaus","7","53"
"Telšių","2","108"
"Tauragės","1","71"
