"X1","X2","X3"
"Lytis","Per parą","Iš viso"
"moteris","23","528"
"vyras","27","615"
"","",""
"Amžius","Per parą","Iš viso"
"0-19","0","0"
"20-29","0","2"
"30-39","1","4"
"40-49","0","15"
"50-59","2","93"
"60-69","10","177"
"70-79","10","302"
"80-89","18","425"
"90-99","9","122"
"100-109","0","3"
"","",""
"Apskritis","Per parą","Iš viso"
"Vilniaus","10","211"
"Kauno","13","294"
"Klaipėdos","3","138"
"Panevėžio","1","79"
"Šiaulių","9","135"
"Marijampolės","3","69"
"Utenos","2","32"
"Alytaus","1","39"
"Telšių","7","87"
"Tauragės","1","59"
