"X1","X2","X3"
"Lytis","Per parą","Iš viso"
"moteris","20","447"
"vyras","19","525"
"","",""
"Amžius","Per parą","Iš viso"
"0-19","0","0"
"20-29","0","1"
"30-39","0","2"
"40-49","1","14"
"50-59","3","79"
"60-69","9","150"
"70-79","9","261"
"80-89","14","365"
"90-99","3","97"
"100-109","0","3"
"","",""
"Apskritis","Per parą","Iš viso"
"Vilniaus","17","179"
"Kauno","10","245"
"Klaipėdos","0","127"
"Panevėžio","3","66"
"Šiaulių","3","110"
"Marijampolės","1","59"
"Utenos","0","27"
"Alytaus","2","32"
"Telšių","3","76"
"Tauragės","0","51"
