"X1","X2","X3"
"Lytis","Per parą","Iš viso"
"moteris","6","756"
"vyras","19","858"
"","",""
"Amžius","Per parą","Iš viso"
"0-19","0","0"
"20-29","0","2"
"30-39","0","7"
"40-49","0","24"
"50-59","0","128"
"60-69","5","262"
"70-79","10","432"
"80-89","8","588"
"90-99","2","167"
"100-109","0","4"
"","",""
"Apskritis","Per parą","Iš viso"
"Vilniaus","1","295"
"Kauno","4","384"
"Klaipėdos","3","180"
"Panevėžio","1","119"
"Šiaulių","7","248"
"Marijampolės","2","90"
"Utenos","2","46"
"Alytaus","3","60"
"Telšių","2","114"
"Tauragės","0","78"
