"OBJECTID","AMZIAUSGRUPE","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","KITA","VISO"
1,"0-9",NA,17,7,10,0,17
2,"10-19",NA,38,18,20,0,38
3,"20-29",NA,205,102,103,0,205
4,"30-39",NA,198,104,94,0,198
5,"40-49",NA,258,105,153,0,258
6,"50-59",NA,353,118,235,0,353
7,"60-69",NA,232,100,132,0,232
8,"70-79",NA,133,63,70,0,133
9,"Virš 80",NA,156,43,113,0,156
