"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA"
1,"82","Utenos r.","9","Utenos apskr.",NA,4,1,3,0,4,0,2020-05-25 09:03:25
2,"49","Kaišiadorių r.","2","Kauno apskr.",NA,3,1,2,0,3,0,2020-05-25 09:03:25
3,"39","Vilkaviškio r.","4","Marijampolės apskr.",NA,7,4,3,0,6,1,2020-05-25 09:03:26
4,"69","Prienų r.","2","Kauno apskr.",NA,5,3,2,0,5,0,2020-05-25 09:03:26
5,"46","Jonavos r.","2","Kauno apskr.",NA,9,1,8,0,9,0,2020-05-25 09:03:27
6,"74","Rietavo","8","Telšių apskr.",NA,6,4,2,0,6,0,2020-05-25 09:03:27
7,"18","Marijampolės","4","Marijampolės apskr.",NA,77,31,46,4,69,3,2020-05-25 09:03:28
8,"19","Kauno m.","2","Kauno apskr.",NA,100,50,50,15,82,3,2020-05-25 09:03:28
9,"11","Alytaus m.","1","Alytaus apskr.",NA,28,17,11,0,27,1,2020-05-25 09:03:29
10,"15","Druskininkų","1","Alytaus apskr.",NA,1,0,1,0,1,0,2020-05-25 09:03:30
11,"47","Joniškio r.","6","Šiaulių apskr.",NA,15,8,7,0,14,1,2020-05-25 09:03:30
12,"58","Kazlų Rūdos","4","Marijampolės apskr.",NA,2,0,2,1,1,0,2020-05-25 09:03:31
13,"36","Biržų r.","5","Panevėžio apskr.",NA,10,5,5,0,10,0,2020-05-25 09:03:31
14,"91","Šiaulių r.","6","Šiaulių apskr.",NA,11,6,5,1,9,1,2020-05-25 09:03:32
15,"55","Klaipėdos r.","3","Klaipėdos apskr.",NA,55,24,31,9,43,3,2020-05-25 09:03:32
16,"34","Anykščių r.","9","Utenos apskr.",NA,6,2,4,0,6,0,2020-05-25 09:03:33
17,"32","Akmenės r.","6","Šiaulių apskr.",NA,5,3,2,0,5,0,2020-05-25 09:03:33
18,"62","Molėtų r.","9","Utenos apskr.",NA,3,1,2,2,1,0,2020-05-25 09:03:34
19,"71","Radviliškio r.","6","Šiaulių apskr.",NA,3,2,1,0,3,0,2020-05-25 09:03:35
22,"73","Rokiškio r.","5","Panevėžio apskr.",NA,3,0,3,0,3,0,2020-05-25 09:03:35
23,"84","Šakių r.","4","Marijampolės apskr.",NA,3,1,2,0,2,1,2020-05-25 09:03:36
24,"66","Panevėžio r.","5","Panevėžio apskr.",NA,8,5,3,1,6,1,2020-05-25 09:03:37
25,"79","Trakų r.","10","Vilniaus apskr.",NA,5,5,0,0,5,0,2020-05-25 09:03:37
27,"57","Kupiškio r.","5","Panevėžio apskr.",NA,1,1,0,0,1,0,2020-05-05 10:19:52
28,"75","Skuodo r.","3","Klaipėdos apskr.",NA,2,0,2,0,2,0,2020-05-25 09:03:38
31,"25","Palangos m.","3","Klaipėdos apskr.",NA,12,6,6,5,6,1,2020-05-25 09:03:39
32,"63","Pagėgių","7","Tauragės apskr.",NA,1,0,1,0,1,0,2020-05-25 09:03:40
