"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","PLOTAS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","SHAPE_AREA","SHAPE_LEN","ATVEJAI","ATVEJAI_10000_GYV","GYV_SK","GYDOMA_10000_GYV","ATVEJAI_14","ATVEJAI_14_100000","ATVEJAI_14_100000LT","MIRTYS_KITA"
91965,NA,"Utenos r.",NA,NA,NA,NA,10,5,5,2,8,0,2020-09-16 06:50:13,0,0,10,26.9,37179,5.4,1,2.7,17.4,0
91966,NA,"Kaišiadorių r.",NA,NA,NA,NA,9,4,5,5,4,0,2020-09-16 06:50:15,0,0,9,30.5,29526,16.9,0,0,17.4,0
91967,NA,"Vilkaviškio r.",NA,NA,NA,NA,9,4,5,1,7,1,2020-09-16 06:50:16,0,0,9,26,34660,2.9,1,2.9,17.4,0
91968,NA,"Prienų r.",NA,NA,NA,NA,29,11,18,7,21,1,2020-09-16 06:50:17,0,0,29,112.4,25802,27.1,3,11.6,17.4,0
92225,NA,"Jonavos r.",NA,NA,NA,NA,20,7,13,1,19,0,2020-09-16 06:50:18,0,0,20,48.6,41163,2.4,0,0,17.4,0
92226,NA,"Rietavo",NA,NA,NA,NA,6,4,2,0,6,0,2020-09-16 06:50:19,0,0,6,82.7,7258,0,0,0,17.4,0
92227,NA,"Marijampolės",NA,NA,NA,NA,89,39,50,7,78,4,2020-09-16 06:50:20,0,0,89,165.5,53772,13,4,7.4,17.4,0
92228,NA,"Kauno m.",NA,NA,NA,NA,390,214,176,227,155,7,2020-09-16 06:50:22,0,0,390,134.8,289380,78.4,41,14.2,17.4,1
92229,NA,"Alytaus m.",NA,NA,NA,NA,34,21,13,6,27,1,2020-09-16 06:50:23,0,0,34,68.2,49888,12,5,10,17.4,0
92230,NA,"Druskininkų",NA,NA,NA,NA,1,0,1,0,1,0,2020-09-16 06:50:24,0,0,1,5.2,19109,0,0,0,17.4,0
92231,NA,"Joniškio r.",NA,NA,NA,NA,15,8,7,0,14,1,2020-09-16 06:50:25,0,0,15,72.4,20726,0,0,0,17.4,0
92232,NA,"Kazlų Rūdos",NA,NA,NA,NA,3,0,3,0,3,0,2020-09-16 06:50:26,0,0,3,26.5,11337,0,0,0,17.4,0
92233,NA,"Biržų r.",NA,NA,NA,NA,14,6,8,2,12,0,2020-09-16 06:50:28,0,0,14,61.6,22718,8.8,2,8.8,17.4,0
92234,NA,"Šiaulių r.",NA,NA,NA,NA,22,10,12,10,11,1,2020-09-16 06:50:29,0,0,22,53.1,41442,24.1,10,24.1,17.4,0
92235,NA,"Klaipėdos r.",NA,NA,NA,NA,86,42,44,14,68,4,2020-09-16 06:50:30,0,0,86,143,60139,23.3,12,20,17.4,0
92236,NA,"Anykščių r.",NA,NA,NA,NA,10,4,6,2,8,0,2020-09-16 06:50:31,0,0,10,43.4,23034,8.7,1,4.3,17.4,0
92237,NA,"Akmenės r.",NA,NA,NA,NA,8,4,4,3,5,0,2020-09-16 06:50:33,0,0,8,42.6,18764,16,1,5.3,17.4,0
92238,NA,"Molėtų r.",NA,NA,NA,NA,44,11,33,32,12,0,2020-09-16 06:50:34,0,0,44,256.5,17153,186.6,4,23.3,17.4,0
92239,NA,"Radviliškio r.",NA,NA,NA,NA,12,9,3,4,8,0,2020-09-16 06:50:36,0,0,12,34.3,34995,11.4,4,11.4,17.4,0
92240,NA,"Rokiškio r.",NA,NA,NA,NA,17,6,11,12,5,0,2020-09-16 06:50:37,0,0,17,60.6,28070,42.8,8,28.5,17.4,0
92241,NA,"Šakių r.",NA,NA,NA,NA,13,7,6,1,11,1,2020-09-16 06:50:39,0,0,13,48.7,26698,3.7,0,0,17.4,0
92242,NA,"Panevėžio r.",NA,NA,NA,NA,16,8,8,2,13,1,2020-09-16 06:50:40,0,0,16,45.3,35324,5.7,1,2.8,17.4,0
92243,NA,"Trakų r.",NA,NA,NA,NA,37,18,19,20,17,0,2020-09-16 06:50:42,0,0,37,113.7,32546,61.5,7,21.5,17.4,0
92244,NA,"Kupiškio r.",NA,NA,NA,NA,10,6,4,2,8,0,2020-09-16 06:50:43,0,0,10,61.1,16356,12.2,1,6.1,17.4,0
92245,NA,"Skuodo r.",NA,NA,NA,NA,9,2,7,5,4,0,2020-09-16 06:50:45,0,0,9,56,16078,31.1,3,18.7,17.4,0
92246,NA,"Palangos m.",NA,NA,NA,NA,12,6,6,0,11,1,2020-09-16 06:50:47,0,0,12,74.8,16046,0,0,0,17.4,0
92247,NA,"Pagėgių",NA,NA,NA,NA,5,0,5,4,1,0,2020-09-16 06:50:48,0,0,5,68.6,7288,54.9,4,54.9,17.4,0
92248,NA,"Šalčininkų r.",NA,NA,NA,NA,34,11,23,7,27,0,2020-09-16 06:50:49,0,0,34,111.4,30520,22.9,4,13.1,17.4,0
92249,NA,"Vilniaus r.",NA,NA,NA,NA,344,132,212,49,288,3,2020-09-16 06:50:52,0,0,344,343.5,100158,48.9,15,15,17.4,4
92250,NA,"Švenčionių r.",NA,NA,NA,NA,44,16,28,33,11,0,2020-09-16 06:50:53,0,0,44,191.9,22932,143.9,8,34.9,17.4,0
92251,NA,"Zarasų r.",NA,NA,NA,NA,5,5,0,3,2,0,2020-09-16 06:50:55,0,0,5,33.5,14916,20.1,0,0,17.4,0
92252,NA,"Kėdainių r.",NA,NA,NA,NA,25,15,10,13,12,0,2020-09-16 06:50:56,0,0,25,55.2,45285,28.7,10,22.1,17.4,0
92253,NA,"Ukmergės r.",NA,NA,NA,NA,94,30,64,5,79,9,2020-09-16 06:50:58,0,0,94,280.8,33471,14.9,1,3,17.4,1
92254,NA,"Kelmės r.",NA,NA,NA,NA,4,2,2,1,3,0,2020-09-16 06:50:59,0,0,4,15.8,25382,3.9,1,3.9,17.4,0
92255,NA,"Širvintų r.",NA,NA,NA,NA,20,11,9,0,19,0,2020-09-16 06:51:01,0,0,20,132.7,15076,0,0,0,17.4,1
92256,NA,"Kalvarijos",NA,NA,NA,NA,6,2,4,1,4,0,2020-09-16 06:51:03,0,0,6,58.9,10190,9.8,1,9.8,17.4,1
92257,NA,"Kauno r.",NA,NA,NA,NA,107,53,54,63,43,1,2020-09-16 06:51:04,0,0,107,110.9,96441,65.3,12,12.4,17.4,0
92258,NA,"Šilutės r.",NA,NA,NA,NA,15,9,6,5,10,0,2020-09-16 06:51:06,0,0,15,39.9,37637,13.3,3,8,17.4,0
92259,NA,"Tauragės r.",NA,NA,NA,NA,49,38,11,32,17,0,2020-09-16 06:51:08,0,0,49,129.6,37805,84.6,11,29.1,17.4,0
92260,NA,"Lazdijų r.",NA,NA,NA,NA,7,3,4,0,7,0,2020-09-16 06:51:10,0,0,7,38.2,18331,0,0,0,17.4,0
92261,NA,"Jurbarko r.",NA,NA,NA,NA,21,15,6,17,3,0,2020-09-16 06:51:12,0,0,21,84.6,24822,68.5,13,52.4,17.4,1
92262,NA,"Elektrėnų",NA,NA,NA,NA,23,12,11,16,7,0,2020-09-16 06:51:14,0,0,23,95.9,23992,66.7,7,29.2,17.4,0
92263,NA,"Neringos",NA,NA,NA,NA,2,1,1,1,1,0,2020-09-16 06:51:16,0,0,2,56.7,3530,28.3,0,0,17.4,0
92264,NA,"Mažeikių r.",NA,NA,NA,NA,22,12,10,14,7,1,2020-09-16 06:51:18,0,0,22,43.1,51067,27.4,10,19.6,17.4,0
92265,NA,"Ignalinos r.",NA,NA,NA,NA,24,11,13,6,18,0,2020-09-16 06:51:21,0,0,24,166.3,14433,41.6,0,0,17.4,0
92266,NA,"Telšių r.",NA,NA,NA,NA,14,6,8,3,9,2,2020-09-16 06:51:22,0,0,14,35.6,39317,7.6,3,7.6,17.4,0
92267,NA,"Plungės r.",NA,NA,NA,NA,12,5,7,4,8,0,2020-09-16 06:51:24,0,0,12,36.4,32987,12.1,4,12.1,17.4,0
92268,NA,"Kretingos r.",NA,NA,NA,NA,66,25,41,2,60,4,2020-09-16 06:51:27,0,0,66,176.3,37427,5.3,2,5.3,17.4,0
92269,NA,"Varėnos r.",NA,NA,NA,NA,2,1,1,1,0,1,2020-09-16 06:51:28,0,0,2,9.6,20840,4.8,1,4.8,17.4,0
92270,NA,"Alytaus r.",NA,NA,NA,NA,7,4,3,0,7,0,2020-09-16 06:51:31,0,0,7,27,25887,0,0,0,17.4,0
92271,NA,"Raseinių r.",NA,NA,NA,NA,32,9,23,26,5,1,2020-09-16 06:51:33,0,0,32,102.5,31225,83.3,25,80.1,17.4,0
92272,NA,"Vilniaus m.",NA,NA,NA,NA,967,461,506,386,554,22,2020-09-16 06:51:36,0,0,967,172.1,562030,68.7,141,25.1,17.4,5
92273,NA,"Šilalės r.",NA,NA,NA,NA,11,10,1,8,3,0,2020-09-16 06:51:38,0,0,11,50.3,21887,36.6,8,36.6,17.4,0
92274,NA,"Klaipėdos m.",NA,NA,NA,NA,351,138,212,61,271,18,2020-09-16 06:51:40,0,0,351,235.3,149157,40.9,23,15.4,17.4,0
92275,NA,"Visagino",NA,NA,NA,NA,14,7,7,6,8,0,2020-09-16 06:51:42,0,0,14,76.7,18250,32.9,2,11,17.4,0
92276,NA,"Pasvalio r.",NA,NA,NA,NA,13,4,9,3,10,0,2020-09-16 06:51:44,0,0,13,57,22816,13.1,1,4.4,17.4,0
92277,NA,"Panevėžio m.",NA,NA,NA,NA,94,45,49,18,75,1,2020-09-16 06:51:46,0,0,94,109.5,85878,21,12,14,17.4,0
92278,NA,"Šiaulių m.",NA,NA,NA,NA,83,41,42,62,20,1,2020-09-16 06:51:48,0,0,83,81.8,101514,61.1,55,54.2,17.4,0
92279,NA,"Birštono",NA,NA,NA,NA,0,0,0,0,0,0,2020-09-16 06:51:48,0,0,0,0,4069,0,0,0,17.4,0
92280,NA,"Pakruojo r.",NA,NA,NA,NA,1,0,1,1,0,0,2020-09-16 06:51:50,0,0,1,5.4,18606,5.4,0,0,17.4,0
61,NA,"Kita",NA,NA,NA,NA,1,0,0,0,0,0,2020-09-16 07:02:39,0,0,1,0,0,0,0,0,17.4,0
