"OBJECTID","AMZIAUSGRUPE","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","KITA","VISO","GYV_SKAIC","GYV_SKAIC_V","GYV_SKAIC_M","ATVEJAI_V_100000","ATVEJAI_M_100000","ATVEJAI_VISI_100000"
1,"0-9",NA,52,25,27,0,52,290102,148908,141194,16.8,19.1,17.9
2,"10-19",NA,82,45,37,0,82,263568,134947,128621,33.3,28.8,31.1
3,"20-29",NA,295,152,143,0,295,339736,177466,162270,85.7,88.1,86.8
4,"30-39",NA,343,187,156,0,343,359239,188972,170267,99,91.6,95.5
5,"40-49",NA,421,190,231,0,421,369722,183873,185849,103.3,124.3,113.9
6,"50-59",NA,504,198,306,0,504,419039,196469,222570,100.8,137.5,120.3
7,"60-69",NA,330,143,187,0,330,351248,147788,203460,96.8,91.9,94
8,"70-79",NA,150,63,87,0,150,236890,81674,155216,77.1,56.1,63.3
9,"Virš 80",NA,175,53,121,1,174,164546,44257,120289,119.8,100.6,106.4
