"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","PLOTAS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","SHAPE_AREA","SHAPE_LEN","ATVEJAI","ATVEJAI_10000_GYV","GYV_SK","GYDOMA_10000_GYV","ATVEJAI_14","ATVEJAI_14_100000","ATVEJAI_14_100000LT"
61,NA,"Kita",NA,NA,NA,NA,0,9,5,1,12,1,2020-06-14 06:54:39,0,0,0,NA,NA,NA,0,0,3.4
64961,NA,"Utenos r.",NA,NA,NA,NA,6,3,3,2,4,0,2020-06-14 06:52:08,0,0,6,16.1,37179,5.4,1,NA,NA
64962,NA,"Kaišiadorių r.",NA,NA,NA,NA,3,1,2,0,3,0,2020-06-14 06:52:08,0,0,3,10.2,29526,0,0,NA,NA
64963,NA,"Vilkaviškio r.",NA,NA,NA,NA,7,4,3,0,6,1,2020-06-14 06:52:09,0,0,7,20.2,34660,0,0,NA,NA
64964,NA,"Prienų r.",NA,NA,NA,NA,5,3,2,0,5,0,2020-06-14 06:52:10,0,0,5,19.4,25802,0,0,NA,NA
64965,NA,"Jonavos r.",NA,NA,NA,NA,13,3,10,4,9,0,2020-06-14 06:52:10,0,0,13,31.6,41163,9.7,4,NA,NA
64966,NA,"Rietavo",NA,NA,NA,NA,6,4,2,0,6,0,2020-06-14 06:52:11,0,0,6,82.7,7258,0,0,NA,NA
64967,NA,"Marijampolės",NA,NA,NA,NA,75,31,44,0,71,4,2020-06-14 06:52:11,0,0,75,139.5,53772,0,0,NA,NA
64968,NA,"Kauno m.",NA,NA,NA,NA,104,51,53,10,90,3,2020-06-14 06:52:12,0,0,104,35.9,289380,3.5,2,NA,NA
64969,NA,"Alytaus m.",NA,NA,NA,NA,28,17,11,0,27,1,2020-06-14 06:52:13,0,0,28,56.1,49888,0,0,NA,NA
64970,NA,"Druskininkų",NA,NA,NA,NA,1,0,1,0,1,0,2020-06-14 06:52:13,0,0,1,5.2,19109,0,0,NA,NA
64971,NA,"Joniškio r.",NA,NA,NA,NA,15,8,7,0,14,1,2020-06-14 06:52:14,0,0,15,72.4,20726,0,0,NA,NA
64972,NA,"Kazlų Rūdos",NA,NA,NA,NA,3,0,3,1,2,0,2020-06-14 06:52:14,0,0,3,26.5,11337,8.8,0,NA,NA
64973,NA,"Biržų r.",NA,NA,NA,NA,10,5,5,0,10,0,2020-06-14 06:52:15,0,0,10,44,22718,0,0,NA,NA
64974,NA,"Šiaulių r.",NA,NA,NA,NA,11,6,5,0,10,1,2020-06-14 06:52:15,0,0,11,26.5,41442,0,0,NA,NA
64975,NA,"Klaipėdos r.",NA,NA,NA,NA,59,27,32,3,52,4,2020-06-14 06:52:16,0,0,59,98.1,60139,5,3,NA,NA
64976,NA,"Anykščių r.",NA,NA,NA,NA,6,2,4,0,6,0,2020-06-14 06:52:17,0,0,6,26,23034,0,0,NA,NA
64977,NA,"Akmenės r.",NA,NA,NA,NA,5,3,2,0,5,0,2020-06-14 06:52:17,0,0,5,26.6,18764,0,0,NA,NA
64978,NA,"Molėtų r.",NA,NA,NA,NA,3,1,2,2,1,0,2020-06-14 06:52:18,0,0,3,17.5,17153,11.7,0,NA,NA
64979,NA,"Radviliškio r.",NA,NA,NA,NA,4,3,1,1,3,0,2020-06-14 06:52:19,0,0,4,11.4,34995,2.9,1,NA,NA
64980,NA,"Rokiškio r.",NA,NA,NA,NA,3,0,3,0,3,0,2020-06-14 06:52:19,0,0,3,10.7,28070,0,0,NA,NA
64981,NA,"Šakių r.",NA,NA,NA,NA,4,2,2,1,2,1,2020-06-14 06:52:20,0,0,4,15,26698,3.7,1,NA,NA
64982,NA,"Panevėžio r.",NA,NA,NA,NA,8,5,3,0,7,1,2020-06-14 06:52:21,0,0,8,22.6,35324,0,0,NA,NA
64983,NA,"Trakų r.",NA,NA,NA,NA,5,5,0,0,5,0,2020-06-14 06:52:21,0,0,5,15.4,32546,0,0,NA,NA
64984,NA,"Kupiškio r.",NA,NA,NA,NA,1,1,0,0,1,0,2020-06-14 06:52:21,0,0,1,6.1,16356,0,0,NA,NA
64985,NA,"Skuodo r.",NA,NA,NA,NA,3,1,2,1,2,0,2020-06-14 06:52:22,0,0,3,18.7,16078,6.2,0,NA,NA
64986,NA,"Palangos m.",NA,NA,NA,NA,12,6,6,3,8,1,2020-06-14 06:52:23,0,0,12,74.8,16046,18.7,0,NA,NA
64987,NA,"Pagėgių",NA,NA,NA,NA,1,0,1,0,1,0,2020-06-14 06:52:23,0,0,1,13.7,7288,0,0,NA,NA
64988,NA,"Šalčininkų r.",NA,NA,NA,NA,12,5,7,2,10,0,2020-06-14 06:52:24,0,0,12,39.3,30520,6.6,0,NA,NA
