"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA"
26,"21","Klaipėdos m.","3","Klaipėdos apskr.",NA,272,89,183,84,172,16,"1590146477000"
59,"13","Vilniaus m.","10","Vilniaus apskr.",NA,402,174,228,151,237,10,"1590146476000"
38,"81","Ukmergės r.","10","Vilniaus apskr.",NA,86,27,59,7,71,8,"1590146464000"
15,"55","Klaipėdos r.","3","Klaipėdos apskr.",NA,55,24,31,11,41,3,"1590146453000"
7,"18","Marijampolės","4","Marijampolės apskr.",NA,77,31,46,4,69,3,"1590146448000"
34,"41","Vilniaus r.","10","Vilniaus apskr.",NA,234,83,151,79,150,3,"1590146461000"
8,"19","Kauno m.","2","Kauno apskr.",NA,100,50,50,15,82,3,"1590146449000"
52,"78","Telšių r.","8","Telšių apskr.",NA,10,5,5,1,7,2,"1590146472000"
54,"56","Kretingos r.","3","Klaipėdos apskr.",NA,59,22,37,28,29,2,"1590146473000"
23,"84","Šakių r.","4","Marijampolės apskr.",NA,3,1,2,0,2,1,"1590146457000"
24,"66","Panevėžio r.","5","Panevėžio apskr.",NA,8,5,3,1,6,1,"1590146457000"
55,"38","Varėnos r.","1","Alytaus apskr.",NA,1,1,0,0,0,1,"1590146474000"
14,"91","Šiaulių r.","6","Šiaulių apskr.",NA,11,6,5,1,9,1,"1590146452000"
57,"72","Raseinių r.","2","Kauno apskr.",NA,6,1,5,0,5,1,"1590146475000"
9,"11","Alytaus m.","1","Alytaus apskr.",NA,28,17,11,0,27,1,"1590146449000"
31,"25","Palangos m.","3","Klaipėdos apskr.",NA,12,6,6,5,6,1,"1590146459000"
21,"27","Panevėžio m.","5","Panevėžio apskr.",NA,21,13,8,2,18,1,"1590146479000"
11,"47","Joniškio r.","6","Šiaulių apskr.",NA,15,8,7,0,14,1,"1590146450000"
3,"39","Vilkaviškio r.","4","Marijampolės apskr.",NA,7,4,3,0,6,1,"1590146446000"
29,"29","Šiaulių m.","6","Šiaulių apskr.",NA,13,8,5,1,11,1,"1590146480000"
37,"53","Kėdainių r.","2","Kauno apskr.",NA,1,0,1,0,1,0,"1590146463000"
39,"54","Kelmės r.","6","Šiaulių apskr.",NA,2,1,1,0,2,0,"1590146464000"
40,"89","Širvintų r.","10","Vilniaus apskr.",NA,8,4,4,2,5,0,"1590146465000"
41,"48","Kalvarijos","4","Marijampolės apskr.",NA,4,2,2,2,2,0,"1590146465000"
42,"52","Kauno r.","2","Kauno apskr.",NA,21,14,7,2,19,0,"1590146466000"
44,"88","Šilutės r.","3","Klaipėdos apskr.",NA,7,4,3,2,5,0,"1590146467000"
45,"77","Tauragės r.","7","Tauragės apskr.",NA,8,4,4,1,7,0,"1590146467000"
46,"59","Lazdijų r.","1","Alytaus apskr.",NA,2,0,2,0,2,0,"1590146468000"
47,"94","Jurbarko r.","7","Tauragės apskr.",NA,2,1,1,0,2,0,"1590146469000"
48,"42","Elektrėnų","10","Vilniaus apskr.",NA,6,2,4,3,3,0,"1590146469000"
49,"23","Neringos","3","Klaipėdos apskr.",NA,1,1,0,1,0,0,"1590146470000"
50,"61","Mažeikių r.","8","Telšių apskr.",NA,7,4,3,2,5,0,"1590146470000"
51,"45","Ignalinos r.","9","Utenos apskr.",NA,3,1,2,1,2,0,"1590146471000"
53,"68","Plungės r.","8","Telšių apskr.",NA,7,4,3,0,7,0,"1590146472000"
56,"33","Alytaus r.","1","Alytaus apskr.",NA,7,4,3,0,7,0,"1590146474000"
60,"87","Šilalės r.","7","Tauragės apskr.",NA,3,2,1,0,3,0,"1590146477000"
20,"30","Visagino","9","Utenos apskr.",NA,3,1,2,0,3,0,"1590146478000"
58,"67","Pasvalio r.","5","Panevėžio apskr.",NA,4,3,1,1,3,0,"1590146479000"
30,"12","Birštono","2","Kauno apskr.",NA,0,0,0,0,0,0,"1588673992000"
36,"43","Zarasų r.","9","Utenos apskr.",NA,0,0,0,0,0,0,"1588673992000"
35,"86","Švenčionių r.","10","Vilniaus apskr.",NA,10,6,4,3,7,0,"1590146462000"
33,"85","Šalčininkų r.","10","Vilniaus apskr.",NA,10,4,6,3,7,0,"1590146460000"
32,"63","Pagėgių","7","Tauragės apskr.",NA,1,0,1,0,1,0,"1590146460000"
28,"75","Skuodo r.","3","Klaipėdos apskr.",NA,2,0,2,1,1,0,"1590146459000"
27,"57","Kupiškio r.","5","Panevėžio apskr.",NA,1,1,0,0,1,0,"1588673992000"
