"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","PLOTAS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","SHAPE_AREA","SHAPE_LEN","ATVEJAI","ATVEJAI_10000_GYV","GYV_SK","GYDOMA_10000_GYV","ATVEJAI_14","ATVEJAI_14_100000","ATVEJAI_14_100000LT"
62747,NA,"Tauragės r.",NA,NA,NA,NA,9,5,4,2,7,0,2020-06-06 06:56:31,0,0,9,23.8,37805,5.3,0,0,3.2
62748,NA,"Lazdijų r.",NA,NA,NA,NA,5,2,3,3,2,0,2020-06-06 06:56:31,0,0,5,27.3,18331,16.4,3,16.4,3.2
62749,NA,"Jurbarko r.",NA,NA,NA,NA,2,1,1,0,2,0,2020-06-06 06:56:32,0,0,2,8.1,24822,0,0,0,3.2
62750,NA,"Elektrėnų",NA,NA,NA,NA,7,2,5,4,3,0,2020-06-06 06:56:32,0,0,7,29.2,23992,16.7,1,4.2,3.2
62751,NA,"Neringos",NA,NA,NA,NA,1,1,0,0,1,0,2020-06-06 06:56:33,0,0,1,28.3,3530,0,0,0,3.2
62752,NA,"Mažeikių r.",NA,NA,NA,NA,7,4,3,1,5,1,2020-06-06 06:56:34,0,0,7,13.7,51067,2,0,0,3.2
62753,NA,"Ignalinos r.",NA,NA,NA,NA,5,1,4,2,3,0,2020-06-06 06:56:34,0,0,5,34.6,14433,13.9,2,13.9,3.2
62754,NA,"Telšių r.",NA,NA,NA,NA,10,5,5,0,8,2,2020-06-06 06:56:35,0,0,10,25.4,39317,0,0,0,3.2
62755,NA,"Plungės r.",NA,NA,NA,NA,8,5,3,1,7,0,2020-06-06 06:56:36,0,0,8,24.3,32987,3,1,3,3.2
62756,NA,"Kretingos r.",NA,NA,NA,NA,59,22,37,13,44,2,2020-06-06 06:56:36,0,0,59,157.6,37427,34.7,0,0,3.2
62757,NA,"Varėnos r.",NA,NA,NA,NA,1,1,0,0,0,1,2020-06-06 06:56:37,0,0,1,4.8,20840,0,0,0,3.2
62758,NA,"Alytaus r.",NA,NA,NA,NA,7,4,3,0,7,0,2020-06-06 06:56:37,0,0,7,27,25887,0,0,0,3.2
62759,NA,"Raseinių r.",NA,NA,NA,NA,6,1,5,0,5,1,2020-06-06 06:56:38,0,0,6,19.2,31225,0,0,0,3.2
62760,NA,"Vilniaus m.",NA,NA,NA,NA,445,192,253,123,300,17,2020-06-06 06:56:39,0,0,445,79.2,562030,21.9,37,6.6,3.2
62761,NA,"Šilalės r.",NA,NA,NA,NA,3,2,1,0,3,0,2020-06-06 06:56:40,0,0,3,13.7,21887,0,0,0,3.2
62762,NA,"Klaipėdos m.",NA,NA,NA,NA,276,92,184,43,217,16,2020-06-06 06:56:41,0,0,276,185,149157,28.8,4,2.7,3.2
62763,NA,"Visagino",NA,NA,NA,NA,3,1,2,0,3,0,2020-06-06 06:56:41,0,0,3,16.4,18250,0,0,0,3.2
62764,NA,"Pasvalio r.",NA,NA,NA,NA,4,3,1,1,3,0,2020-06-06 06:56:42,0,0,4,17.5,22816,4.4,0,0,3.2
62765,NA,"Panevėžio m.",NA,NA,NA,NA,21,13,8,0,20,1,2020-06-06 06:56:42,0,0,21,24.5,85878,0,0,0,3.2
62766,NA,"Šiaulių m.",NA,NA,NA,NA,14,9,5,1,12,1,2020-06-06 06:56:43,0,0,14,13.8,101514,1,0,0,3.2
62767,NA,"Birštono",NA,NA,NA,NA,0,0,0,0,0,0,2020-06-06 06:56:43,0,0,0,0,4069,0,0,0,3.2
62768,NA,"Pakruojo r.",NA,NA,NA,NA,0,0,0,0,0,0,2020-06-06 06:56:43,0,0,0,0,18606,0,0,0,3.2
