"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","ATVEJAI_14","MIRTYS_KITA"
1,"82","Utenos r.","9","Utenos apskr.",NA,20,6,14,10,10,0,2020-10-14 06:35:13,8,0
2,"49","Kaišiadorių r.","2","Kauno apskr.",NA,18,8,10,13,5,0,2020-10-14 06:35:14,6,0
3,"39","Vilkaviškio r.","4","Marijampolės apskr.",NA,11,6,5,2,8,1,2020-10-14 06:35:16,1,0
4,"69","Prienų r.","2","Kauno apskr.",NA,32,12,20,3,28,1,2020-10-14 06:35:17,3,0
5,"46","Jonavos r.","2","Kauno apskr.",NA,27,9,18,7,20,0,2020-10-14 06:35:19,7,0
6,"74","Rietavo","8","Telšių apskr.",NA,14,6,8,8,6,0,2020-10-14 06:35:20,8,0
7,"18","Marijampolės","4","Marijampolės apskr.",NA,104,46,58,10,90,4,2020-10-14 06:35:22,8,0
8,"19","Kauno m.","2","Kauno apskr.",NA,720,350,370,421,288,9,2020-10-14 06:35:24,217,2
9,"11","Alytaus m.","1","Alytaus apskr.",NA,39,22,17,3,35,1,2020-10-14 06:35:26,3,0
10,"15","Druskininkų","1","Alytaus apskr.",NA,22,13,9,21,1,0,2020-10-14 06:35:27,19,0
11,"47","Joniškio r.","6","Šiaulių apskr.",NA,38,20,18,22,14,2,2020-10-14 06:35:28,22,0
12,"58","Kazlų Rūdos","4","Marijampolės apskr.",NA,5,1,4,2,3,0,2020-10-14 06:35:30,2,0
13,"36","Biržų r.","5","Panevėžio apskr.",NA,19,9,10,2,17,0,2020-10-14 06:35:32,0,0
14,"91","Šiaulių r.","6","Šiaulių apskr.",NA,155,68,87,129,23,2,2020-10-14 06:35:33,81,1
15,"55","Klaipėdos r.","3","Klaipėdos apskr.",NA,103,52,51,24,75,4,2020-10-14 06:35:35,13,0
16,"34","Anykščių r.","9","Utenos apskr.",NA,11,5,6,1,10,0,2020-10-14 06:35:36,1,0
17,"32","Akmenės r.","6","Šiaulių apskr.",NA,19,10,9,3,14,2,2020-10-14 06:35:37,2,0
18,"62","Molėtų r.","9","Utenos apskr.",NA,46,12,34,14,32,0,2020-10-14 06:35:39,2,0
19,"71","Radviliškio r.","6","Šiaulių apskr.",NA,235,85,150,171,49,2,2020-10-14 06:35:40,83,13
22,"73","Rokiškio r.","5","Panevėžio apskr.",NA,25,9,16,5,20,0,2020-10-14 06:35:42,3,0
23,"84","Šakių r.","4","Marijampolės apskr.",NA,28,16,12,13,14,1,2020-10-14 06:35:43,12,0
24,"66","Panevėžio r.","5","Panevėžio apskr.",NA,33,18,15,18,14,1,2020-10-14 06:35:44,9,0
25,"79","Trakų r.","10","Vilniaus apskr.",NA,47,22,25,24,23,0,2020-10-14 06:35:46,7,0
27,"57","Kupiškio r.","5","Panevėžio apskr.",NA,19,10,9,6,13,0,2020-10-14 06:35:47,1,0
28,"75","Skuodo r.","3","Klaipėdos apskr.",NA,21,6,15,13,8,0,2020-10-14 06:35:48,11,0
31,"25","Palangos m.","3","Klaipėdos apskr.",NA,19,8,11,6,12,1,2020-10-14 06:35:50,5,0
32,"63","Pagėgių","7","Tauragės apskr.",NA,6,0,6,1,5,0,2020-10-14 06:35:51,1,0
33,"85","Šalčininkų r.","10","Vilniaus apskr.",NA,36,12,24,2,34,0,2020-10-14 06:35:52,1,0
34,"41","Vilniaus r.","10","Vilniaus apskr.",NA,419,172,247,109,303,3,2020-10-14 06:35:54,54,4
35,"86","Švenčionių r.","10","Vilniaus apskr.",NA,72,31,41,34,38,0,2020-10-14 06:35:56,23,0
36,"43","Zarasų r.","9","Utenos apskr.",NA,6,5,1,1,5,0,2020-10-14 06:35:57,1,0
37,"53","Kėdainių r.","2","Kauno apskr.",NA,42,24,18,19,22,0,2020-10-14 06:35:59,6,1
38,"81","Ukmergės r.","10","Vilniaus apskr.",NA,115,40,75,23,82,9,2020-10-14 06:36:00,6,1
39,"54","Kelmės r.","6","Šiaulių apskr.",NA,87,31,56,76,10,1,2020-10-14 06:36:01,62,0
40,"89","Širvintų r.","10","Vilniaus apskr.",NA,21,11,10,1,19,0,2020-10-14 06:36:03,1,1
41,"48","Kalvarijos","4","Marijampolės apskr.",NA,7,3,4,1,5,0,2020-10-14 06:36:04,1,1
42,"52","Kauno r.","2","Kauno apskr.",NA,202,95,107,132,67,3,2020-10-14 06:36:05,65,0
44,"88","Šilutės r.","3","Klaipėdos apskr.",NA,20,10,10,5,15,0,2020-10-14 06:36:07,5,0
45,"77","Tauragės r.","7","Tauragės apskr.",NA,58,42,16,11,47,0,2020-10-14 06:36:08,7,0
46,"59","Lazdijų r.","1","Alytaus apskr.",NA,9,4,5,2,7,0,2020-10-14 06:36:09,2,0
47,"94","Jurbarko r.","7","Tauragės apskr.",NA,33,19,14,12,20,0,2020-10-14 06:36:11,9,1
48,"42","Elektrėnų","10","Vilniaus apskr.",NA,52,29,23,34,18,0,2020-10-14 06:36:12,25,0
49,"23","Neringos","3","Klaipėdos apskr.",NA,3,1,2,2,1,0,2020-10-14 06:36:13,1,0
50,"61","Mažeikių r.","8","Telšių apskr.",NA,52,25,27,22,29,1,2020-10-14 06:36:14,8,0
