"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","ATVEJAI_14","MIRTYS_KITA"
1,"82","Utenos r.","9","Utenos apskr.",NA,25,9,16,10,15,0,2020-10-24 06:50:20,7,0
2,"49","Kaišiadorių r.","2","Kauno apskr.",NA,34,17,17,29,5,0,2020-10-24 06:50:21,19,0
3,"39","Vilkaviškio r.","4","Marijampolės apskr.",NA,18,6,12,8,9,1,2020-10-24 06:50:22,7,0
4,"69","Prienų r.","2","Kauno apskr.",NA,60,23,37,30,29,1,2020-10-24 06:50:23,30,0
5,"46","Jonavos r.","2","Kauno apskr.",NA,52,17,35,30,22,0,2020-10-24 06:50:24,26,0
6,"74","Rietavo","8","Telšių apskr.",NA,21,9,12,8,13,0,2020-10-24 06:50:26,8,0
7,"18","Marijampolės","4","Marijampolės apskr.",NA,198,76,122,100,92,6,2020-10-24 06:50:28,98,0
8,"19","Kauno m.","2","Kauno apskr.",NA,998,477,521,654,331,10,2020-10-24 06:50:30,337,3
9,"11","Alytaus m.","1","Alytaus apskr.",NA,50,28,22,14,35,1,2020-10-24 06:50:32,12,0
10,"15","Druskininkų","1","Alytaus apskr.",NA,24,14,10,8,16,0,2020-10-24 06:50:33,7,0
11,"47","Joniškio r.","6","Šiaulių apskr.",NA,87,38,49,67,17,2,2020-10-24 06:50:35,69,1
12,"58","Kazlų Rūdos","4","Marijampolės apskr.",NA,14,5,9,10,4,0,2020-10-24 06:50:37,11,0
13,"36","Biržų r.","5","Panevėžio apskr.",NA,20,10,10,2,18,0,2020-10-24 06:50:39,1,0
14,"91","Šiaulių r.","6","Šiaulių apskr.",NA,216,98,118,160,48,3,2020-10-24 06:50:40,80,5
15,"55","Klaipėdos r.","3","Klaipėdos apskr.",NA,166,85,81,77,85,4,2020-10-24 06:50:42,67,0
16,"34","Anykščių r.","9","Utenos apskr.",NA,14,7,7,4,10,0,2020-10-24 06:50:43,3,0
17,"32","Akmenės r.","6","Šiaulių apskr.",NA,25,14,11,5,18,2,2020-10-24 06:50:44,6,0
18,"62","Molėtų r.","9","Utenos apskr.",NA,55,14,41,11,44,0,2020-10-24 06:50:45,9,0
19,"71","Radviliškio r.","6","Šiaulių apskr.",NA,239,87,152,37,187,2,2020-10-24 06:50:47,11,13
22,"73","Rokiškio r.","5","Panevėžio apskr.",NA,28,11,17,5,23,0,2020-10-24 06:50:48,5,0
23,"84","Šakių r.","4","Marijampolės apskr.",NA,40,19,21,13,26,1,2020-10-24 06:50:49,16,0
24,"66","Panevėžio r.","5","Panevėžio apskr.",NA,52,30,22,31,20,1,2020-10-24 06:50:50,22,0
25,"79","Trakų r.","10","Vilniaus apskr.",NA,68,31,37,33,35,0,2020-10-24 06:50:51,25,0
27,"57","Kupiškio r.","5","Panevėžio apskr.",NA,24,12,12,7,17,0,2020-10-24 06:50:52,5,0
28,"75","Skuodo r.","3","Klaipėdos apskr.",NA,54,20,34,45,9,0,2020-10-24 06:50:54,41,0
31,"25","Palangos m.","3","Klaipėdos apskr.",NA,50,20,30,37,12,1,2020-10-24 06:50:55,31,0
32,"63","Pagėgių","7","Tauragės apskr.",NA,8,1,7,2,6,0,2020-10-24 06:50:56,2,0
33,"85","Šalčininkų r.","10","Vilniaus apskr.",NA,40,14,26,5,35,0,2020-10-24 06:50:57,4,0
34,"41","Vilniaus r.","10","Vilniaus apskr.",NA,514,216,298,182,325,3,2020-10-24 06:50:59,113,4
35,"86","Švenčionių r.","10","Vilniaus apskr.",NA,139,68,71,87,52,0,2020-10-24 06:51:00,83,0
36,"43","Zarasų r.","9","Utenos apskr.",NA,7,6,1,2,5,0,2020-10-24 06:51:01,1,0
37,"53","Kėdainių r.","2","Kauno apskr.",NA,62,33,29,28,33,0,2020-10-24 06:51:03,21,1
38,"81","Ukmergės r.","10","Vilniaus apskr.",NA,133,46,87,39,84,9,2020-10-24 06:51:04,23,1
39,"54","Kelmės r.","6","Šiaulių apskr.",NA,170,54,116,119,45,5,2020-10-24 06:51:05,104,1
40,"89","Širvintų r.","10","Vilniaus apskr.",NA,45,20,25,25,19,0,2020-10-24 06:51:07,24,1
41,"48","Kalvarijos","4","Marijampolės apskr.",NA,10,4,6,4,5,0,2020-10-24 06:51:08,4,1
42,"52","Kauno r.","2","Kauno apskr.",NA,346,157,189,262,80,4,2020-10-24 06:51:09,161,0
44,"88","Šilutės r.","3","Klaipėdos apskr.",NA,54,27,27,33,19,2,2020-10-24 06:51:11,36,0
45,"77","Tauragės r.","7","Tauragės apskr.",NA,68,47,21,14,53,1,2020-10-24 06:51:12,12,0
