"","OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","PLOTAS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","SHAPE_AREA","SHAPE_LEN","ATVEJAI","ATVEJAI_10000_GYV","GYV_SK","GYDOMA_10000_GYV"
"43",56998,NA,"Elektrėnų",NA,NA,NA,NA,6,2,4,3,3,0,2020-05-23 09:03:44,0,0,6,2.5,23992,1.3
"44",56999,NA,"Neringos",NA,NA,NA,NA,1,1,0,1,0,0,2020-05-23 09:03:45,0,0,1,2.8,3530,2.8
"45",57000,NA,"Mažeikių r.",NA,NA,NA,NA,7,4,3,1,5,1,2020-05-23 09:03:45,0,0,7,1.4,51067,0.2
"46",57001,NA,"Ignalinos r.",NA,NA,NA,NA,3,1,2,1,2,0,2020-05-23 09:03:46,0,0,3,2.1,14433,0.7
"47",57002,NA,"Telšių r.",NA,NA,NA,NA,10,5,5,0,8,2,2020-05-23 09:03:46,0,0,10,2.5,39317,0
"48",57003,NA,"Plungės r.",NA,NA,NA,NA,7,4,3,0,7,0,2020-05-23 09:03:47,0,0,7,2.1,32987,0
"49",57004,NA,"Kretingos r.",NA,NA,NA,NA,59,22,37,27,30,2,2020-05-23 09:03:48,0,0,59,15.8,37427,7.2
"50",57005,NA,"Varėnos r.",NA,NA,NA,NA,1,1,0,0,0,1,2020-05-23 09:03:48,0,0,1,0.5,20840,0
"51",57006,NA,"Alytaus r.",NA,NA,NA,NA,7,4,3,0,7,0,2020-05-23 09:03:49,0,0,7,2.7,25887,0
"52",57007,NA,"Raseinių r.",NA,NA,NA,NA,6,1,5,0,5,1,2020-05-23 09:03:49,0,0,6,1.9,31225,0
"53",57008,NA,"Vilniaus m.",NA,NA,NA,NA,410,176,234,154,242,10,2020-05-23 09:03:50,0,0,410,7.3,562030,2.7
"54",57009,NA,"Šilalės r.",NA,NA,NA,NA,3,2,1,0,3,0,2020-05-23 09:03:51,0,0,3,1.4,21887,0
"55",57010,NA,"Klaipėdos m.",NA,NA,NA,NA,273,90,183,82,175,16,2020-05-23 09:03:52,0,0,273,18.3,149157,5.5
"56",57011,NA,"Visagino",NA,NA,NA,NA,3,1,2,0,3,0,2020-05-23 09:03:52,0,0,3,1.6,18250,0
"57",57012,NA,"Pasvalio r.",NA,NA,NA,NA,4,3,1,1,3,0,2020-05-23 09:03:53,0,0,4,1.8,22816,0.4
"58",57013,NA,"Panevėžio m.",NA,NA,NA,NA,21,13,8,2,18,1,2020-05-23 09:03:53,0,0,21,2.4,85878,0.2
"59",57014,NA,"Šiaulių m.",NA,NA,NA,NA,14,9,5,2,11,1,2020-05-23 09:03:54,0,0,14,1.4,101514,0.2
"60",57015,NA,"Birštono",NA,NA,NA,NA,0,0,0,0,0,0,2020-05-05 10:19:52,0,0,0,0,4069,0
"61",57016,NA,"Pakruojo r.",NA,NA,NA,NA,0,0,0,0,0,0,2020-05-05 10:19:52,0,0,0,0,18606,0
