"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","ATVEJAI_14","MIRTYS_KITA"
1,"82","Utenos r.","9","Utenos apskr.",NA,251,113,138,186,65,0,2020-11-21 10:26:35,167,0
2,"49","Kaišiadorių r.","2","Kauno apskr.",NA,254,147,107,215,35,4,2020-11-21 10:26:38,112,0
3,"39","Vilkaviškio r.","4","Marijampolės apskr.",NA,264,119,145,205,57,1,2020-11-21 10:26:40,224,1
4,"69","Prienų r.","2","Kauno apskr.",NA,378,145,233,276,98,3,2020-11-21 10:26:42,220,1
5,"46","Jonavos r.","2","Kauno apskr.",NA,447,227,220,383,62,2,2020-11-21 10:26:45,256,0
6,"74","Rietavo","8","Telšių apskr.",NA,144,52,92,84,57,3,2020-11-21 10:26:47,89,0
7,"18","Marijampolės","4","Marijampolės apskr.",NA,968,424,544,761,189,17,2020-11-21 10:26:50,504,1
8,"19","Kauno m.","2","Kauno apskr.",NA,5080,2295,2785,4124,898,43,2020-11-21 10:26:55,2367,15
9,"11","Alytaus m.","1","Alytaus apskr.",NA,806,318,488,748,55,3,2020-11-21 10:26:57,611,0
10,"15","Druskininkų","1","Alytaus apskr.",NA,179,74,105,141,35,0,2020-11-21 10:26:59,132,1
11,"47","Joniškio r.","6","Šiaulių apskr.",NA,261,101,160,108,143,6,2020-11-21 10:27:01,88,4
12,"58","Kazlų Rūdos","4","Marijampolės apskr.",NA,80,35,45,53,26,1,2020-11-21 10:27:03,43,0
13,"36","Biržų r.","5","Panevėžio apskr.",NA,152,61,91,85,64,0,2020-11-21 10:27:06,84,1
14,"91","Šiaulių r.","6","Šiaulių apskr.",NA,870,382,487,726,123,10,2020-11-21 10:27:09,433,10
15,"55","Klaipėdos r.","3","Klaipėdos apskr.",NA,953,427,525,718,223,10,2020-11-21 10:27:12,477,2
16,"34","Anykščių r.","9","Utenos apskr.",NA,110,50,60,81,28,1,2020-11-21 10:27:14,83,0
17,"32","Akmenės r.","6","Šiaulių apskr.",NA,124,55,69,87,35,2,2020-11-21 10:27:16,75,0
18,"62","Molėtų r.","9","Utenos apskr.",NA,118,41,77,41,76,1,2020-11-21 10:27:19,42,0
19,"71","Radviliškio r.","6","Šiaulių apskr.",NA,516,211,305,224,273,3,2020-11-21 10:27:21,206,16
22,"73","Rokiškio r.","5","Panevėžio apskr.",NA,132,63,69,87,44,1,2020-11-21 10:27:23,86,0
23,"84","Šakių r.","4","Marijampolės apskr.",NA,216,90,126,157,56,3,2020-11-21 10:27:26,144,0
24,"66","Panevėžio r.","5","Panevėžio apskr.",NA,398,178,220,305,89,3,2020-11-21 10:27:29,250,1
25,"79","Trakų r.","10","Vilniaus apskr.",NA,376,153,219,277,96,2,2020-11-21 10:27:31,201,0
27,"57","Kupiškio r.","5","Panevėžio apskr.",NA,141,66,75,82,57,2,2020-11-21 10:27:33,48,0
28,"75","Skuodo r.","3","Klaipėdos apskr.",NA,331,125,206,283,43,4,2020-11-21 10:27:36,188,1
31,"25","Palangos m.","3","Klaipėdos apskr.",NA,221,116,105,174,44,3,2020-11-21 10:27:38,108,0
32,"63","Pagėgių","7","Tauragės apskr.",NA,27,11,16,15,11,0,2020-11-21 10:27:40,15,1
33,"85","Šalčininkų r.","10","Vilniaus apskr.",NA,332,132,200,266,60,3,2020-11-21 10:27:42,230,2
34,"41","Vilniaus r.","10","Vilniaus apskr.",NA,1679,685,969,1168,491,9,2020-11-21 10:27:45,743,7
35,"86","Švenčionių r.","10","Vilniaus apskr.",NA,512,207,305,238,267,1,2020-11-21 10:27:48,217,6
36,"43","Zarasų r.","9","Utenos apskr.",NA,35,20,15,24,10,1,2020-11-21 10:27:50,22,0
37,"53","Kėdainių r.","2","Kauno apskr.",NA,668,274,394,568,89,8,2020-11-21 10:27:52,453,3
38,"81","Ukmergės r.","10","Vilniaus apskr.",NA,450,167,282,250,189,10,2020-11-21 10:27:54,233,1
39,"54","Kelmės r.","6","Šiaulių apskr.",NA,441,159,282,238,191,9,2020-11-21 10:27:56,147,3
40,"89","Širvintų r.","10","Vilniaus apskr.",NA,323,137,186,202,120,0,2020-11-21 10:27:58,132,1
41,"48","Kalvarijos","4","Marijampolės apskr.",NA,102,39,63,70,28,3,2020-11-21 10:28:00,64,1
42,"52","Kauno r.","2","Kauno apskr.",NA,1605,723,882,1302,286,15,2020-11-21 10:28:03,737,2
44,"88","Šilutės r.","3","Klaipėdos apskr.",NA,533,195,337,393,124,9,2020-11-21 10:28:05,294,7
45,"77","Tauragės r.","7","Tauragės apskr.",NA,618,278,340,463,143,11,2020-11-21 10:28:08,428,1
46,"59","Lazdijų r.","1","Alytaus apskr.",NA,72,30,42,53,19,0,2020-11-21 10:28:09,49,0
47,"94","Jurbarko r.","7","Tauragės apskr.",NA,293,107,186,205,74,5,2020-11-21 10:28:11,89,9
48,"42","Elektrėnų","10","Vilniaus apskr.",NA,257,123,132,198,59,0,2020-11-21 10:28:13,113,0
49,"23","Neringos","3","Klaipėdos apskr.",NA,15,7,7,13,2,0,2020-11-21 10:28:15,5,0
50,"61","Mažeikių r.","8","Telšių apskr.",NA,983,453,530,719,253,11,2020-11-21 10:28:17,629,0
51,"45","Ignalinos r.","9","Utenos apskr.",NA,62,25,37,30,32,0,2020-11-21 10:28:19,30,0
52,"78","Telšių r.","8","Telšių apskr.",NA,588,206,382,303,273,7,2020-11-21 10:28:21,283,5
53,"68","Plungės r.","8","Telšių apskr.",NA,762,290,472,392,353,15,2020-11-21 10:28:24,174,2
54,"56","Kretingos r.","3","Klaipėdos apskr.",NA,694,256,436,568,113,11,2020-11-21 10:28:26,298,1
55,"38","Varėnos r.","1","Alytaus apskr.",NA,223,94,129,153,67,3,2020-11-21 10:28:28,145,0
56,"33","Alytaus r.","1","Alytaus apskr.",NA,262,108,154,245,15,2,2020-11-21 10:28:30,202,0
57,"72","Raseinių r.","2","Kauno apskr.",NA,1019,403,616,403,593,21,2020-11-21 10:28:33,214,2
