"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","ATVEJAI_14"
1,"82","Utenos r.","9","Utenos apskr.",NA,5,2,3,1,4,0,2020-06-03 08:52:12,1
2,"49","Kaišiadorių r.","2","Kauno apskr.",NA,3,1,2,0,3,0,2020-06-03 08:52:13,0
3,"39","Vilkaviškio r.","4","Marijampolės apskr.",NA,7,4,3,0,6,1,2020-06-03 08:52:14,0
4,"69","Prienų r.","2","Kauno apskr.",NA,5,3,2,0,5,0,2020-06-03 08:52:14,0
5,"46","Jonavos r.","2","Kauno apskr.",NA,9,1,8,0,9,0,2020-06-03 08:52:15,0
6,"74","Rietavo","8","Telšių apskr.",NA,6,4,2,0,6,0,2020-06-03 08:52:16,0
7,"18","Marijampolės","4","Marijampolės apskr.",NA,77,31,46,2,70,4,2020-06-03 08:52:17,0
8,"19","Kauno m.","2","Kauno apskr.",NA,102,50,52,15,84,3,2020-06-03 08:52:18,3
9,"11","Alytaus m.","1","Alytaus apskr.",NA,28,17,11,0,27,1,2020-06-03 08:52:19,0
10,"15","Druskininkų","1","Alytaus apskr.",NA,1,0,1,0,1,0,2020-06-03 08:52:19,0
11,"47","Joniškio r.","6","Šiaulių apskr.",NA,15,8,7,0,14,1,2020-06-03 08:52:20,0
12,"58","Kazlų Rūdos","4","Marijampolės apskr.",NA,2,0,2,1,1,0,2020-06-03 08:52:21,0
13,"36","Biržų r.","5","Panevėžio apskr.",NA,10,5,5,0,10,0,2020-06-03 08:52:22,0
14,"91","Šiaulių r.","6","Šiaulių apskr.",NA,11,6,5,0,10,1,2020-06-03 08:52:22,0
15,"55","Klaipėdos r.","3","Klaipėdos apskr.",NA,56,25,31,4,49,3,2020-06-03 08:52:23,1
16,"34","Anykščių r.","9","Utenos apskr.",NA,6,2,4,0,6,0,2020-06-03 08:52:24,0
17,"32","Akmenės r.","6","Šiaulių apskr.",NA,5,3,2,0,5,0,2020-06-03 08:52:25,0
18,"62","Molėtų r.","9","Utenos apskr.",NA,3,1,2,2,1,0,2020-06-03 08:52:26,0
19,"71","Radviliškio r.","6","Šiaulių apskr.",NA,3,2,1,0,3,0,2020-06-03 08:52:26,0
22,"73","Rokiškio r.","5","Panevėžio apskr.",NA,3,0,3,0,3,0,2020-06-03 08:52:27,0
23,"84","Šakių r.","4","Marijampolės apskr.",NA,3,1,2,0,2,1,2020-06-03 08:52:28,0
24,"66","Panevėžio r.","5","Panevėžio apskr.",NA,8,5,3,1,6,1,2020-06-03 08:52:29,1
25,"79","Trakų r.","10","Vilniaus apskr.",NA,5,5,0,0,5,0,2020-06-03 08:52:29,0
27,"57","Kupiškio r.","5","Panevėžio apskr.",NA,1,1,0,0,1,0,2020-06-03 08:52:29,0
28,"75","Skuodo r.","3","Klaipėdos apskr.",NA,3,1,2,1,2,0,2020-06-03 08:52:30,1
31,"25","Palangos m.","3","Klaipėdos apskr.",NA,12,6,6,4,7,1,2020-06-03 08:52:31,0
32,"63","Pagėgių","7","Tauragės apskr.",NA,1,0,1,0,1,0,2020-06-03 08:52:32,0
33,"85","Šalčininkų r.","10","Vilniaus apskr.",NA,12,5,7,5,7,0,2020-06-03 08:52:32,2
34,"41","Vilniaus r.","10","Vilniaus apskr.",NA,259,90,169,74,180,3,2020-06-03 08:52:33,29
35,"86","Švenčionių r.","10","Vilniaus apskr.",NA,10,6,4,3,7,0,2020-06-03 08:52:34,0
36,"43","Zarasų r.","9","Utenos apskr.",NA,1,1,0,0,1,0,2020-06-03 08:52:35,0
37,"53","Kėdainių r.","2","Kauno apskr.",NA,1,0,1,0,1,0,2020-06-03 08:52:35,0
38,"81","Ukmergės r.","10","Vilniaus apskr.",NA,87,27,60,5,73,9,2020-06-03 08:52:36,1
39,"54","Kelmės r.","6","Šiaulių apskr.",NA,2,1,1,0,2,0,2020-06-03 08:52:37,0
40,"89","Širvintų r.","10","Vilniaus apskr.",NA,8,4,4,1,6,0,2020-06-03 08:52:37,0
41,"48","Kalvarijos","4","Marijampolės apskr.",NA,4,2,2,2,2,0,2020-06-03 08:52:38,0
42,"52","Kauno r.","2","Kauno apskr.",NA,21,14,7,0,21,0,2020-06-03 08:52:39,0
44,"88","Šilutės r.","3","Klaipėdos apskr.",NA,7,4,3,0,7,0,2020-06-03 08:52:39,0
45,"77","Tauragės r.","7","Tauragės apskr.",NA,9,5,4,2,7,0,2020-06-03 08:52:41,1
46,"59","Lazdijų r.","1","Alytaus apskr.",NA,5,2,3,3,2,0,2020-06-03 08:52:43,3
47,"94","Jurbarko r.","7","Tauragės apskr.",NA,2,1,1,0,2,0,2020-06-03 08:52:44,0
48,"42","Elektrėnų","10","Vilniaus apskr.",NA,7,2,5,4,3,0,2020-06-03 08:52:45,1
49,"23","Neringos","3","Klaipėdos apskr.",NA,1,1,0,0,1,0,2020-06-03 08:52:46,0
50,"61","Mažeikių r.","8","Telšių apskr.",NA,7,4,3,1,5,1,2020-06-03 08:52:46,0
51,"45","Ignalinos r.","9","Utenos apskr.",NA,5,1,4,2,3,0,2020-06-03 08:52:47,2
52,"78","Telšių r.","8","Telšių apskr.",NA,10,5,5,0,8,2,2020-06-03 08:52:48,0
53,"68","Plungės r.","8","Telšių apskr.",NA,8,5,3,1,7,0,2020-06-03 08:52:48,1
54,"56","Kretingos r.","3","Klaipėdos apskr.",NA,59,22,37,19,38,2,2020-06-03 08:52:49,0
55,"38","Varėnos r.","1","Alytaus apskr.",NA,1,1,0,0,0,1,2020-06-03 08:52:49,0
56,"33","Alytaus r.","1","Alytaus apskr.",NA,7,4,3,0,7,0,2020-06-03 08:52:50,0
