"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","PLOTAS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","SHAPE_AREA","SHAPE_LEN","ATVEJAI","ATVEJAI_10000_GYV","GYV_SK","GYDOMA_10000_GYV","ATVEJAI_14","ATVEJAI_14_100000","ATVEJAI_14_100000LT"
61177,NA,"Utenos r.",NA,NA,NA,NA,5,2,3,1,4,0,2020-06-01 08:38:52,0,0,5,13.4,37179,2.7,1,2.7,4.3
61178,NA,"Kaišiadorių r.",NA,NA,NA,NA,3,1,2,0,3,0,2020-06-01 08:38:53,0,0,3,10.2,29526,0,0,0,4.3
61179,NA,"Vilkaviškio r.",NA,NA,NA,NA,7,4,3,0,6,1,2020-06-01 08:38:54,0,0,7,20.2,34660,0,0,0,4.3
61180,NA,"Prienų r.",NA,NA,NA,NA,5,3,2,0,5,0,2020-06-01 08:38:55,0,0,5,19.4,25802,0,0,0,4.3
61181,NA,"Jonavos r.",NA,NA,NA,NA,9,1,8,0,9,0,2020-06-01 08:38:55,0,0,9,21.9,41163,0,0,0,4.3
61182,NA,"Rietavo",NA,NA,NA,NA,6,4,2,0,6,0,2020-06-01 08:38:56,0,0,6,82.7,7258,0,0,0,4.3
61183,NA,"Marijampolės",NA,NA,NA,NA,77,31,46,2,70,4,2020-06-01 08:38:57,0,0,77,143.2,53772,3.7,0,0,4.3
61184,NA,"Kauno m.",NA,NA,NA,NA,102,50,52,15,84,3,2020-06-01 08:38:57,0,0,102,35.2,289380,5.2,4,1.4,4.3
61185,NA,"Alytaus m.",NA,NA,NA,NA,28,17,11,0,27,1,2020-06-01 08:38:58,0,0,28,56.1,49888,0,0,0,4.3
61186,NA,"Druskininkų",NA,NA,NA,NA,1,0,1,0,1,0,2020-06-01 08:38:58,0,0,1,5.2,19109,0,0,0,4.3
61187,NA,"Joniškio r.",NA,NA,NA,NA,15,8,7,0,14,1,2020-06-01 08:38:59,0,0,15,72.4,20726,0,0,0,4.3
