"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","ATVEJAI_14","MIRTYS_KITA"
1,"82","Utenos r.","9","Utenos apskr.",NA,13,5,8,3,10,0,2020-10-02 06:45:16,3,0
2,"49","Kaišiadorių r.","2","Kauno apskr.",NA,12,6,6,8,4,0,2020-10-02 06:45:17,3,0
3,"39","Vilkaviškio r.","4","Marijampolės apskr.",NA,10,5,5,2,7,1,2020-10-02 06:45:19,1,0
4,"69","Prienų r.","2","Kauno apskr.",NA,29,11,18,3,25,1,2020-10-02 06:45:21,0,0
5,"46","Jonavos r.","2","Kauno apskr.",NA,20,7,13,1,19,0,2020-10-02 06:45:22,0,0
6,"74","Rietavo","8","Telšių apskr.",NA,7,5,2,1,6,0,2020-10-02 06:45:24,1,0
7,"18","Marijampolės","4","Marijampolės apskr.",NA,97,44,53,10,83,4,2020-10-02 06:45:25,7,0
8,"19","Kauno m.","2","Kauno apskr.",NA,540,286,254,296,235,8,2020-10-02 06:45:28,142,1
9,"11","Alytaus m.","1","Alytaus apskr.",NA,36,21,15,3,32,1,2020-10-02 06:45:30,2,0
10,"15","Druskininkų","1","Alytaus apskr.",NA,8,5,3,7,1,0,2020-10-02 06:45:32,7,0
11,"47","Joniškio r.","6","Šiaulių apskr.",NA,16,9,7,1,14,1,2020-10-02 06:45:33,1,0
12,"58","Kazlų Rūdos","4","Marijampolės apskr.",NA,3,0,3,0,3,0,2020-10-02 06:45:34,0,0
13,"36","Biržų r.","5","Panevėžio apskr.",NA,19,9,10,6,13,0,2020-10-02 06:45:36,3,0
14,"91","Šiaulių r.","6","Šiaulių apskr.",NA,85,43,42,73,11,1,2020-10-02 06:45:37,58,0
15,"55","Klaipėdos r.","3","Klaipėdos apskr.",NA,94,47,47,18,72,4,2020-10-02 06:45:39,8,0
16,"34","Anykščių r.","9","Utenos apskr.",NA,11,5,6,1,10,0,2020-10-02 06:45:41,1,0
17,"32","Akmenės r.","6","Šiaulių apskr.",NA,17,9,8,12,5,0,2020-10-02 06:45:42,7,0
18,"62","Molėtų r.","9","Utenos apskr.",NA,45,12,33,24,21,0,2020-10-02 06:45:43,1,0
19,"71","Radviliškio r.","6","Šiaulių apskr.",NA,181,63,118,168,9,0,2020-10-02 06:45:45,162,4
22,"73","Rokiškio r.","5","Panevėžio apskr.",NA,22,9,13,16,6,0,2020-10-02 06:45:46,5,0
23,"84","Šakių r.","4","Marijampolės apskr.",NA,16,9,7,4,11,1,2020-10-02 06:45:48,3,0
24,"66","Panevėžio r.","5","Panevėžio apskr.",NA,25,15,10,10,14,1,2020-10-02 06:45:49,8,0
25,"79","Trakų r.","10","Vilniaus apskr.",NA,42,20,22,21,21,0,2020-10-02 06:45:51,3,0
27,"57","Kupiškio r.","5","Panevėžio apskr.",NA,18,10,8,7,11,0,2020-10-02 06:45:53,7,0
28,"75","Skuodo r.","3","Klaipėdos apskr.",NA,10,2,8,3,7,0,2020-10-02 06:45:54,1,0
31,"25","Palangos m.","3","Klaipėdos apskr.",NA,15,8,7,2,12,1,2020-10-02 06:45:56,2,0
