"OBJECTID","AMZIAUSGRUPE","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","KITA","VISO","GYV_SKAIC","GYV_SKAIC_V","GYV_SKAIC_M","ATVEJAI_V_100000","ATVEJAI_M_100000","ATVEJAI_VISI_100000"
1,"0-9",NA,386,200,186,0,386,290102,148908,141194,134.3,131.7,133.1
2,"10-19",NA,825,452,373,0,825,263568,134947,128621,334.9,290,313
3,"20-29",NA,1669,843,826,0,1669,339736,177466,162270,475,509,491.3
4,"30-39",NA,1964,960,1004,0,1964,359239,188972,170267,508,589.7,546.7
5,"40-49",NA,2068,866,1202,0,2068,369722,183873,185849,471,646.8,559.3
6,"50-59",NA,2073,812,1261,0,2073,419039,196469,222570,413.3,566.6,494.7
7,"60-69",NA,1341,554,787,0,1341,351248,147788,203460,374.9,386.8,381.8
8,"70-79",NA,515,223,292,0,515,236890,81674,155216,273,188.1,217.4
9,"Virš 80",NA,525,147,369,9,516,164546,44257,120289,332.2,306.8,319.1
