"OBJECTID","AMZIAUSGRUPE","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","KITA","VISO","GYV_SKAIC","GYV_SKAIC_V","GYV_SKAIC_M","ATVEJAI_V_100000","ATVEJAI_M_100000","ATVEJAI_VISI_100000"
1,"0-9",NA,25,11,14,0,25,290102,148908,141194,7.4,9.9,8.6
2,"10-19",NA,51,25,26,0,51,263568,134947,128621,18.5,20.2,19.3
3,"20-29",NA,242,120,122,0,242,339736,177466,162270,67.6,75.2,71.2
4,"30-39",NA,250,139,111,0,250,359239,188972,170267,73.6,65.2,69.6
5,"40-49",NA,321,139,182,0,321,369722,183873,185849,75.6,97.9,86.8
6,"50-59",NA,429,155,274,0,429,419039,196469,222570,78.9,123.1,102.4
7,"60-69",NA,282,118,164,0,282,351248,147788,203460,79.8,80.6,80.3
8,"70-79",NA,148,67,81,0,148,236890,81674,155216,82,52.2,62.5
9,"Virš 80",NA,167,50,117,0,167,164546,44257,120289,113,97.3,101.5
