"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","PLOTAS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","SHAPE_AREA","SHAPE_LEN","ATVEJAI","ATVEJAI_10000_GYV","GYV_SK","GYDOMA_10000_GYV","ATVEJAI_14","ATVEJAI_14_100000","ATVEJAI_14_100000LT","MIRTYS_KITA"
103201,NA,"Kauno r.",NA,NA,NA,NA,412,189,223,320,87,5,2020-10-26 11:35:42,0,0,412,427.2,96441,331.8,222,230.2,168.5,0
103202,NA,"Šilutės r.",NA,NA,NA,NA,62,29,33,41,19,2,2020-10-26 11:35:42,0,0,62,164.7,37637,108.9,43,114.2,168.5,0
103203,NA,"Tauragės r.",NA,NA,NA,NA,76,51,25,22,53,1,2020-10-26 11:35:42,0,0,76,201,37805,58.2,19,50.3,168.5,0
103204,NA,"Lazdijų r.",NA,NA,NA,NA,17,5,12,9,8,0,2020-10-26 11:35:42,0,0,17,92.7,18331,49.1,8,43.6,168.5,0
103205,NA,"Jurbarko r.",NA,NA,NA,NA,75,37,38,49,24,1,2020-10-26 11:35:42,0,0,75,302.2,24822,197.4,44,177.3,168.5,1
103206,NA,"Elektrėnų",NA,NA,NA,NA,88,44,44,55,33,0,2020-10-26 11:35:42,0,0,88,366.8,23992,229.2,42,175.1,168.5,0
103207,NA,"Neringos",NA,NA,NA,NA,5,1,3,3,1,0,2020-10-26 11:35:42,0,0,5,141.6,3530,85,2,56.7,168.5,0
103208,NA,"Mažeikių r.",NA,NA,NA,NA,104,44,60,63,40,1,2020-10-26 11:35:42,0,0,104,203.7,51067,123.4,52,101.8,168.5,0
103209,NA,"Ignalinos r.",NA,NA,NA,NA,24,12,12,1,23,0,2020-10-26 11:35:42,0,0,24,166.3,14433,6.9,1,6.9,168.5,0
103210,NA,"Telšių r.",NA,NA,NA,NA,80,31,49,57,21,2,2020-10-26 11:35:42,0,0,80,203.5,39317,145,53,134.8,168.5,0
103211,NA,"Plungės r.",NA,NA,NA,NA,220,80,138,194,21,2,2020-10-26 11:35:42,0,0,220,666.9,32987,588.1,182,551.7,168.5,1
103212,NA,"Kretingos r.",NA,NA,NA,NA,155,57,98,87,64,4,2020-10-26 11:35:42,0,0,155,414.1,37427,232.5,85,227.1,168.5,0
103213,NA,"Varėnos r.",NA,NA,NA,NA,12,6,6,6,5,1,2020-10-26 11:35:42,0,0,12,57.6,20840,28.8,7,33.6,168.5,0
103214,NA,"Alytaus r.",NA,NA,NA,NA,14,7,7,6,8,0,2020-10-26 11:35:42,0,0,14,54.1,25887,23.2,6,23.2,168.5,0
103215,NA,"Raseinių r.",NA,NA,NA,NA,724,278,446,339,374,9,2020-10-26 11:35:42,0,0,724,2318.6,31225,1085.7,151,483.6,168.5,2
103216,NA,"Vilniaus m.",NA,NA,NA,NA,2849,1390,1456,1852,962,24,2020-10-26 11:35:42,0,0,2849,506.9,562030,329.5,1314,233.8,168.5,8
103217,NA,"Šilalės r.",NA,NA,NA,NA,59,27,32,41,18,0,2020-10-26 11:35:42,0,0,59,269.6,21887,187.3,37,169,168.5,0
103218,NA,"Klaipėdos m.",NA,NA,NA,NA,773,327,446,454,300,19,2020-10-26 11:35:42,0,0,773,518.2,149157,304.4,351,235.3,168.5,0
103219,NA,"Visagino",NA,NA,NA,NA,19,8,11,3,15,1,2020-10-26 11:35:42,0,0,19,104.1,18250,16.4,2,11,168.5,0
103220,NA,"Pasvalio r.",NA,NA,NA,NA,63,22,41,48,15,0,2020-10-26 11:35:42,0,0,63,276.1,22816,210.4,44,192.8,168.5,0
103221,NA,"Panevėžio m.",NA,NA,NA,NA,223,116,107,118,104,1,2020-10-26 11:35:42,0,0,223,259.7,85878,137.4,81,94.3,168.5,0
103222,NA,"Šiaulių m.",NA,NA,NA,NA,659,257,401,456,189,9,2020-10-26 11:35:42,0,0,659,649.2,101514,449.2,269,265,168.5,4
103223,NA,"Birštono",NA,NA,NA,NA,5,3,2,3,2,0,2020-10-26 11:35:42,0,0,5,122.9,4069,73.7,4,98.3,168.5,0
103224,NA,"Pakruojo r.",NA,NA,NA,NA,14,6,8,12,2,0,2020-10-26 11:35:42,0,0,14,75.2,18606,64.5,3,16.1,168.5,0
61,NA,"Kita",NA,NA,NA,NA,1,0,0,0,0,0,2020-10-26 11:35:42,0,0,1,0,0,0,0,0,98.6,0
