"OBJECTID","AMZIAUSGRUPE","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","KITA","VISO","GYV_SKAIC","GYV_SKAIC_V","GYV_SKAIC_M","ATVEJAI_V_100000","ATVEJAI_M_100000","ATVEJAI_VISI_100000"
1,"0-9",NA,594,309,285,0,594,290102,148908,141194,207.5,201.8,204.8
2,"10-19",NA,1198,637,561,0,1198,263568,134947,128621,472,436.2,454.5
3,"20-29",NA,2821,1395,1426,0,2821,339736,177466,162270,786.1,878.8,830.4
4,"30-39",NA,3255,1585,1670,0,3255,359239,188972,170267,838.7,980.8,906.1
5,"40-49",NA,3252,1365,1887,0,3252,369722,183873,185849,742.4,1015.3,879.6
6,"50-59",NA,3295,1268,2027,0,3295,419039,196469,222570,645.4,910.7,786.3
7,"60-69",NA,2103,864,1239,0,2103,351248,147788,203460,584.6,609,598.7
8,"70-79",NA,775,334,441,0,775,236890,81674,155216,408.9,284.1,327.2
9,"Virš 80",NA,773,214,524,35,738,164546,44257,120289,483.5,435.6,469.8
