"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_new","positive_retested","not_tested","not_tested_mobile"
"2020-09-06","VU ligoninės Santaros klinikų laboratorija",258,0,255,0,3,0,NA,NA,0,0
"2020-09-06","Klaipėdos universitetinės ligoninės laboratorija",199,87,194,84,5,3,NA,NA,0,0
"2020-09-06","Respublikinės Šiaulių ligoninės laboratorija",84,0,83,0,1,0,NA,NA,0,0
"2020-09-06","LSMU ligoninės Kauno klinikų laboratorija",325,133,324,133,1,0,NA,NA,0,0
"2020-09-06","Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",186,166,169,149,17,7,NA,NA,60,60
"2020-09-06","UAB „Baltic Medics“",14,14,14,14,0,0,NA,NA,0,0
"2020-09-06","UAB „Diagnostikos laboratorija“ („Antėja“)",3,0,3,0,0,0,NA,NA,0,0
"2020-09-06","UAB „Medicina practica laboratorija“",56,19,55,18,1,1,NA,NA,0,0
"2020-09-06","Respublikinės Panevėžio ligoninės laboratorija",20,0,20,0,0,0,NA,NA,0,0
