"day","laboratory","tested_all","tested_mobile","negative_all","negative_mobile","positive_all","positive_mobile","positive_new","positive_retested","not_tested","not_tested_mobile"
"2020-07-26","VU ligoninės Santaros klinikų laboratorija",265,0,262,0,3,0,NA,NA,5,0
"2020-07-26","Klaipėdos universitetinės ligoninės laboratorija",133,48,133,48,0,0,NA,NA,0,0
"2020-07-26","Respublikinės Šiaulių ligoninės laboratorija",99,0,99,0,0,0,NA,NA,0,0
"2020-07-26","LSMU ligoninės Kauno klinikų laboratorija",527,250,524,247,3,3,NA,NA,0,0
"2020-07-26","Nacionalinio maisto ir veterinarijos rizikos vertinimo instituto laboratorija",279,256,276,253,3,3,NA,NA,6,6
"2020-07-26","UAB „Medicina practica laboratorija“",15,0,15,0,0,0,NA,NA,0,0
"2020-07-26","Respublikinės Panevėžio ligoninės laboratorija",48,0,48,0,0,0,NA,NA,0,0
