"administrative_level_2","administrative_level_3","age_gr","at_risk"
"Kauno apskr.","Raseinių r.","60-69",2101
"Klaipėdos apskr.","Skuodo r.","50-59",1153
"Telšių apskr.","Telšių r.","80+",1782
"Vilniaus apskr.","Šalčininkų r.","50-59",1959
"Kauno apskr.","Kaišiadorių r.","20-29",1787
"Klaipėdos apskr.","Neringos","80+",23
"Šiaulių apskr.","Radviliškio r.","50-59",2585
"Šiaulių apskr.","Radviliškio r.","80+",505
"Klaipėdos apskr.","Skuodo r.","80+",688
"Utenos apskr.","Zarasų r.","70-79",549
"Vilniaus apskr.","Šalčininkų r.","30-39",1780
"Utenos apskr.","Ignalinos r.","80+",920
"Kauno apskr.","Kauno m.","40-49",15440
"Marijampolės apskr.","Kazlų Rūdos","30-39",526
"Klaipėdos apskr.","Klaipėdos m.","50-59",9172
"Panevėžio apskr.","Panevėžio r.","30-39",1006
"Panevėžio apskr.","Panevėžio r.","20-29",2181
