"sub_region_1","administrative_level_2"
"Alytus County","Alytaus apskr."
"Kaunas County","Kauno apskr."
"Klaipėda County","Klaipėdos apskr."
"Marijampolė County","Marijampolės apskr."
"Panevėžys County","Panevėžio apskr."
"Šiauliai County","Šiaulių apskr."
"Tauragė County","Tauragės apskr."
"Telšiai County","Telšių apskr."
"Utena County","Utenos apskr."
"Vilnius County","Vilniaus apskr."
