"OBJECTID","AMZIAUSGRUPE","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","KITA","VISO","GYV_SKAIC","GYV_SKAIC_V","GYV_SKAIC_M","ATVEJAI_V_100000","ATVEJAI_M_100000","ATVEJAI_VISI_100000"
1,"0-9",NA,80,43,37,0,80,290102,148908,141194,28.9,26.2,27.6
2,"10-19",NA,176,100,76,0,176,263568,134947,128621,74.1,59.1,66.8
3,"20-29",NA,520,273,247,0,520,339736,177466,162270,153.8,152.2,153.1
4,"30-39",NA,536,295,241,0,536,359239,188972,170267,156.1,141.5,149.2
5,"40-49",NA,600,265,335,0,600,369722,183873,185849,144.1,180.3,162.3
6,"50-59",NA,657,266,391,0,657,419039,196469,222570,135.4,175.7,156.8
7,"60-69",NA,405,172,233,0,405,351248,147788,203460,116.4,114.5,115.3
8,"70-79",NA,164,67,97,0,164,236890,81674,155216,82,62.5,69.2
9,"Virš 80",NA,196,60,136,0,196,164546,44257,120289,135.6,113.1,119.1
