"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","ATVEJAI_14"
1,"82","Utenos r.","9","Utenos apskr.",NA,4,1,3,0,4,0,2020-05-29 11:07:29,0
2,"49","Kaišiadorių r.","2","Kauno apskr.",NA,3,1,2,0,3,0,2020-05-29 11:07:29,0
3,"39","Vilkaviškio r.","4","Marijampolės apskr.",NA,7,4,3,0,6,1,2020-05-29 11:07:30,0
4,"69","Prienų r.","2","Kauno apskr.",NA,5,3,2,0,5,0,2020-05-29 11:07:31,0
5,"46","Jonavos r.","2","Kauno apskr.",NA,9,1,8,0,9,0,2020-05-29 11:07:31,0
6,"74","Rietavo","8","Telšių apskr.",NA,6,4,2,0,6,0,2020-05-29 11:07:32,0
7,"18","Marijampolės","4","Marijampolės apskr.",NA,77,31,46,2,70,4,2020-05-29 11:07:33,0
8,"19","Kauno m.","2","Kauno apskr.",NA,102,50,52,15,84,3,2020-05-29 11:07:33,9
9,"11","Alytaus m.","1","Alytaus apskr.",NA,28,17,11,0,27,1,2020-05-29 11:07:34,0
10,"15","Druskininkų","1","Alytaus apskr.",NA,1,0,1,0,1,0,2020-05-29 11:07:35,0
11,"47","Joniškio r.","6","Šiaulių apskr.",NA,15,8,7,0,14,1,2020-05-29 11:07:35,0
12,"58","Kazlų Rūdos","4","Marijampolės apskr.",NA,2,0,2,1,1,0,2020-05-29 11:07:36,0
13,"36","Biržų r.","5","Panevėžio apskr.",NA,10,5,5,0,10,0,2020-05-29 11:07:37,0
14,"91","Šiaulių r.","6","Šiaulių apskr.",NA,11,6,5,0,10,1,2020-05-29 11:07:37,0
15,"55","Klaipėdos r.","3","Klaipėdos apskr.",NA,55,24,31,5,47,3,2020-05-29 11:07:38,0
16,"34","Anykščių r.","9","Utenos apskr.",NA,6,2,4,0,6,0,2020-05-29 11:07:39,0
17,"32","Akmenės r.","6","Šiaulių apskr.",NA,5,3,2,0,5,0,2020-05-29 11:07:39,0
18,"62","Molėtų r.","9","Utenos apskr.",NA,3,1,2,2,1,0,2020-05-29 11:07:40,0
19,"71","Radviliškio r.","6","Šiaulių apskr.",NA,3,2,1,0,3,0,2020-05-29 11:07:41,0
22,"73","Rokiškio r.","5","Panevėžio apskr.",NA,3,0,3,0,3,0,2020-05-29 11:07:42,0
23,"84","Šakių r.","4","Marijampolės apskr.",NA,3,1,2,0,2,1,2020-05-29 11:07:42,0
24,"66","Panevėžio r.","5","Panevėžio apskr.",NA,8,5,3,1,6,1,2020-05-29 11:07:43,1
25,"79","Trakų r.","10","Vilniaus apskr.",NA,5,5,0,0,5,0,2020-05-29 11:07:43,0
