"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","ATVEJAI_14"
1,"82","Utenos r.","9","Utenos apskr.",NA,5,2,3,1,4,0,2020-06-08 06:55:09,1
2,"49","Kaišiadorių r.","2","Kauno apskr.",NA,3,1,2,0,3,0,2020-06-08 06:55:09,0
3,"39","Vilkaviškio r.","4","Marijampolės apskr.",NA,7,4,3,0,6,1,2020-06-08 06:55:10,0
4,"69","Prienų r.","2","Kauno apskr.",NA,5,3,2,0,5,0,2020-06-08 06:55:11,0
5,"46","Jonavos r.","2","Kauno apskr.",NA,9,1,8,0,9,0,2020-06-08 06:55:11,0
6,"74","Rietavo","8","Telšių apskr.",NA,6,4,2,0,6,0,2020-06-08 06:55:12,0
7,"18","Marijampolės","4","Marijampolės apskr.",NA,75,31,44,0,71,4,2020-06-08 06:55:13,0
8,"19","Kauno m.","2","Kauno apskr.",NA,102,50,52,13,86,3,2020-06-08 06:55:14,2
9,"11","Alytaus m.","1","Alytaus apskr.",NA,28,17,11,0,27,1,2020-06-08 06:55:14,0
10,"15","Druskininkų","1","Alytaus apskr.",NA,1,0,1,0,1,0,2020-06-08 06:55:14,0
11,"47","Joniškio r.","6","Šiaulių apskr.",NA,15,8,7,0,14,1,2020-06-08 06:55:15,0
12,"58","Kazlų Rūdos","4","Marijampolės apskr.",NA,3,0,3,1,2,0,2020-06-08 06:55:16,0
13,"36","Biržų r.","5","Panevėžio apskr.",NA,10,5,5,0,10,0,2020-06-08 06:55:16,0
14,"91","Šiaulių r.","6","Šiaulių apskr.",NA,11,6,5,0,10,1,2020-06-08 06:55:17,0
15,"55","Klaipėdos r.","3","Klaipėdos apskr.",NA,59,27,32,5,51,3,2020-06-08 06:55:18,4
16,"34","Anykščių r.","9","Utenos apskr.",NA,6,2,4,0,6,0,2020-06-08 06:55:19,0
17,"32","Akmenės r.","6","Šiaulių apskr.",NA,5,3,2,0,5,0,2020-06-08 06:55:19,0
