"OBJECTID","AMZIAUSGRUPE","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","KITA","VISO","GYV_SKAIC","GYV_SKAIC_V","GYV_SKAIC_M","ATVEJAI_V_100000","ATVEJAI_M_100000","ATVEJAI_VISI_100000"
1,"0-9",NA,81,43,38,0,81,290102,148908,141194,28.9,26.9,27.9
2,"10-19",NA,185,105,80,0,185,263568,134947,128621,77.8,62.2,70.2
3,"20-29",NA,533,279,254,0,533,339736,177466,162270,157.2,156.5,156.9
4,"30-39",NA,539,297,242,0,539,359239,188972,170267,157.2,142.1,150
5,"40-49",NA,607,268,339,0,607,369722,183873,185849,145.8,182.4,164.2
6,"50-59",NA,666,269,397,0,666,419039,196469,222570,136.9,178.4,158.9
7,"60-69",NA,411,175,236,0,411,351248,147788,203460,118.4,116,117
8,"70-79",NA,167,68,99,0,167,236890,81674,155216,83.3,63.8,70.5
9,"Virš 80",NA,196,60,136,0,196,164546,44257,120289,135.6,113.1,119.1
