"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","ATVEJAI_14","MIRTYS_KITA"
1,"82","Utenos r.","9","Utenos apskr.",NA,8,4,4,0,8,0,2020-08-11 06:56:29,0,0
2,"49","Kaišiadorių r.","2","Kauno apskr.",NA,3,1,2,0,3,0,2020-08-11 06:56:30,0,0
3,"39","Vilkaviškio r.","4","Marijampolės apskr.",NA,8,4,4,0,7,1,2020-08-11 06:56:31,0,0
4,"69","Prienų r.","2","Kauno apskr.",NA,20,6,14,15,5,0,2020-08-11 06:56:32,15,0
5,"46","Jonavos r.","2","Kauno apskr.",NA,18,6,12,5,13,0,2020-08-11 06:56:33,3,0
6,"74","Rietavo","8","Telšių apskr.",NA,6,4,2,0,6,0,2020-08-11 06:56:33,0,0
7,"18","Marijampolės","4","Marijampolės apskr.",NA,82,36,46,3,75,4,2020-08-11 06:56:34,0,0
8,"19","Kauno m.","2","Kauno apskr.",NA,235,137,98,127,104,3,2020-08-11 06:56:36,80,1
9,"11","Alytaus m.","1","Alytaus apskr.",NA,28,17,11,0,27,1,2020-08-11 06:56:36,0,0
10,"15","Druskininkų","1","Alytaus apskr.",NA,1,0,1,0,1,0,2020-08-11 06:56:37,0,0
11,"47","Joniškio r.","6","Šiaulių apskr.",NA,15,8,7,0,14,1,2020-08-11 06:56:38,0,0
12,"58","Kazlų Rūdos","4","Marijampolės apskr.",NA,3,0,3,0,3,0,2020-08-11 06:56:39,0,0
13,"36","Biržų r.","5","Panevėžio apskr.",NA,10,5,5,0,10,0,2020-08-11 06:56:40,0,0
14,"91","Šiaulių r.","6","Šiaulių apskr.",NA,12,7,5,1,10,1,2020-08-11 06:56:41,1,0
15,"55","Klaipėdos r.","3","Klaipėdos apskr.",NA,67,31,36,8,55,4,2020-08-11 06:56:42,2,0
16,"34","Anykščių r.","9","Utenos apskr.",NA,8,3,5,0,8,0,2020-08-11 06:56:44,0,0
17,"32","Akmenės r.","6","Šiaulių apskr.",NA,5,3,2,0,5,0,2020-08-11 06:56:45,0,0
18,"62","Molėtų r.","9","Utenos apskr.",NA,11,4,7,6,5,0,2020-08-11 06:56:53,0,0
19,"71","Radviliškio r.","6","Šiaulių apskr.",NA,8,6,2,1,7,0,2020-08-11 06:56:54,1,0
22,"73","Rokiškio r.","5","Panevėžio apskr.",NA,5,1,4,1,4,0,2020-08-11 06:56:55,1,0
23,"84","Šakių r.","4","Marijampolės apskr.",NA,8,4,4,1,6,1,2020-08-11 06:56:56,0,0
24,"66","Panevėžio r.","5","Panevėžio apskr.",NA,12,7,5,4,7,1,2020-08-11 06:56:57,2,0
25,"79","Trakų r.","10","Vilniaus apskr.",NA,17,10,7,10,7,0,2020-08-11 06:56:59,3,0
27,"57","Kupiškio r.","5","Panevėžio apskr.",NA,3,2,1,3,0,0,2020-08-11 06:57:01,3,0
28,"75","Skuodo r.","3","Klaipėdos apskr.",NA,3,1,2,0,3,0,2020-08-11 06:57:10,0,0
31,"25","Palangos m.","3","Klaipėdos apskr.",NA,12,6,6,1,10,1,2020-08-11 06:57:25,0,0
32,"63","Pagėgių","7","Tauragės apskr.",NA,1,0,1,0,1,0,2020-08-11 06:57:26,0,0
33,"85","Šalčininkų r.","10","Vilniaus apskr.",NA,26,8,18,10,16,0,2020-08-11 06:57:27,6,0
34,"41","Vilniaus r.","10","Vilniaus apskr.",NA,317,121,196,39,271,3,2020-08-11 06:57:28,11,4
35,"86","Švenčionių r.","10","Vilniaus apskr.",NA,11,7,4,0,11,0,2020-08-11 06:57:29,0,0
36,"43","Zarasų r.","9","Utenos apskr.",NA,2,2,0,0,2,0,2020-08-11 06:57:30,0,0
37,"53","Kėdainių r.","2","Kauno apskr.",NA,12,5,7,9,3,0,2020-08-11 06:57:31,1,0
38,"81","Ukmergės r.","10","Vilniaus apskr.",NA,89,29,60,0,79,9,2020-08-11 06:57:31,0,1
39,"54","Kelmės r.","6","Šiaulių apskr.",NA,3,2,1,1,2,0,2020-08-11 06:57:32,1,0
40,"89","Širvintų r.","10","Vilniaus apskr.",NA,20,11,9,3,16,0,2020-08-11 06:57:33,0,1
41,"48","Kalvarijos","4","Marijampolės apskr.",NA,5,2,3,0,4,0,2020-08-11 06:57:34,0,1
42,"52","Kauno r.","2","Kauno apskr.",NA,46,24,22,25,21,0,2020-08-11 06:57:34,19,0
44,"88","Šilutės r.","3","Klaipėdos apskr.",NA,8,5,3,1,7,0,2020-08-11 06:57:35,1,0
45,"77","Tauragės r.","7","Tauragės apskr.",NA,11,6,5,1,10,0,2020-08-11 06:57:36,0,0
