"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","ATVEJAI_14","MIRTYS_KITA"
53,"68","Plungės r.","8","Telšių apskr.",NA,8,5,3,0,8,0,2020-08-01 06:50:43,0,0
54,"56","Kretingos r.","3","Klaipėdos apskr.",NA,62,24,38,2,57,3,2020-08-01 06:50:44,0,0
55,"38","Varėnos r.","1","Alytaus apskr.",NA,1,1,0,0,0,1,2020-08-01 06:50:45,0,0
56,"33","Alytaus r.","1","Alytaus apskr.",NA,7,4,3,0,7,0,2020-08-01 06:50:46,0,0
57,"72","Raseinių r.","2","Kauno apskr.",NA,7,1,6,1,5,1,2020-08-01 06:50:46,1,0
59,"13","Vilniaus m.","10","Vilniaus apskr.",NA,562,251,311,128,407,22,2020-08-01 06:50:48,38,5
60,"87","Šilalės r.","7","Tauragės apskr.",NA,3,2,1,0,3,0,2020-08-01 06:50:48,0,0
26,"21","Klaipėdos m.","3","Klaipėdos apskr.",NA,283,98,185,6,259,18,2020-08-01 06:50:49,3,0
20,"30","Visagino","9","Utenos apskr.",NA,5,2,3,1,4,0,2020-08-01 06:50:50,1,0
58,"67","Pasvalio r.","5","Panevėžio apskr.",NA,4,3,1,1,3,0,2020-08-01 06:50:51,0,0
21,"27","Panevėžio m.","5","Panevėžio apskr.",NA,48,24,24,26,21,1,2020-08-01 06:50:51,25,0
29,"29","Šiaulių m.","6","Šiaulių apskr.",NA,19,11,8,5,13,1,2020-08-01 06:50:52,4,0
30,"12","Birštono","2","Kauno apskr.",NA,0,0,0,0,0,0,2020-08-01 06:50:52,0,0
43,"65","Pakruojo r.","6","Šiaulių apskr.",NA,0,0,0,0,0,0,2020-08-01 06:50:52,0,0
