"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","PLOTAS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","SHAPE_AREA","SHAPE_LEN","ATVEJAI","ATVEJAI_10000_GYV","GYV_SK","GYDOMA_10000_GYV","ATVEJAI_14","ATVEJAI_14_100000","ATVEJAI_14_100000LT"
63101,NA,"Utenos r.",NA,NA,NA,NA,5,2,3,1,4,0,2020-06-08 06:55:09,0,0,5,13.4,37179,2.7,1,2.7,3
63102,NA,"Kaišiadorių r.",NA,NA,NA,NA,3,1,2,0,3,0,2020-06-08 06:55:09,0,0,3,10.2,29526,0,0,0,3
63103,NA,"Vilkaviškio r.",NA,NA,NA,NA,7,4,3,0,6,1,2020-06-08 06:55:10,0,0,7,20.2,34660,0,0,0,3
63104,NA,"Prienų r.",NA,NA,NA,NA,5,3,2,0,5,0,2020-06-08 06:55:11,0,0,5,19.4,25802,0,0,0,3
63105,NA,"Jonavos r.",NA,NA,NA,NA,9,1,8,0,9,0,2020-06-08 06:55:11,0,0,9,21.9,41163,0,0,0,3
63106,NA,"Rietavo",NA,NA,NA,NA,6,4,2,0,6,0,2020-06-08 06:55:12,0,0,6,82.7,7258,0,0,0,3
63107,NA,"Marijampolės",NA,NA,NA,NA,75,31,44,0,71,4,2020-06-08 06:55:13,0,0,75,139.5,53772,0,0,0,3
63108,NA,"Kauno m.",NA,NA,NA,NA,102,50,52,13,86,3,2020-06-08 06:55:14,0,0,102,35.2,289380,4.5,2,0.7,3
63109,NA,"Alytaus m.",NA,NA,NA,NA,28,17,11,0,27,1,2020-06-08 06:55:14,0,0,28,56.1,49888,0,0,0,3
63110,NA,"Druskininkų",NA,NA,NA,NA,1,0,1,0,1,0,2020-06-08 06:55:14,0,0,1,5.2,19109,0,0,0,3
63111,NA,"Joniškio r.",NA,NA,NA,NA,15,8,7,0,14,1,2020-06-08 06:55:15,0,0,15,72.4,20726,0,0,0,3
63112,NA,"Kazlų Rūdos",NA,NA,NA,NA,3,0,3,1,2,0,2020-06-08 06:55:16,0,0,3,26.5,11337,8.8,0,0,3
63113,NA,"Biržų r.",NA,NA,NA,NA,10,5,5,0,10,0,2020-06-08 06:55:16,0,0,10,44,22718,0,0,0,3
63114,NA,"Šiaulių r.",NA,NA,NA,NA,11,6,5,0,10,1,2020-06-08 06:55:17,0,0,11,26.5,41442,0,0,0,3
63115,NA,"Klaipėdos r.",NA,NA,NA,NA,59,27,32,5,51,3,2020-06-08 06:55:18,0,0,59,98.1,60139,8.3,4,6.7,3
63116,NA,"Anykščių r.",NA,NA,NA,NA,6,2,4,0,6,0,2020-06-08 06:55:19,0,0,6,26,23034,0,0,0,3
63117,NA,"Akmenės r.",NA,NA,NA,NA,5,3,2,0,5,0,2020-06-08 06:55:19,0,0,5,26.6,18764,0,0,0,3
63118,NA,"Molėtų r.",NA,NA,NA,NA,3,1,2,2,1,0,2020-06-08 06:55:20,0,0,3,17.5,17153,11.7,0,0,3
63119,NA,"Radviliškio r.",NA,NA,NA,NA,4,3,1,1,3,0,2020-06-08 06:55:21,0,0,4,11.4,34995,2.9,1,2.9,3
63120,NA,"Rokiškio r.",NA,NA,NA,NA,3,0,3,0,3,0,2020-06-08 06:55:22,0,0,3,10.7,28070,0,0,0,3
63121,NA,"Šakių r.",NA,NA,NA,NA,4,2,2,1,2,1,2020-06-08 06:55:22,0,0,4,15,26698,3.7,1,3.7,3
63122,NA,"Panevėžio r.",NA,NA,NA,NA,8,5,3,1,6,1,2020-06-08 06:55:23,0,0,8,22.6,35324,2.8,0,0,3
63123,NA,"Trakų r.",NA,NA,NA,NA,5,5,0,0,5,0,2020-06-08 06:55:24,0,0,5,15.4,32546,0,0,0,3
63124,NA,"Kupiškio r.",NA,NA,NA,NA,1,1,0,0,1,0,2020-06-08 06:55:24,0,0,1,6.1,16356,0,0,0,3
63125,NA,"Skuodo r.",NA,NA,NA,NA,3,1,2,1,2,0,2020-06-08 06:55:25,0,0,3,18.7,16078,6.2,1,6.2,3
63126,NA,"Palangos m.",NA,NA,NA,NA,12,6,6,4,7,1,2020-06-08 06:55:25,0,0,12,74.8,16046,24.9,0,0,3
63127,NA,"Pagėgių",NA,NA,NA,NA,1,0,1,0,1,0,2020-06-08 06:55:26,0,0,1,13.7,7288,0,0,0,3
63128,NA,"Šalčininkų r.",NA,NA,NA,NA,12,5,7,5,7,0,2020-06-08 06:55:27,0,0,12,39.3,30520,16.4,2,6.6,3
63129,NA,"Vilniaus r.",NA,NA,NA,NA,269,95,174,66,198,3,2020-06-08 06:55:28,0,0,269,268.6,100158,65.9,26,26,3
63130,NA,"Švenčionių r.",NA,NA,NA,NA,11,7,4,2,9,0,2020-06-08 06:55:29,0,0,11,48,22932,8.7,1,4.4,3
63131,NA,"Zarasų r.",NA,NA,NA,NA,1,1,0,0,1,0,2020-06-08 06:55:29,0,0,1,6.7,14916,0,0,0,3
63132,NA,"Kėdainių r.",NA,NA,NA,NA,1,0,1,0,1,0,2020-06-08 06:55:30,0,0,1,2.2,45285,0,0,0,3
63133,NA,"Ukmergės r.",NA,NA,NA,NA,87,27,60,5,73,9,2020-06-08 06:55:31,0,0,87,259.9,33471,14.9,1,3,3
