"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","ATVEJAI_14","MIRTYS_KITA"
1,"82","Utenos r.","9","Utenos apskr.",NA,8,4,4,0,8,0,2020-08-26 07:12:29,0,0
2,"49","Kaišiadorių r.","2","Kauno apskr.",NA,8,4,4,5,3,0,2020-08-26 07:12:30,4,0
3,"39","Vilkaviškio r.","4","Marijampolės apskr.",NA,8,4,4,0,7,1,2020-08-26 07:12:31,0,0
4,"69","Prienų r.","2","Kauno apskr.",NA,24,8,16,14,9,1,2020-08-26 07:12:32,4,0
5,"46","Jonavos r.","2","Kauno apskr.",NA,20,7,13,7,13,0,2020-08-26 07:12:33,2,0
6,"74","Rietavo","8","Telšių apskr.",NA,6,4,2,0,6,0,2020-08-26 07:12:34,0,0
7,"18","Marijampolės","4","Marijampolės apskr.",NA,85,38,47,5,76,4,2020-08-26 07:12:35,3,0
8,"19","Kauno m.","2","Kauno apskr.",NA,323,180,143,200,116,6,2020-08-26 07:12:36,80,1
9,"11","Alytaus m.","1","Alytaus apskr.",NA,28,17,11,0,27,1,2020-08-26 07:12:37,0,0
10,"15","Druskininkų","1","Alytaus apskr.",NA,1,0,1,0,1,0,2020-08-26 07:12:38,0,0
11,"47","Joniškio r.","6","Šiaulių apskr.",NA,15,8,7,0,14,1,2020-08-26 07:12:39,0,0
12,"58","Kazlų Rūdos","4","Marijampolės apskr.",NA,3,0,3,0,3,0,2020-08-26 07:12:40,0,0
13,"36","Biržų r.","5","Panevėžio apskr.",NA,10,5,5,0,10,0,2020-08-26 07:12:40,0,0
14,"91","Šiaulių r.","6","Šiaulių apskr.",NA,12,7,5,1,10,1,2020-08-26 07:12:41,0,0
15,"55","Klaipėdos r.","3","Klaipėdos apskr.",NA,71,34,37,9,58,4,2020-08-26 07:12:42,4,0
16,"34","Anykščių r.","9","Utenos apskr.",NA,8,3,5,0,8,0,2020-08-26 07:12:43,0,0
17,"32","Akmenės r.","6","Šiaulių apskr.",NA,7,3,4,2,5,0,2020-08-26 07:12:45,2,0
18,"62","Molėtų r.","9","Utenos apskr.",NA,19,6,13,12,7,0,2020-08-26 07:12:46,8,0
19,"71","Radviliškio r.","6","Šiaulių apskr.",NA,8,6,2,0,8,0,2020-08-26 07:12:48,0,0
22,"73","Rokiškio r.","5","Panevėžio apskr.",NA,5,1,4,0,5,0,2020-08-26 07:12:49,0,0
23,"84","Šakių r.","4","Marijampolės apskr.",NA,11,5,6,3,7,1,2020-08-26 07:12:51,3,0
24,"66","Panevėžio r.","5","Panevėžio apskr.",NA,15,8,7,4,10,1,2020-08-26 07:12:52,3,0
25,"79","Trakų r.","10","Vilniaus apskr.",NA,28,13,15,18,10,0,2020-08-26 07:12:53,11,0
27,"57","Kupiškio r.","5","Panevėžio apskr.",NA,8,4,4,5,3,0,2020-08-26 07:12:54,5,0
28,"75","Skuodo r.","3","Klaipėdos apskr.",NA,4,1,3,1,3,0,2020-08-26 07:12:55,1,0
31,"25","Palangos m.","3","Klaipėdos apskr.",NA,12,6,6,1,10,1,2020-08-26 07:12:56,0,0
32,"63","Pagėgių","7","Tauragės apskr.",NA,1,0,1,0,1,0,2020-08-26 07:12:57,0,0
33,"85","Šalčininkų r.","10","Vilniaus apskr.",NA,29,9,20,5,24,0,2020-08-26 07:12:58,3,0
34,"41","Vilniaus r.","10","Vilniaus apskr.",NA,325,124,201,42,276,3,2020-08-26 07:12:59,8,4
35,"86","Švenčionių r.","10","Vilniaus apskr.",NA,17,8,9,6,11,0,2020-08-26 07:13:00,6,0
36,"43","Zarasų r.","9","Utenos apskr.",NA,5,5,0,3,2,0,2020-08-26 07:13:01,3,0
37,"53","Kėdainių r.","2","Kauno apskr.",NA,14,7,7,4,10,0,2020-08-26 07:13:02,2,0
38,"81","Ukmergės r.","10","Vilniaus apskr.",NA,92,29,63,3,79,9,2020-08-26 07:13:03,3,1
39,"54","Kelmės r.","6","Šiaulių apskr.",NA,3,2,1,0,3,0,2020-08-26 07:13:04,0,0
40,"89","Širvintų r.","10","Vilniaus apskr.",NA,20,11,9,0,19,0,2020-08-26 07:13:04,0,1
41,"48","Kalvarijos","4","Marijampolės apskr.",NA,5,2,3,0,4,0,2020-08-26 07:13:05,0,1
42,"52","Kauno r.","2","Kauno apskr.",NA,87,46,41,62,25,0,2020-08-26 07:13:06,40,0
44,"88","Šilutės r.","3","Klaipėdos apskr.",NA,12,8,4,5,7,0,2020-08-26 07:13:07,3,0
