"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","PLOTAS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","SHAPE_AREA","SHAPE_LEN","ATVEJAI","ATVEJAI_10000_GYV","GYV_SK","GYDOMA_10000_GYV"
58593,NA,"Ignalinos r.",NA,NA,NA,NA,3,1,2,1,2,0,2020-05-27 12:01:12,0,0,3,20.8,14433,6.9
58594,NA,"Telšių r.",NA,NA,NA,NA,10,5,5,0,8,2,2020-05-27 12:01:13,0,0,10,25.4,39317,0
58595,NA,"Plungės r.",NA,NA,NA,NA,7,4,3,0,7,0,2020-05-27 12:01:14,0,0,7,21.2,32987,0
58596,NA,"Kretingos r.",NA,NA,NA,NA,59,22,37,25,32,2,2020-05-27 12:01:14,0,0,59,157.6,37427,66.8
58597,NA,"Varėnos r.",NA,NA,NA,NA,1,1,0,0,0,1,2020-05-27 12:01:15,0,0,1,4.8,20840,0
58598,NA,"Alytaus r.",NA,NA,NA,NA,7,4,3,0,7,0,2020-05-27 12:01:15,0,0,7,27,25887,0
58599,NA,"Raseinių r.",NA,NA,NA,NA,6,1,5,0,5,1,2020-05-27 12:01:16,0,0,6,19.2,31225,0
58600,NA,"Vilniaus m.",NA,NA,NA,NA,424,183,241,160,246,14,2020-05-27 12:01:17,0,0,424,75.4,562030,28.5
58601,NA,"Šilalės r.",NA,NA,NA,NA,3,2,1,0,3,0,2020-05-27 12:01:17,0,0,3,13.7,21887,0
58602,NA,"Klaipėdos m.",NA,NA,NA,NA,273,90,183,56,201,16,2020-05-27 12:01:18,0,0,273,183,149157,37.5
58603,NA,"Visagino",NA,NA,NA,NA,3,1,2,0,3,0,2020-05-27 12:01:19,0,0,3,16.4,18250,0
58604,NA,"Pasvalio r.",NA,NA,NA,NA,4,3,1,1,3,0,2020-05-27 12:01:19,0,0,4,17.5,22816,4.4
58605,NA,"Panevėžio m.",NA,NA,NA,NA,21,13,8,1,19,1,2020-05-27 12:01:20,0,0,21,24.5,85878,1.2
58606,NA,"Šiaulių m.",NA,NA,NA,NA,14,9,5,2,11,1,2020-05-27 12:01:20,0,0,14,13.8,101514,2
58607,NA,"Birštono",NA,NA,NA,NA,0,0,0,0,0,0,2020-05-05 10:19:52,0,0,0,0,4069,0
58608,NA,"Pakruojo r.",NA,NA,NA,NA,0,0,0,0,0,0,2020-05-05 10:19:52,0,0,0,0,18606,0
61,NA,"Kita",NA,NA,NA,NA,1,1,0,1,0,0,2020-05-27 12:04:04,0,0,1,0,0,0
