"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA"
26,"21","Klaipėdos m.","3","Klaipėdos apskr.",NA,271,89,182,90,165,16,"1590125061000"
59,"13","Vilniaus m.","10","Vilniaus apskr.",NA,393,172,221,145,235,9,"1590125060000"
38,"81","Ukmergės r.","10","Vilniaus apskr.",NA,86,27,59,7,71,8,"1590125049000"
15,"55","Klaipėdos r.","3","Klaipėdos apskr.",NA,55,24,31,11,41,3,"1590125039000"
7,"18","Marijampolės","4","Marijampolės apskr.",NA,77,31,46,8,65,3,"1590125034000"
34,"41","Vilniaus r.","10","Vilniaus apskr.",NA,232,82,150,82,145,3,"1590125047000"
8,"19","Kauno m.","2","Kauno apskr.",NA,99,49,50,14,82,3,"1590125035000"
52,"78","Telšių r.","8","Telšių apskr.",NA,10,5,5,1,7,2,"1590125056000"
54,"56","Kretingos r.","3","Klaipėdos apskr.",NA,59,22,37,28,29,2,"1590125057000"
23,"84","Šakių r.","4","Marijampolės apskr.",NA,3,1,2,0,2,1,"1590125042000"
24,"66","Panevėžio r.","5","Panevėžio apskr.",NA,7,4,3,0,6,1,"1590125043000"
55,"38","Varėnos r.","1","Alytaus apskr.",NA,1,1,0,0,0,1,"1590125058000"
14,"91","Šiaulių r.","6","Šiaulių apskr.",NA,10,6,4,1,8,1,"1590125038000"
57,"72","Raseinių r.","2","Kauno apskr.",NA,6,1,5,0,5,1,"1590125059000"
9,"11","Alytaus m.","1","Alytaus apskr.",NA,28,17,11,0,27,1,"1590125035000"
31,"25","Palangos m.","3","Klaipėdos apskr.",NA,12,6,6,5,6,1,"1590125045000"
21,"27","Panevėžio m.","5","Panevėžio apskr.",NA,21,13,8,2,18,1,"1590125063000"
11,"47","Joniškio r.","6","Šiaulių apskr.",NA,15,8,7,0,14,1,"1590125036000"
3,"39","Vilkaviškio r.","4","Marijampolės apskr.",NA,7,4,3,0,6,1,"1590125032000"
29,"29","Šiaulių m.","6","Šiaulių apskr.",NA,13,8,5,1,11,1,"1590125064000"
37,"53","Kėdainių r.","2","Kauno apskr.",NA,1,0,1,0,1,0,"1590125048000"
39,"54","Kelmės r.","6","Šiaulių apskr.",NA,2,1,1,0,2,0,"1590125049000"
40,"89","Širvintų r.","10","Vilniaus apskr.",NA,8,4,4,2,5,0,"1590125050000"
41,"48","Kalvarijos","4","Marijampolės apskr.",NA,4,2,2,2,2,0,"1590125050000"
42,"52","Kauno r.","2","Kauno apskr.",NA,21,14,7,2,19,0,"1590125051000"
44,"88","Šilutės r.","3","Klaipėdos apskr.",NA,7,4,3,2,5,0,"1590125052000"
45,"77","Tauragės r.","7","Tauragės apskr.",NA,8,4,4,1,7,0,"1590125052000"
46,"59","Lazdijų r.","1","Alytaus apskr.",NA,2,0,2,0,2,0,"1590125053000"
47,"94","Jurbarko r.","7","Tauragės apskr.",NA,2,1,1,0,2,0,"1590125053000"
48,"42","Elektrėnų","10","Vilniaus apskr.",NA,6,2,4,3,3,0,"1590125054000"
