"OBJECTID","AMZIAUSGRUPE","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","KITA","VISO","GYV_SKAIC","GYV_SKAIC_V","GYV_SKAIC_M","ATVEJAI_V_100000","ATVEJAI_M_100000","ATVEJAI_VISI_100000"
1,"0-9",NA,58,27,31,0,58,290102,148908,141194,18.1,22,20
2,"10-19",NA,111,61,50,0,111,263568,134947,128621,45.2,38.9,42.1
3,"20-29",NA,384,196,188,0,384,339736,177466,162270,110.4,115.9,113
4,"30-39",NA,428,231,197,0,428,359239,188972,170267,122.2,115.7,119.1
5,"40-49",NA,484,222,262,0,484,369722,183873,185849,120.7,141,130.9
6,"50-59",NA,560,226,334,0,560,419039,196469,222570,115,150.1,133.6
7,"60-69",NA,359,157,202,0,359,351248,147788,203460,106.2,99.3,102.2
8,"70-79",NA,156,66,90,0,156,236890,81674,155216,80.8,58,65.9
9,"Virš 80",NA,186,57,128,1,185,164546,44257,120289,128.8,106.4,113
