"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","PLOTAS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","SHAPE_AREA","SHAPE_LEN","ATVEJAI","ATVEJAI_10000_GYV","GYV_SK","GYDOMA_10000_GYV","ATVEJAI_14","ATVEJAI_14_100000","ATVEJAI_14_100000LT"
61761,NA,"Utenos r.",NA,NA,NA,NA,5,2,3,1,4,0,2020-06-03 08:52:12,0,0,5,13.4,37179,2.7,1,2.7,3.6
61762,NA,"Kaišiadorių r.",NA,NA,NA,NA,3,1,2,0,3,0,2020-06-03 08:52:13,0,0,3,10.2,29526,0,0,0,3.6
61763,NA,"Vilkaviškio r.",NA,NA,NA,NA,7,4,3,0,6,1,2020-06-03 08:52:14,0,0,7,20.2,34660,0,0,0,3.6
61764,NA,"Prienų r.",NA,NA,NA,NA,5,3,2,0,5,0,2020-06-03 08:52:14,0,0,5,19.4,25802,0,0,0,3.6
61765,NA,"Jonavos r.",NA,NA,NA,NA,9,1,8,0,9,0,2020-06-03 08:52:15,0,0,9,21.9,41163,0,0,0,3.6
61766,NA,"Rietavo",NA,NA,NA,NA,6,4,2,0,6,0,2020-06-03 08:52:16,0,0,6,82.7,7258,0,0,0,3.6
61767,NA,"Marijampolės",NA,NA,NA,NA,77,31,46,2,70,4,2020-06-03 08:52:17,0,0,77,143.2,53772,3.7,0,0,3.6
61768,NA,"Kauno m.",NA,NA,NA,NA,102,50,52,15,84,3,2020-06-03 08:52:18,0,0,102,35.2,289380,5.2,3,1,3.6
61769,NA,"Alytaus m.",NA,NA,NA,NA,28,17,11,0,27,1,2020-06-03 08:52:19,0,0,28,56.1,49888,0,0,0,3.6
61770,NA,"Druskininkų",NA,NA,NA,NA,1,0,1,0,1,0,2020-06-03 08:52:19,0,0,1,5.2,19109,0,0,0,3.6
61771,NA,"Joniškio r.",NA,NA,NA,NA,15,8,7,0,14,1,2020-06-03 08:52:20,0,0,15,72.4,20726,0,0,0,3.6
61772,NA,"Kazlų Rūdos",NA,NA,NA,NA,2,0,2,1,1,0,2020-06-03 08:52:21,0,0,2,17.6,11337,8.8,0,0,3.6
61773,NA,"Biržų r.",NA,NA,NA,NA,10,5,5,0,10,0,2020-06-03 08:52:22,0,0,10,44,22718,0,0,0,3.6
61774,NA,"Šiaulių r.",NA,NA,NA,NA,11,6,5,0,10,1,2020-06-03 08:52:22,0,0,11,26.5,41442,0,0,0,3.6
61775,NA,"Klaipėdos r.",NA,NA,NA,NA,56,25,31,4,49,3,2020-06-03 08:52:23,0,0,56,93.1,60139,6.7,1,1.7,3.6
61776,NA,"Anykščių r.",NA,NA,NA,NA,6,2,4,0,6,0,2020-06-03 08:52:24,0,0,6,26,23034,0,0,0,3.6
61777,NA,"Akmenės r.",NA,NA,NA,NA,5,3,2,0,5,0,2020-06-03 08:52:25,0,0,5,26.6,18764,0,0,0,3.6
61778,NA,"Molėtų r.",NA,NA,NA,NA,3,1,2,2,1,0,2020-06-03 08:52:26,0,0,3,17.5,17153,11.7,0,0,3.6
61779,NA,"Radviliškio r.",NA,NA,NA,NA,3,2,1,0,3,0,2020-06-03 08:52:26,0,0,3,8.6,34995,0,0,0,3.6
61780,NA,"Rokiškio r.",NA,NA,NA,NA,3,0,3,0,3,0,2020-06-03 08:52:27,0,0,3,10.7,28070,0,0,0,3.6
61781,NA,"Šakių r.",NA,NA,NA,NA,3,1,2,0,2,1,2020-06-03 08:52:28,0,0,3,11.2,26698,0,0,0,3.6
61782,NA,"Panevėžio r.",NA,NA,NA,NA,8,5,3,1,6,1,2020-06-03 08:52:29,0,0,8,22.6,35324,2.8,1,2.8,3.6
61783,NA,"Trakų r.",NA,NA,NA,NA,5,5,0,0,5,0,2020-06-03 08:52:29,0,0,5,15.4,32546,0,0,0,3.6
61784,NA,"Kupiškio r.",NA,NA,NA,NA,1,1,0,0,1,0,2020-06-03 08:52:29,0,0,1,6.1,16356,0,0,0,3.6
61785,NA,"Skuodo r.",NA,NA,NA,NA,3,1,2,1,2,0,2020-06-03 08:52:30,0,0,3,18.7,16078,6.2,1,6.2,3.6
61786,NA,"Palangos m.",NA,NA,NA,NA,12,6,6,4,7,1,2020-06-03 08:52:31,0,0,12,74.8,16046,24.9,0,0,3.6
61787,NA,"Pagėgių",NA,NA,NA,NA,1,0,1,0,1,0,2020-06-03 08:52:32,0,0,1,13.7,7288,0,0,0,3.6
61788,NA,"Šalčininkų r.",NA,NA,NA,NA,12,5,7,5,7,0,2020-06-03 08:52:32,0,0,12,39.3,30520,16.4,2,6.6,3.6
61789,NA,"Vilniaus r.",NA,NA,NA,NA,259,90,169,74,180,3,2020-06-03 08:52:33,0,0,259,258.6,100158,73.9,29,29,3.6
61790,NA,"Švenčionių r.",NA,NA,NA,NA,10,6,4,3,7,0,2020-06-03 08:52:34,0,0,10,43.6,22932,13.1,0,0,3.6
61791,NA,"Zarasų r.",NA,NA,NA,NA,1,1,0,0,1,0,2020-06-03 08:52:35,0,0,1,6.7,14916,0,0,0,3.6
61792,NA,"Kėdainių r.",NA,NA,NA,NA,1,0,1,0,1,0,2020-06-03 08:52:35,0,0,1,2.2,45285,0,0,0,3.6
61793,NA,"Ukmergės r.",NA,NA,NA,NA,87,27,60,5,73,9,2020-06-03 08:52:36,0,0,87,259.9,33471,14.9,1,3,3.6
61794,NA,"Kelmės r.",NA,NA,NA,NA,2,1,1,0,2,0,2020-06-03 08:52:37,0,0,2,7.9,25382,0,0,0,3.6
61795,NA,"Širvintų r.",NA,NA,NA,NA,8,4,4,1,6,0,2020-06-03 08:52:37,0,0,8,53.1,15076,6.6,0,0,3.6
61796,NA,"Kalvarijos",NA,NA,NA,NA,4,2,2,2,2,0,2020-06-03 08:52:38,0,0,4,39.3,10190,19.6,0,0,3.6
61797,NA,"Kauno r.",NA,NA,NA,NA,21,14,7,0,21,0,2020-06-03 08:52:39,0,0,21,21.8,96441,0,0,0,3.6
61798,NA,"Šilutės r.",NA,NA,NA,NA,7,4,3,0,7,0,2020-06-03 08:52:39,0,0,7,18.6,37637,0,0,0,3.6
61799,NA,"Tauragės r.",NA,NA,NA,NA,9,5,4,2,7,0,2020-06-03 08:52:41,0,0,9,23.8,37805,5.3,1,2.6,3.6
61800,NA,"Lazdijų r.",NA,NA,NA,NA,5,2,3,3,2,0,2020-06-03 08:52:43,0,0,5,27.3,18331,16.4,3,16.4,3.6
61801,NA,"Jurbarko r.",NA,NA,NA,NA,2,1,1,0,2,0,2020-06-03 08:52:44,0,0,2,8.1,24822,0,0,0,3.6
61802,NA,"Elektrėnų",NA,NA,NA,NA,7,2,5,4,3,0,2020-06-03 08:52:45,0,0,7,29.2,23992,16.7,1,4.2,3.6
61803,NA,"Neringos",NA,NA,NA,NA,1,1,0,0,1,0,2020-06-03 08:52:46,0,0,1,28.3,3530,0,0,0,3.6
61804,NA,"Mažeikių r.",NA,NA,NA,NA,7,4,3,1,5,1,2020-06-03 08:52:46,0,0,7,13.7,51067,2,0,0,3.6
61805,NA,"Ignalinos r.",NA,NA,NA,NA,5,1,4,2,3,0,2020-06-03 08:52:47,0,0,5,34.6,14433,13.9,2,13.9,3.6
61806,NA,"Telšių r.",NA,NA,NA,NA,10,5,5,0,8,2,2020-06-03 08:52:48,0,0,10,25.4,39317,0,0,0,3.6
61807,NA,"Plungės r.",NA,NA,NA,NA,8,5,3,1,7,0,2020-06-03 08:52:48,0,0,8,24.3,32987,3,1,3,3.6
61808,NA,"Kretingos r.",NA,NA,NA,NA,59,22,37,19,38,2,2020-06-03 08:52:49,0,0,59,157.6,37427,50.8,0,0,3.6
61809,NA,"Varėnos r.",NA,NA,NA,NA,1,1,0,0,0,1,2020-06-03 08:52:49,0,0,1,4.8,20840,0,0,0,3.6
61810,NA,"Alytaus r.",NA,NA,NA,NA,7,4,3,0,7,0,2020-06-03 08:52:50,0,0,7,27,25887,0,0,0,3.6
