"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","ATVEJAI_14","MIRTYS_KITA"
53,"68","Plungės r.","8","Telšių apskr.",NA,11,5,6,3,8,0,2020-09-13 06:51:28,3,0
54,"56","Kretingos r.","3","Klaipėdos apskr.",NA,66,25,41,2,60,4,2020-09-13 06:51:29,2,0
55,"38","Varėnos r.","1","Alytaus apskr.",NA,1,1,0,0,0,1,2020-09-13 06:51:31,0,0
56,"33","Alytaus r.","1","Alytaus apskr.",NA,7,4,3,0,7,0,2020-09-13 06:51:33,0,0
57,"72","Raseinių r.","2","Kauno apskr.",NA,22,8,14,16,5,1,2020-09-13 06:51:34,15,0
59,"13","Vilniaus m.","10","Vilniaus apskr.",NA,931,440,491,372,532,22,2020-09-13 06:51:37,128,5
60,"87","Šilalės r.","7","Tauragės apskr.",NA,11,10,1,8,3,0,2020-09-13 06:51:39,8,0
26,"21","Klaipėdos m.","3","Klaipėdos apskr.",NA,345,134,211,58,269,18,2020-09-13 06:51:41,19,0
20,"30","Visagino","9","Utenos apskr.",NA,14,7,7,6,8,0,2020-09-13 06:51:43,2,0
58,"67","Pasvalio r.","5","Panevėžio apskr.",NA,12,4,8,9,3,0,2020-09-13 06:51:45,4,0
21,"27","Panevėžio m.","5","Panevėžio apskr.",NA,92,45,47,20,71,1,2020-09-13 06:51:47,11,0
29,"29","Šiaulių m.","6","Šiaulių apskr.",NA,75,37,38,54,20,1,2020-09-13 06:51:49,50,0
30,"12","Birštono","2","Kauno apskr.",NA,0,0,0,0,0,0,2020-09-13 06:51:49,0,0
43,"65","Pakruojo r.","6","Šiaulių apskr.",NA,1,0,1,1,0,0,2020-09-13 06:51:51,0,0
