"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","PLOTAS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","SHAPE_AREA","SHAPE_LEN","ATVEJAI","ATVEJAI_10000_GYV","GYV_SK","GYDOMA_10000_GYV","ATVEJAI_14","ATVEJAI_14_100000","ATVEJAI_14_100000LT","MIRTYS_KITA"
71041,NA,"Utenos r.",NA,NA,NA,NA,6,3,3,0,6,0,2020-07-02 06:52:08,0,0,6,16.1,37179,0,0,0,1.5,0
71042,NA,"Kaišiadorių r.",NA,NA,NA,NA,3,1,2,0,3,0,2020-07-02 06:52:09,0,0,3,10.2,29526,0,0,0,1.5,0
71043,NA,"Vilkaviškio r.",NA,NA,NA,NA,7,4,3,0,6,1,2020-07-02 06:52:09,0,0,7,20.2,34660,0,0,0,1.5,0
71044,NA,"Prienų r.",NA,NA,NA,NA,5,3,2,0,5,0,2020-07-02 06:52:10,0,0,5,19.4,25802,0,0,0,1.5,0
71045,NA,"Jonavos r.",NA,NA,NA,NA,14,4,10,1,13,0,2020-07-02 06:52:11,0,0,14,34,41163,2.4,1,2.4,1.5,0
71046,NA,"Rietavo",NA,NA,NA,NA,6,4,2,0,6,0,2020-07-02 06:52:12,0,0,6,82.7,7258,0,0,0,1.5,0
71047,NA,"Marijampolės",NA,NA,NA,NA,76,32,44,1,71,4,2020-07-02 06:52:12,0,0,76,141.3,53772,1.9,1,1.9,1.5,0
71048,NA,"Kauno m.",NA,NA,NA,NA,105,52,53,2,99,3,2020-07-02 06:52:13,0,0,105,36.3,289380,0.7,1,0.3,1.5,1
71049,NA,"Alytaus m.",NA,NA,NA,NA,28,17,11,0,27,1,2020-07-02 06:52:14,0,0,28,56.1,49888,0,0,0,1.5,0
71050,NA,"Druskininkų",NA,NA,NA,NA,1,0,1,1,0,0,2020-07-02 06:52:14,0,0,1,5.2,19109,5.2,1,5.2,1.5,0
71051,NA,"Joniškio r.",NA,NA,NA,NA,15,8,7,0,14,1,2020-07-02 06:52:15,0,0,15,72.4,20726,0,0,0,1.5,0
71052,NA,"Kazlų Rūdos",NA,NA,NA,NA,3,0,3,0,3,0,2020-07-02 06:52:16,0,0,3,26.5,11337,0,0,0,1.5,0
71053,NA,"Biržų r.",NA,NA,NA,NA,10,5,5,0,10,0,2020-07-02 06:52:17,0,0,10,44,22718,0,0,0,1.5,0
71054,NA,"Šiaulių r.",NA,NA,NA,NA,11,6,5,0,10,1,2020-07-02 06:52:17,0,0,11,26.5,41442,0,0,0,1.5,0
71055,NA,"Klaipėdos r.",NA,NA,NA,NA,60,28,32,2,54,4,2020-07-02 06:52:18,0,0,60,99.8,60139,3.3,1,1.7,1.5,0
71056,NA,"Anykščių r.",NA,NA,NA,NA,7,3,4,1,6,0,2020-07-02 06:52:19,0,0,7,30.4,23034,4.3,1,4.3,1.5,0
71057,NA,"Akmenės r.",NA,NA,NA,NA,5,3,2,0,5,0,2020-07-02 06:52:19,0,0,5,26.6,18764,0,0,0,1.5,0
71058,NA,"Molėtų r.",NA,NA,NA,NA,4,2,2,1,3,0,2020-07-02 06:52:20,0,0,4,23.3,17153,5.8,1,5.8,1.5,0
71059,NA,"Radviliškio r.",NA,NA,NA,NA,7,5,2,4,3,0,2020-07-02 06:52:21,0,0,7,20,34995,11.4,2,5.7,1.5,0
71060,NA,"Rokiškio r.",NA,NA,NA,NA,3,0,3,0,3,0,2020-07-02 06:52:21,0,0,3,10.7,28070,0,0,0,1.5,0
71061,NA,"Šakių r.",NA,NA,NA,NA,4,2,2,0,3,1,2020-07-02 06:52:22,0,0,4,15,26698,0,0,0,1.5,0
71062,NA,"Panevėžio r.",NA,NA,NA,NA,8,5,3,0,7,1,2020-07-02 06:52:23,0,0,8,22.6,35324,0,0,0,1.5,0
71063,NA,"Trakų r.",NA,NA,NA,NA,6,6,0,1,5,0,2020-07-02 06:52:24,0,0,6,18.4,32546,3.1,1,3.1,1.5,0
71064,NA,"Kupiškio r.",NA,NA,NA,NA,1,1,0,0,1,0,2020-07-02 06:52:24,0,0,1,6.1,16356,0,0,0,1.5,0
71065,NA,"Skuodo r.",NA,NA,NA,NA,3,1,2,0,3,0,2020-07-02 06:52:24,0,0,3,18.7,16078,0,0,0,1.5,0
71066,NA,"Palangos m.",NA,NA,NA,NA,12,6,6,1,10,1,2020-07-02 06:52:25,0,0,12,74.8,16046,6.2,0,0,1.5,0
71067,NA,"Pagėgių",NA,NA,NA,NA,1,0,1,0,1,0,2020-07-02 06:52:26,0,0,1,13.7,7288,0,0,0,1.5,0
71068,NA,"Šalčininkų r.",NA,NA,NA,NA,14,5,9,3,11,0,2020-07-02 06:52:27,0,0,14,45.9,30520,9.8,0,0,1.5,0
71069,NA,"Vilniaus r.",NA,NA,NA,NA,289,104,185,46,237,3,2020-07-02 06:52:28,0,0,289,288.5,100158,45.9,6,6,1.5,3
71070,NA,"Švenčionių r.",NA,NA,NA,NA,11,7,4,1,10,0,2020-07-02 06:52:28,0,0,11,48,22932,4.4,0,0,1.5,0
71071,NA,"Zarasų r.",NA,NA,NA,NA,1,1,0,0,1,0,2020-07-02 06:52:29,0,0,1,6.7,14916,0,0,0,1.5,0
71072,NA,"Kėdainių r.",NA,NA,NA,NA,3,0,3,2,1,0,2020-07-02 06:52:30,0,0,3,6.6,45285,4.4,2,4.4,1.5,0
71073,NA,"Ukmergės r.",NA,NA,NA,NA,88,28,60,0,79,9,2020-07-02 06:52:30,0,0,88,262.9,33471,0,0,0,1.5,0
71074,NA,"Kelmės r.",NA,NA,NA,NA,2,1,1,0,2,0,2020-07-02 06:52:31,0,0,2,7.9,25382,0,0,0,1.5,0
71075,NA,"Širvintų r.",NA,NA,NA,NA,19,11,8,12,6,0,2020-07-02 06:52:32,0,0,19,126,15076,79.6,3,19.9,1.5,1
71076,NA,"Kalvarijos",NA,NA,NA,NA,5,2,3,0,4,0,2020-07-02 06:52:33,0,0,5,49.1,10190,0,0,0,1.5,1
71077,NA,"Kauno r.",NA,NA,NA,NA,21,14,7,0,21,0,2020-07-02 06:52:33,0,0,21,21.8,96441,0,0,0,1.5,0
71078,NA,"Šilutės r.",NA,NA,NA,NA,7,4,3,0,7,0,2020-07-02 06:52:34,0,0,7,18.6,37637,0,0,0,1.5,0
71079,NA,"Tauragės r.",NA,NA,NA,NA,9,5,4,0,9,0,2020-07-02 06:52:35,0,0,9,23.8,37805,0,0,0,1.5,0
71080,NA,"Lazdijų r.",NA,NA,NA,NA,5,2,3,0,5,0,2020-07-02 06:52:36,0,0,5,27.3,18331,0,0,0,1.5,0
71081,NA,"Jurbarko r.",NA,NA,NA,NA,2,1,1,0,2,0,2020-07-02 06:52:36,0,0,2,8.1,24822,0,0,0,1.5,0
71082,NA,"Elektrėnų",NA,NA,NA,NA,7,2,5,3,4,0,2020-07-02 06:52:37,0,0,7,29.2,23992,12.5,0,0,1.5,0
71083,NA,"Neringos",NA,NA,NA,NA,1,1,0,0,1,0,2020-07-02 06:52:38,0,0,1,28.3,3530,0,0,0,1.5,0
71084,NA,"Mažeikių r.",NA,NA,NA,NA,7,4,3,0,6,1,2020-07-02 06:52:38,0,0,7,13.7,51067,0,0,0,1.5,0
71085,NA,"Ignalinos r.",NA,NA,NA,NA,5,1,4,0,5,0,2020-07-02 06:52:39,0,0,5,34.6,14433,0,0,0,1.5,0
71086,NA,"Telšių r.",NA,NA,NA,NA,11,6,5,0,9,2,2020-07-02 06:52:40,0,0,11,28,39317,0,0,0,1.5,0
71087,NA,"Plungės r.",NA,NA,NA,NA,8,5,3,1,7,0,2020-07-02 06:52:40,0,0,8,24.3,32987,3,0,0,1.5,0
71088,NA,"Kretingos r.",NA,NA,NA,NA,60,22,38,0,57,3,2020-07-02 06:52:41,0,0,60,160.3,37427,0,0,0,1.5,0
71089,NA,"Varėnos r.",NA,NA,NA,NA,1,1,0,0,0,1,2020-07-02 06:52:42,0,0,1,4.8,20840,0,0,0,1.5,0
71090,NA,"Alytaus r.",NA,NA,NA,NA,7,4,3,0,7,0,2020-07-02 06:52:43,0,0,7,27,25887,0,0,0,1.5,0
71091,NA,"Raseinių r.",NA,NA,NA,NA,6,1,5,0,5,1,2020-07-02 06:52:43,0,0,6,19.2,31225,0,0,0,1.5,0
71092,NA,"Vilniaus m.",NA,NA,NA,NA,501,222,279,104,372,20,2020-07-02 06:52:44,0,0,501,89.1,562030,18.5,18,3.2,1.5,5
71093,NA,"Šilalės r.",NA,NA,NA,NA,3,2,1,0,3,0,2020-07-02 06:52:45,0,0,3,13.7,21887,0,0,0,1.5,0
71094,NA,"Klaipėdos m.",NA,NA,NA,NA,279,94,185,10,251,18,2020-07-02 06:52:46,0,0,279,187.1,149157,6.7,2,1.3,1.5,0
71095,NA,"Visagino",NA,NA,NA,NA,3,1,2,0,3,0,2020-07-02 06:52:47,0,0,3,16.4,18250,0,0,0,1.5,0
71096,NA,"Pasvalio r.",NA,NA,NA,NA,4,3,1,1,3,0,2020-07-02 06:52:47,0,0,4,17.5,22816,4.4,0,0,1.5,0
