"OBJECTID","AMZIAUSGRUPE","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","KITA","VISO","GYV_SKAIC","GYV_SKAIC_V","GYV_SKAIC_M","ATVEJAI_V_100000","ATVEJAI_M_100000","ATVEJAI_VISI_100000"
1,"0-9",NA,23,11,12,0,23,290102,148908,141194,7.4,8.5,7.9
2,"10-19",NA,51,25,26,0,51,263568,134947,128621,18.5,20.2,19.3
3,"20-29",NA,239,117,122,0,239,339736,177466,162270,65.9,75.2,70.3
4,"30-39",NA,235,126,109,0,235,359239,188972,170267,66.7,64,65.4
5,"40-49",NA,308,130,178,0,308,369722,183873,185849,70.7,95.8,83.3
6,"50-59",NA,423,153,270,0,423,419039,196469,222570,77.9,121.3,100.9
7,"60-69",NA,273,115,158,0,273,351248,147788,203460,77.8,77.7,77.7
8,"70-79",NA,145,67,78,0,145,236890,81674,155216,82,50.3,61.2
9,"Virš 80",NA,164,48,116,0,164,164546,44257,120289,108.5,96.4,99.7
