"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","PLOTAS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","SHAPE_AREA","SHAPE_LEN","ATVEJAI","ATVEJAI_10000_GYV","GYV_SK","GYDOMA_10000_GYV","ATVEJAI_14","ATVEJAI_14_100000","ATVEJAI_14_100000LT"
65307,NA,"Tauragės r.",NA,NA,NA,NA,9,5,4,0,9,0,2020-06-15 06:52:38,0,0,9,23.8,37805,0,0,0,3.5
65308,NA,"Lazdijų r.",NA,NA,NA,NA,5,2,3,2,3,0,2020-06-15 06:52:38,0,0,5,27.3,18331,10.9,0,0,3.5
65309,NA,"Jurbarko r.",NA,NA,NA,NA,2,1,1,0,2,0,2020-06-15 06:52:39,0,0,2,8.1,24822,0,0,0,3.5
65310,NA,"Elektrėnų",NA,NA,NA,NA,7,2,5,3,4,0,2020-06-15 06:52:40,0,0,7,29.2,23992,12.5,1,4.2,3.5
65311,NA,"Neringos",NA,NA,NA,NA,1,1,0,0,1,0,2020-06-15 06:52:41,0,0,1,28.3,3530,0,0,0,3.5
65312,NA,"Mažeikių r.",NA,NA,NA,NA,7,4,3,1,5,1,2020-06-15 06:52:41,0,0,7,13.7,51067,2,0,0,3.5
65313,NA,"Ignalinos r.",NA,NA,NA,NA,5,1,4,2,3,0,2020-06-15 06:52:42,0,0,5,34.6,14433,13.9,1,6.9,3.5
65314,NA,"Telšių r.",NA,NA,NA,NA,11,6,5,1,8,2,2020-06-15 06:52:43,0,0,11,28,39317,2.5,1,2.5,3.5
65315,NA,"Plungės r.",NA,NA,NA,NA,8,5,3,1,7,0,2020-06-15 06:52:43,0,0,8,24.3,32987,3,0,0,3.5
65316,NA,"Kretingos r.",NA,NA,NA,NA,60,22,38,4,53,3,2020-06-15 06:52:44,0,0,60,160.3,37427,10.7,1,2.7,3.5
65317,NA,"Varėnos r.",NA,NA,NA,NA,1,1,0,0,0,1,2020-06-15 06:52:45,0,0,1,4.8,20840,0,0,0,3.5
65318,NA,"Alytaus r.",NA,NA,NA,NA,7,4,3,0,7,0,2020-06-15 06:52:45,0,0,7,27,25887,0,0,0,3.5
