"OBJECTID","AMZIAUSGRUPE","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","KITA","VISO","GYV_SKAIC","GYV_SKAIC_V","GYV_SKAIC_M","ATVEJAI_V_100000","ATVEJAI_M_100000","ATVEJAI_VISI_100000"
1,"0-9",NA,19,9,10,0,19,290102,148908,141194,6,7.1,6.5
2,"10-19",NA,44,20,24,0,44,263568,134947,128621,14.8,18.7,16.7
3,"20-29",NA,222,108,114,0,222,339736,177466,162270,60.9,70.3,65.3
4,"30-39",NA,213,112,101,0,213,359239,188972,170267,59.3,59.3,59.3
5,"40-49",NA,271,111,160,0,271,369722,183873,185849,60.4,86.1,73.3
6,"50-59",NA,381,131,250,0,381,419039,196469,222570,66.7,112.3,90.9
7,"60-69",NA,257,109,148,0,257,351248,147788,203460,73.8,72.7,73.2
8,"70-79",NA,137,63,74,0,137,236890,81674,155216,77.1,47.7,57.8
9,"Virš 80",NA,161,47,114,0,161,164546,44257,120289,106.2,94.8,97.8
