"OBJECTID","AMZIAUSGRUPE","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","KITA","VISO"
1,"0-9",NA,19,9,10,0,19
2,"10-19",NA,39,19,20,0,39
3,"20-29",NA,209,104,105,0,209
4,"30-39",NA,203,106,97,0,203
5,"40-49",NA,266,108,158,0,266
6,"50-59",NA,364,125,239,0,364
7,"60-69",NA,246,103,143,0,246
8,"70-79",NA,136,63,73,0,136
9,"Virš 80",NA,159,46,113,0,159
