"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","PLOTAS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA","SHAPE_AREA","SHAPE_LEN","ATVEJAI","ATVEJAI_10000_GYV","GYV_SK","GYDOMA_10000_GYV","ATVEJAI_14","ATVEJAI_14_100000","ATVEJAI_14_100000LT","MIRTYS_KITA"
89374,NA,"Šilutės r.",NA,NA,NA,NA,12,8,4,4,8,0,2020-09-04 06:51:02,0,0,12,31.9,37637,10.6,2,5.3,15.7,0
89375,NA,"Tauragės r.",NA,NA,NA,NA,38,29,9,25,13,0,2020-09-04 06:51:03,0,0,38,100.5,37805,66.1,20,52.9,15.7,0
89376,NA,"Lazdijų r.",NA,NA,NA,NA,7,3,4,1,6,0,2020-09-04 06:51:04,0,0,7,38.2,18331,5.5,1,5.5,15.7,0
89377,NA,"Jurbarko r.",NA,NA,NA,NA,9,7,2,7,2,0,2020-09-04 06:51:05,0,0,9,36.3,24822,28.2,6,24.2,15.7,0
89378,NA,"Elektrėnų",NA,NA,NA,NA,16,6,10,11,5,0,2020-09-04 06:51:06,0,0,16,66.7,23992,45.8,6,25,15.7,0
89379,NA,"Neringos",NA,NA,NA,NA,2,1,1,1,1,0,2020-09-04 06:51:07,0,0,2,56.7,3530,28.3,1,28.3,15.7,0
89380,NA,"Mažeikių r.",NA,NA,NA,NA,13,7,6,5,7,1,2020-09-04 06:51:08,0,0,13,25.5,51067,9.8,3,5.9,15.7,0
89381,NA,"Ignalinos r.",NA,NA,NA,NA,24,11,13,13,11,0,2020-09-04 06:51:09,0,0,24,166.3,14433,90.1,0,0,15.7,0
89382,NA,"Telšių r.",NA,NA,NA,NA,11,6,5,0,9,2,2020-09-04 06:51:11,0,0,11,28,39317,0,0,0,15.7,0
89383,NA,"Plungės r.",NA,NA,NA,NA,8,5,3,0,8,0,2020-09-04 06:51:12,0,0,8,24.3,32987,0,0,0,15.7,0
89384,NA,"Kretingos r.",NA,NA,NA,NA,64,24,40,2,58,4,2020-09-04 06:51:13,0,0,64,171,37427,5.3,0,0,15.7,0
89385,NA,"Varėnos r.",NA,NA,NA,NA,1,1,0,0,0,1,2020-09-04 06:51:14,0,0,1,4.8,20840,0,0,0,15.7,0
89386,NA,"Alytaus r.",NA,NA,NA,NA,7,4,3,0,7,0,2020-09-04 06:51:15,0,0,7,27,25887,0,0,0,15.7,0
89387,NA,"Raseinių r.",NA,NA,NA,NA,8,1,7,2,5,1,2020-09-04 06:51:16,0,0,8,25.6,31225,6.4,1,3.2,15.7,0
89388,NA,"Vilniaus m.",NA,NA,NA,NA,845,401,444,352,466,22,2020-09-04 06:51:18,0,0,845,150.3,562030,62.6,173,30.8,15.7,5
89389,NA,"Šilalės r.",NA,NA,NA,NA,9,8,1,6,3,0,2020-09-04 06:51:19,0,0,9,41.1,21887,27.4,6,27.4,15.7,0
89390,NA,"Klaipėdos m.",NA,NA,NA,NA,329,124,205,48,263,18,2020-09-04 06:51:21,0,0,329,220.6,149157,32.2,12,8,15.7,0
89391,NA,"Visagino",NA,NA,NA,NA,12,6,6,7,5,0,2020-09-04 06:51:22,0,0,12,65.8,18250,38.4,2,11,15.7,0
89392,NA,"Pasvalio r.",NA,NA,NA,NA,12,4,8,9,3,0,2020-09-04 06:51:23,0,0,12,52.6,22816,39.4,8,35.1,15.7,0
89393,NA,"Panevėžio m.",NA,NA,NA,NA,83,43,40,19,63,1,2020-09-04 06:51:24,0,0,83,96.6,85878,22.1,12,14,15.7,0
89394,NA,"Šiaulių m.",NA,NA,NA,NA,30,17,13,11,18,1,2020-09-04 06:51:27,0,0,30,29.6,101514,10.8,5,4.9,15.7,0
89395,NA,"Birštono",NA,NA,NA,NA,0,0,0,0,0,0,2020-09-04 06:51:27,0,0,0,0,4069,0,0,0,15.7,0
89396,NA,"Pakruojo r.",NA,NA,NA,NA,1,0,1,1,0,0,2020-09-04 06:51:29,0,0,1,5.4,18606,5.4,0,0,15.7,0
61,NA,"Kita",NA,NA,NA,NA,1,0,0,0,0,0,2020-09-04 07:01:43,0,0,1,0,0,0,1,0,15.7,0
