"OBJECTID","AMZIAUSGRUPE","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","KITA","VISO"
1,"0-9",NA,19,9,10,0,19
2,"10-19",NA,42,20,22,0,42
3,"20-29",NA,214,105,109,0,214
4,"30-39",NA,206,108,98,0,206
5,"40-49",NA,266,108,158,0,266
6,"50-59",NA,368,125,243,0,368
7,"60-69",NA,246,103,143,0,246
8,"70-79",NA,136,63,73,0,136
9,"Virš 80",NA,159,46,113,0,159
